Date,STRA
2010-01-04,153.5558624267578
2010-01-05,153.1241912841797
2010-01-06,156.59228515625
2010-01-07,160.47015380859375
2010-01-08,158.02639770507812
2010-01-11,158.7726287841797
2010-01-12,159.68724060058594
2010-01-13,159.95069885253906
2010-01-14,158.93362426757812
2010-01-15,158.1873321533203
2010-01-19,158.34823608398438
2010-01-20,160.32379150390625
2010-01-21,164.62606811523438
2010-01-22,165.45274353027344
2010-01-25,161.69935607910156
2010-01-26,158.7581024169922
2010-01-27,161.77249145507812
2010-01-28,157.03131103515625
2010-01-29,152.026611328125
2010-02-01,153.1534423828125
2010-02-02,152.6193084716797
2010-02-03,153.32171630859375
2010-02-04,151.6827392578125
2010-02-05,151.2949676513672
2010-02-08,150.8267059326172
2010-02-09,151.00961303710938
2010-02-10,153.71678161621094
2010-02-11,149.49510192871094
2010-02-12,150.91448974609375
2010-02-16,156.74588012695312
2010-02-17,157.28009033203125
2010-02-18,158.8677520751953
2010-02-19,159.28482055664062
2010-02-22,160.5945281982422
2010-02-23,160.91018676757812
2010-02-24,162.67962646484375
2010-02-25,164.94822692871094
2010-02-26,166.53399658203125
2010-03-01,170.35911560058594
2010-03-02,169.764404296875
2010-03-03,172.8993682861328
2010-03-04,176.21783447265625
2010-03-05,177.97987365722656
2010-03-08,175.57180786132812
2010-03-09,174.7274932861328
2010-03-10,177.5467071533203
2010-03-11,178.40573120117188
2010-03-12,180.2338104248047
2010-03-15,179.13259887695312
2010-03-16,181.01942443847656
2010-03-17,179.1913299560547
2010-03-18,178.86093139648438
2010-03-19,177.89178466796875
2010-03-22,180.71839904785156
2010-03-23,181.12957763671875
2010-03-24,177.311767578125
2010-03-25,177.85507202148438
2010-03-26,176.60696411132812
2010-03-29,178.68478393554688
2010-03-30,179.30140686035156
2010-03-31,178.7875213623047
2010-04-01,177.44393920898438
2010-04-05,179.6758270263672
2010-04-06,180.1530303955078
2010-04-07,176.75384521484375
2010-04-08,174.80088806152344
2010-04-09,175.24874877929688
2010-04-12,175.1680145263672
2010-04-13,185.16017150878906
2010-04-14,183.54498291015625
2010-04-15,185.7548065185547
2010-04-16,186.84881591796875
2010-04-19,185.77691650390625
