Date,OSW
2017-11-17,9.560970306396484
2017-11-20,9.560970306396484
2017-11-21,9.560970306396484
2017-11-22,9.560970306396484
2017-11-24,9.560970306396484
2017-11-27,9.387313842773438
2017-11-28,9.387313842773438
2017-11-29,9.387313842773438
2017-11-30,9.37350082397461
2017-12-01,9.472169876098633
2017-12-04,9.472169876098633
2017-12-05,9.39323616027832
2017-12-06,9.39323616027832
2017-12-07,9.415928840637207
2017-12-08,9.415928840637207
2017-12-11,9.383367538452148
2017-12-12,9.383367538452148
2017-12-13,9.383367538452148
2017-12-14,9.383367538452148
2017-12-15,9.37350082397461
2017-12-18,9.37350082397461
2017-12-19,9.37350082397461
2017-12-20,9.37350082397461
2017-12-21,9.37350082397461
2017-12-22,9.402115821838379
2017-12-26,9.402115821838379
2017-12-27,9.43270206451416
2017-12-28,9.43270206451416
2017-12-29,9.43270206451416
2018-01-02,9.43270206451416
2018-01-03,9.43270206451416
2018-01-04,9.43270206451416
2018-01-05,9.43270206451416
2018-01-08,9.43270206451416
2018-01-09,9.43270206451416
2018-01-10,9.43270206451416
2018-01-11,9.43270206451416
2018-01-12,9.43270206451416
2018-01-16,9.43270206451416
2018-01-17,9.43270206451416
2018-01-18,9.43270206451416
2018-01-19,9.43270206451416
2018-01-22,9.43270206451416
2018-01-23,9.43270206451416
2018-01-24,9.43270206451416
2018-01-25,9.423820495605469
2018-01-26,9.43664836883545
2018-01-29,9.43664836883545
2018-01-30,9.43664836883545
2018-01-31,9.43664836883545
2018-02-01,9.43664836883545
2018-02-02,9.43664836883545
2018-02-05,9.43664836883545
2018-02-06,9.43664836883545
2018-02-07,9.452436447143555
2018-02-08,9.452436447143555
2018-02-09,9.452436447143555
2018-02-12,9.452436447143555
2018-02-13,9.452436447143555
2018-02-14,9.452436447143555
2018-02-15,9.37350082397461
2018-02-16,9.422835350036621
2018-02-20,9.452436447143555
2018-02-21,9.452436447143555
2018-02-22,9.452436447143555
2018-02-23,9.452436447143555
2018-02-26,9.422835350036621
2018-02-27,9.422835350036621
2018-02-28,9.422835350036621
2018-03-01,9.422835350036621
2018-03-02,9.422835350036621
2018-03-05,9.439608573913574
2018-03-06,9.422835350036621
2018-03-07,9.422835350036621
2018-03-08,9.422835350036621
