Date,TSBK
2010-01-04,2.9039855003356934
2010-01-05,2.9388887882232666
2010-01-06,2.93190860748291
2010-01-07,2.8551199436187744
2010-01-08,2.8970046043395996
2010-01-11,2.9458703994750977
2010-01-12,2.862100124359131
2010-01-13,2.9039855003356934
2010-01-14,2.8062546253204346
2010-01-15,2.8062546253204346
2010-01-19,2.7992746829986572
2010-01-20,2.827197551727295
2010-01-21,2.7992746829986572
2010-01-22,2.7992746829986572
2010-01-25,2.75040864944458
2010-01-26,2.8970046043395996
2010-01-27,2.8760623931884766
2010-01-28,2.8760623931884766
2010-01-29,3.085484027862549
2010-02-01,3.0086963176727295
2010-02-02,3.0017147064208984
2010-02-03,2.7992746829986572
2010-02-04,2.8341779708862305
2010-02-05,2.7992746829986572
2010-02-08,2.7992746829986572
2010-02-09,2.6596591472625732
2010-02-10,2.666658401489258
2010-02-11,2.5126776695251465
2010-02-12,2.6456615924835205
2010-02-16,2.666658401489258
2010-02-17,2.7856435775756836
2010-02-18,2.7296502590179443
2010-02-19,2.7296502590179443
2010-02-22,2.8696322441101074
2010-02-23,2.8696322441101074
2010-02-24,2.7996418476104736
2010-02-25,2.8766324520111084
2010-02-26,2.8836309909820557
2010-03-01,2.764646291732788
2010-03-02,2.7576465606689453
2010-03-03,2.8836309909820557
2010-03-04,2.715651512145996
2010-03-05,2.8836309909820557
2010-03-08,2.8836309909820557
2010-03-09,2.8906302452087402
2010-03-10,2.8696322441101074
2010-03-11,2.8696322441101074
2010-03-12,2.792642593383789
2010-03-15,2.708653450012207
2010-03-16,2.8136394023895264
2010-03-17,2.8136394023895264
2010-03-18,2.694654703140259
2010-03-19,2.708653450012207
2010-03-22,2.708653450012207
2010-03-23,2.939624309539795
2010-03-24,2.8976285457611084
2010-03-25,2.736649513244629
2010-03-26,2.939624309539795
2010-03-29,2.8696322441101074
2010-03-30,2.7996418476104736
2010-03-31,2.7996418476104736
2010-04-01,2.8836309909820557
2010-04-05,2.8556344509124756
2010-04-06,2.792642593383789
2010-04-07,2.792642593383789
2010-04-08,3.0096139907836914
2010-04-09,2.862633466720581
2010-04-12,2.862633466720581
2010-04-13,2.981618881225586
2010-04-14,2.9326252937316895
2010-04-15,3.198589324951172
2010-04-16,3.198589324951172
2010-04-19,3.0866057872772217
2010-04-20,3.09360408782959
2010-04-21,3.247584342956543
2010-04-22,3.646533489227295
2010-04-23,3.4925522804260254
2010-04-26,3.695525884628296
2010-04-27,3.6745288372039795
2010-04-28,3.4995527267456055
2010-04-29,3.4155633449554443
2010-04-30,3.2125890254974365
2010-05-03,3.380567789077759
2010-05-04,3.331573963165283
2010-05-05,3.128598928451538
2010-05-06,2.988617181777954
2010-05-07,3.0096139907836914
2010-05-10,3.3035762310028076
2010-05-11,3.4575581550598145
2010-05-12,2.939624309539795
2010-05-13,3.3595688343048096
2010-05-14,3.191591501235962
2010-05-17,3.2685821056365967
2010-05-18,3.1215996742248535
2010-05-19,3.2125890254974365
2010-05-20,3.0586092472076416
2010-05-21,3.030611515045166
2010-05-24,2.9256248474121094
2010-05-25,2.8766324520111084
2010-05-26,2.939624309539795
2010-05-27,2.84863543510437
2010-05-28,2.84863543510437
2010-06-01,2.827638626098633
2010-06-02,2.827638626098633
2010-06-03,2.7296502590179443
2010-06-04,2.8066413402557373
