Date,ANGI
2011-11-17,162.60000610351562
2011-11-18,158.0
2011-11-21,154.0
2011-11-22,161.1999969482422
2011-11-23,147.6999969482422
2011-11-25,135.0
2011-11-28,130.0
2011-11-29,118.0
2011-11-30,115.5999984741211
2011-12-01,125.5
2011-12-02,140.10000610351562
2011-12-05,136.3000030517578
2011-12-06,140.10000610351562
2011-12-07,156.10000610351562
2011-12-08,161.5
2011-12-09,160.3000030517578
2011-12-12,164.89999389648438
2011-12-13,167.5
2011-12-14,164.1999969482422
2011-12-15,160.0
2011-12-16,157.3000030517578
2011-12-19,156.5
2011-12-20,159.0
2011-12-21,160.0
2011-12-22,160.8000030517578
2011-12-23,165.3000030517578
2011-12-27,166.89999389648438
2011-12-28,163.89999389648438
2011-12-29,159.89999389648438
2011-12-30,161.0
2012-01-03,150.89999389648438
2012-01-04,140.89999389648438
2012-01-05,137.89999389648438
2012-01-06,132.3000030517578
2012-01-09,134.10000610351562
2012-01-10,138.60000610351562
2012-01-11,140.3000030517578
2012-01-12,150.3000030517578
2012-01-13,151.0
2012-01-17,157.5
2012-01-18,159.0
2012-01-19,159.0
2012-01-20,157.0
2012-01-23,158.0
2012-01-24,158.0
2012-01-25,156.39999389648438
2012-01-26,155.89999389648438
2012-01-27,152.0
2012-01-30,147.1999969482422
2012-01-31,147.39999389648438
2012-02-01,142.3000030517578
2012-02-02,146.8000030517578
2012-02-03,149.10000610351562
2012-02-06,147.3000030517578
2012-02-07,154.3000030517578
2012-02-08,162.6999969482422
2012-02-09,160.5
2012-02-10,161.39999389648438
2012-02-13,164.10000610351562
2012-02-14,156.10000610351562
2012-02-15,150.5
2012-02-16,154.10000610351562
2012-02-17,149.1999969482422
2012-02-21,149.3000030517578
2012-02-22,144.60000610351562
2012-02-23,154.6999969482422
2012-02-24,156.10000610351562
2012-02-27,158.39999389648438
2012-02-28,159.8000030517578
2012-02-29,160.0
2012-03-01,161.1999969482422
2012-03-02,152.5
2012-03-05,156.10000610351562
2012-03-06,147.89999389648438
2012-03-07,155.0
2012-03-08,154.8000030517578
2012-03-09,155.0
2012-03-12,159.3000030517578
2012-03-13,160.39999389648438
2012-03-14,157.3000030517578
2012-03-15,161.3000030517578
