Date,HBI
2010-01-04,4.602969646453857
2010-01-05,4.6178765296936035
2010-01-06,4.638376235961914
2010-01-07,4.554516315460205
2010-01-08,4.608558177947998
2010-01-11,4.5917887687683105
2010-01-12,4.452021598815918
2010-01-13,4.4948835372924805
2010-01-14,4.543335914611816
2010-01-15,4.463202953338623
2010-01-19,4.459474563598633
2010-01-20,4.370025157928467
2010-01-21,4.302936553955078
2010-01-22,4.263803482055664
2010-01-25,4.26753044128418
2010-01-26,4.286166191101074
2010-01-27,4.315981388092041
2010-01-28,4.431521415710449
2010-01-29,4.280574321746826
2010-02-01,4.317845344543457
2010-02-02,4.321572303771973
2010-02-03,4.21535062789917
2010-02-04,4.038313388824463
2010-02-05,4.053222179412842
2010-02-08,4.062537670135498
2010-02-09,4.166899681091309
2010-02-10,4.224668502807617
2010-02-11,4.291757106781006
2010-02-12,4.383070468902588
2010-02-16,4.424067497253418
2010-02-17,4.4743852615356445
2010-02-18,4.489292621612549
2010-02-19,4.522838115692139
2010-02-22,4.578742027282715
2010-02-23,4.53029203414917
2010-02-24,4.630922317504883
2010-02-25,4.666330814361572
2010-02-26,4.832186222076416
2010-03-01,4.884365081787109
2010-03-02,4.934679985046387
2010-03-03,4.87131929397583
2010-03-04,4.9048638343811035
2010-03-05,4.968225479125977
2010-03-08,5.02040433883667
2010-03-09,5.040903568267822
2010-03-10,5.094944953918457
2010-03-11,5.053947925567627
2010-03-12,5.04835844039917
2010-03-15,5.018540859222412
2010-03-16,5.033449172973633
2010-03-17,5.096809387207031
2010-03-18,5.083764553070068
2010-03-19,5.001769065856934
2010-03-22,5.1881232261657715
2010-03-23,5.2198052406311035
2010-03-24,5.165761947631836
2010-03-25,5.132217884063721
2010-03-26,5.223531246185303
2010-03-29,5.244030952453613
2010-03-30,5.221667289733887
2010-03-31,5.184397220611572
2010-04-01,5.25707483291626
2010-04-05,5.404296875
2010-04-06,5.458339691162109
2010-04-07,5.41733980178833
2010-04-08,5.449019908905029
2010-04-09,5.503063678741455
2010-04-12,5.473247051239014
2010-04-13,5.411748886108398
2010-04-14,5.56642484664917
2010-04-15,5.527288913726807
2010-04-16,5.467656135559082
2010-04-19,5.421067714691162
2010-04-20,5.422930717468262
2010-04-21,5.5608344078063965
2010-04-22,5.737870693206787
2010-04-23,5.741598129272461
2010-04-26,5.616740703582764
2010-04-27,5.434112548828125
2010-04-28,5.402431488037109
2010-04-29,5.480701446533203
2010-04-30,5.3055267333984375
