Date,MATW
2010-01-04,26.67580795288086
2010-01-05,25.87264633178711
2010-01-06,25.28513526916504
2010-01-07,25.61236000061035
2010-01-08,25.679285049438477
2010-01-11,25.723905563354492
2010-01-12,25.731340408325195
2010-01-13,25.894956588745117
2010-01-14,26.080875396728516
2010-01-15,25.61236000061035
2010-01-19,26.043703079223633
2010-01-20,25.50080680847168
2010-01-21,25.292572021484375
2010-01-22,25.426429748535156
2010-01-25,25.53055763244629
2010-01-26,25.50080680847168
2010-01-27,25.77596664428711
2010-01-28,25.343761444091797
2010-01-29,25.22452735900879
2010-02-01,25.373567581176758
2010-02-02,25.29905128479004
2010-02-03,24.702896118164062
2010-02-04,24.16637420654297
2010-02-05,24.121652603149414
2010-02-08,23.696903228759766
2010-02-09,24.009870529174805
2010-02-10,23.734153747558594
2010-02-11,23.644733428955078
2010-02-12,24.218523025512695
2010-02-16,24.076946258544922
2010-02-17,24.404821395874023
2010-02-18,24.740158081054688
2010-02-19,25.462982177734375
2010-02-22,25.358671188354492
2010-02-23,25.321401596069336
2010-02-24,25.462982177734375
2010-02-25,25.40336799621582
2010-02-26,24.97861671447754
2010-03-01,25.15001106262207
2010-03-02,25.17236328125
2010-03-03,25.246885299682617
2010-03-04,25.038227081298828
2010-03-05,25.269237518310547
2010-03-08,25.373567581176758
2010-03-09,25.477888107299805
2010-03-10,25.723796844482422
2010-03-11,25.65673828125
2010-03-12,25.768518447875977
2010-03-15,26.029327392578125
2010-03-16,26.26779556274414
2010-03-17,26.476438522338867
2010-03-18,26.424278259277344
2010-03-19,26.14110565185547
2010-03-22,26.349756240844727
2010-03-23,26.863927841186523
2010-03-24,26.781951904296875
2010-03-25,26.252887725830078
2010-03-26,26.074037551879883
2010-03-29,26.208173751831055
2010-03-30,26.543508529663086
2010-03-31,26.45409393310547
2010-04-01,26.170917510986328
2010-04-05,26.52859878540039
2010-04-06,26.82667350769043
2010-04-07,26.6254825592041
2010-04-08,26.603126525878906
2010-04-09,26.424278259277344
2010-04-12,26.483890533447266
2010-04-13,26.729793548583984
2010-04-14,26.938459396362305
2010-04-15,27.109851837158203
2010-04-16,26.930999755859375
2010-04-19,26.729793548583984
2010-04-20,26.752159118652344
2010-04-21,26.953351974487305
2010-04-22,26.260339736938477
2010-04-23,26.901195526123047
2010-04-26,26.7968692779541
2010-04-27,26.610572814941406
2010-04-28,26.46153450012207
2010-04-29,26.61832618713379
2010-04-30,26.13300132751465
2010-05-03,26.364469528198242
2010-05-04,25.677549362182617
2010-05-05,25.520750045776367
2010-05-06,25.154888153076172
2010-05-07,24.273832321166992
2010-05-10,25.139957427978516
2010-05-11,25.07275390625
2010-05-12,25.595415115356445
2010-05-13,25.498350143432617
2010-05-14,25.304218292236328
2010-05-17,25.595415115356445
2010-05-18,25.042892456054688
2010-05-19,24.960752487182617
2010-05-20,24.385822296142578
2010-05-21,24.47542381286621
2010-05-24,23.96023178100586
2010-05-25,23.855701446533203
2010-05-26,23.83330726623535
2010-05-27,24.594898223876953
2010-05-28,24.176773071289062
2010-06-01,23.83330726623535
2010-06-02,24.51276397705078
2010-06-03,24.11703109741211
2010-06-04,23.415178298950195
2010-06-07,22.817853927612305
2010-06-08,22.735715866088867
2010-06-09,22.47438621520996
2010-06-10,22.795452117919922
2010-06-11,23.11651039123535
2010-06-14,23.034378051757812
2010-06-15,23.594383239746094
2010-06-16,23.721303939819336
2010-06-17,23.77356719970703
2010-06-18,23.56450653076172
2010-06-21,23.265844345092773
2010-06-22,22.899986267089844
2010-06-23,22.705852508544922
2010-06-24,22.15332794189453
2010-06-25,22.04879379272461
2010-06-28,22.362390518188477
2010-06-29,21.906932830810547
2010-06-30,21.862131118774414
2010-07-01,21.600797653198242
2010-07-02,21.548524856567383
2010-07-06,21.23493003845215
2010-07-07,21.81732749938965
2010-07-08,21.93679428100586
2010-07-09,22.168258666992188
2010-07-12,22.02639389038086
2010-07-13,22.6461238861084
2010-07-14,22.5117130279541
2010-07-15,22.287717819213867
2010-07-16,21.981592178344727
2010-07-19,22.32505226135254
2010-07-20,22.54159164428711
2010-07-21,22.295194625854492
2010-07-22,23.288240432739258
2010-07-23,25.91648292541504
2010-07-26,26.790063858032227
2010-07-27,27.06632423400879
2010-07-28,26.760204315185547
2010-07-29,26.842496871948242
2010-07-30,27.01456069946289
2010-08-02,27.231521606445312
2010-08-03,26.87241554260254
2010-08-04,26.932270050048828
2010-08-05,26.75271987915039
2010-08-06,26.475915908813477
2010-08-09,26.73775291442871
2010-08-10,26.236522674560547
2010-08-11,25.07693099975586
2010-08-12,25.136791229248047
2010-08-13,24.500877380371094
2010-08-16,24.635543823242188
2010-08-17,25.181676864624023
2010-08-18,25.114336013793945
2010-08-19,24.463476181030273
2010-08-20,24.388660430908203
2010-08-23,24.052013397216797
2010-08-24,23.573211669921875
2010-08-25,24.03704833984375
2010-08-26,23.595657348632812
2010-08-27,24.45599365234375
2010-08-30,23.648025512695312
2010-08-31,23.550777435302734
2010-09-01,24.20911407470703
2010-09-02,24.366233825683594
2010-09-03,24.650503158569336
2010-09-07,24.29889488220215
2010-09-08,24.43354606628418
2010-09-09,24.4185848236084
2010-09-10,24.448514938354492
2010-09-13,25.1741943359375
2010-09-14,24.927305221557617
2010-09-15,25.03952407836914
2010-09-16,24.620580673217773
2010-09-17,24.628063201904297
2010-09-20,25.41358757019043
2010-09-21,25.136791229248047
2010-09-22,24.613109588623047
2010-09-23,24.156747817993164
2010-09-24,25.166704177856445
2010-09-27,24.889909744262695
2010-09-28,25.585655212402344
