Date,JCI
2010-01-04,11.867297172546387
2010-01-05,11.808405876159668
2010-01-06,11.769139289855957
2010-01-07,11.854212760925293
2010-01-08,11.893473625183105
2010-01-11,12.201034545898438
2010-01-12,12.184674263000488
2010-01-13,12.073433876037598
2010-01-14,12.19776725769043
2010-01-15,12.282835006713867
2010-01-19,12.495508193969727
2010-01-20,12.47914981842041
2010-01-21,12.344995498657227
2010-01-22,12.122509002685547
2010-01-25,12.063615798950195
2010-01-26,11.965459823608398
2010-01-27,12.008227348327637
2010-01-28,11.876626014709473
2010-01-29,11.656205177307129
2010-02-01,11.692390441894531
2010-02-02,12.004935264587402
2010-02-03,12.014805793762207
2010-02-04,11.531183242797852
2010-02-05,11.350239753723145
2010-02-08,11.169297218322754
2010-02-09,11.448936462402344
2010-02-10,11.376558303833008
2010-02-11,11.406167984008789
2010-02-12,11.353530883789062
2010-02-16,11.485126495361328
2010-02-17,11.61672306060791
2010-02-18,11.652914047241211
2010-02-19,11.715424537658691
2010-02-22,11.672654151916504
2010-02-23,11.570663452148438
2010-02-24,11.603565216064453
2010-02-25,11.745031356811523
2010-02-26,11.863462448120117
2010-03-01,12.087185859680176
2010-03-02,12.166141510009766
2010-03-03,12.090474128723145
2010-03-04,12.04112720489502
2010-03-05,12.340507507324219
2010-03-08,12.271419525146484
2010-03-09,12.396430969238281
2010-03-10,12.399730682373047
2010-03-11,12.485264778137207
2010-03-12,12.389859199523926
2010-03-15,12.29116153717041
2010-03-16,12.254969596862793
2010-03-17,12.10692310333252
2010-03-18,12.202326774597168
2010-03-19,12.10363483428955
2010-03-22,12.245101928710938
2010-03-23,12.284575462341309
2010-03-24,12.218780517578125
2010-03-25,12.097052574157715
2010-03-26,12.126667022705078
2010-03-29,12.304317474365234
2010-03-30,12.574094772338867
2010-03-31,12.583965301513672
2010-04-01,12.751750946044922
2010-04-05,12.90637493133545
2010-04-06,12.962297439575195
2010-04-07,12.90308952331543
2010-04-08,12.972173690795898
2010-04-09,13.074163436889648
2010-04-12,12.975462913513184
2010-04-13,13.011652946472168
2010-04-14,13.136673927307129
2010-04-15,13.166277885437012
2010-04-16,13.133378982543945
2010-04-19,13.097189903259277
2010-04-20,13.107062339782715
2010-04-21,13.189305305480957
2010-04-22,13.278139114379883
2010-04-23,13.337352752685547
2010-04-26,13.291295051574707
2010-04-27,13.011652946472168
2010-04-28,13.014945030212402
2010-04-29,12.880050659179688
2010-04-30,12.761618614196777
2010-05-03,12.853738784790039
2010-05-04,12.761618614196777
2010-05-05,12.659632682800293
2010-05-06,12.287870407104492
2010-05-07,12.060861587524414
2010-05-10,12.426048278808594
2010-05-11,12.606990814208984
2010-05-12,13.156410217285156
2010-05-13,12.90308952331543
2010-05-14,12.659632682800293
2010-05-17,12.605073928833008
2010-05-18,12.608373641967773
2010-05-19,12.456266403198242
2010-05-20,11.904059410095215
2010-05-21,12.13883113861084
2010-05-24,12.023092269897461
2010-05-25,11.82138729095459
2010-05-26,11.768478393554688
2010-05-27,12.13552188873291
2010-05-28,11.96688175201416
2010-06-01,11.851149559020996
2010-06-02,12.046242713928223
2010-06-03,12.188429832458496
2010-06-04,11.8114652633667
2010-06-07,11.639521598815918
2010-06-08,11.573385238647461
2010-06-09,11.636211395263672
2010-06-10,12.076000213623047
2010-06-11,12.181811332702637
2010-06-14,12.181811332702637
2010-06-15,12.512480735778809
2010-06-16,12.558781623840332
2010-06-17,12.684432029724121
2010-06-18,12.833230018615723
2010-06-21,12.859684944152832
2010-06-22,12.638137817382812
2010-06-23,12.5191011428833
2010-06-24,12.145441055297852
2010-06-25,12.271095275878906
2010-06-28,12.155360221862793
2010-06-29,11.73872184753418
2010-06-30,11.649439811706543
2010-07-01,11.494026184082031
2010-07-02,11.384902954101562
2010-07-06,11.791629791259766
2010-07-07,12.20165729522705
2010-07-08,12.191736221313477
2010-07-09,12.092535972595215
2010-07-12,12.089225769042969
2010-07-13,12.33722972869873
2010-07-14,12.069387435913086
2010-07-15,12.181811332702637
2010-07-16,11.887523651123047
2010-07-19,11.814780235290527
2010-07-20,11.834614753723145
2010-07-21,11.87429141998291
2010-07-22,12.072697639465332
2010-07-23,12.274402618408203
2010-07-26,12.297548294067383
2010-07-27,12.158669471740723
2010-07-28,12.16498851776123
2010-07-29,12.294687271118164
2010-07-30,12.730338096618652
2010-08-02,12.793523788452148
2010-08-03,12.803502082824707
2010-08-04,12.763585090637207
2010-08-05,12.720364570617676
2010-08-06,12.530803680419922
2010-08-09,12.717035293579102
2010-08-10,12.49421501159668
2010-08-11,12.281380653381348
2010-08-12,12.161664009094238
2010-08-13,12.13172721862793
2010-08-16,12.254775047302246
2010-08-17,12.404433250427246
2010-08-18,12.460965156555176
2010-08-19,12.218195915222168
2010-08-20,12.870006561279297
2010-08-23,12.933198928833008
2010-08-24,12.803502082824707
2010-08-25,12.770240783691406
2010-08-26,12.73698902130127
2010-08-27,12.803502082824707
2010-08-30,12.547428131103516
2010-08-31,12.397781372070312
2010-09-01,12.753617286682129
2010-09-02,12.83675479888916
2010-09-03,12.899938583374023
2010-09-07,12.9165620803833
2010-09-08,13.162665367126465
2010-09-09,13.232499122619629
2010-09-10,13.212549209594727
2010-09-13,13.11943244934082
2010-09-14,13.159335136413574
2010-09-15,12.969780921936035
2010-09-16,12.966452598571777
2010-09-17,13.109452247619629
2010-09-20,13.11277961730957
2010-09-21,13.019661903381348
2010-09-22,13.006360054016113
2010-09-23,12.733663558959961
2010-09-24,12.820127487182617
2010-09-27,12.537455558776855
2010-09-28,12.46761703491211
