Date,PGR
2010-01-04,11.053091049194336
2010-01-05,11.016312599182129
2010-01-06,10.905963897705078
2010-01-07,10.758833885192871
2010-01-08,10.856922149658203
2010-01-11,10.581053733825684
2010-01-12,10.605571746826172
2010-01-13,10.863046646118164
2010-01-14,10.881438255310059
2010-01-15,10.685270309448242
2010-01-19,10.856922149658203
2010-01-20,10.789487838745117
2010-01-21,10.648488998413086
2010-01-22,10.354227066040039
2010-01-25,10.441500663757324
2010-01-26,10.398171424865723
2010-01-27,10.497200965881348
2010-01-28,10.367225646972656
2010-01-29,10.262004852294922
2010-02-01,10.367225646972656
2010-02-02,10.47863483428955
2010-02-03,10.379605293273926
2010-02-04,10.057755470275879
2010-02-05,10.224870681762695
2010-02-08,10.03299617767334
2010-02-09,10.132031440734863
2010-02-10,10.212491035461426
2010-02-11,10.292951583862305
2010-02-12,10.342469215393066
2010-02-16,10.565285682678223
2010-02-17,10.47244644165039
2010-02-18,10.614802360534668
2010-02-19,10.614802360534668
2010-02-22,10.639557838439941
2010-02-23,10.571476936340332
2010-02-24,10.664315223693848
2010-02-25,10.67050552368164
2010-02-26,10.614802360534668
2010-03-01,10.69526195526123
2010-03-02,10.664315223693848
2010-03-03,10.540528297424316
2010-03-04,10.590044021606445
2010-03-05,10.72002124786377
2010-03-08,10.627181053161621
2010-03-09,10.608610153198242
2010-03-10,10.559098243713379
2010-03-11,10.596234321594238
2010-03-12,10.577664375305176
2010-03-15,10.74477767944336
2010-03-16,10.750969886779785
2010-03-17,11.0728178024292
2010-03-18,11.060437202453613
2010-03-19,11.20279312133789
2010-03-22,11.295633316040039
2010-03-23,11.456559181213379
2010-03-24,11.444182395935059
2010-03-25,11.506072998046875
2010-03-26,11.92695426940918
2010-03-29,11.92076301574707
2010-03-30,11.821731567382812
2010-03-31,11.815544128417969
2010-04-01,11.896004676818848
2010-04-05,11.957898139953613
2010-04-06,11.96408748626709
2010-04-07,12.038359642028809
2010-04-08,11.98265552520752
2010-04-09,12.007413864135742
2010-04-12,11.98265552520752
2010-04-13,12.050741195678711
2010-04-14,12.76252269744873
2010-04-15,12.830604553222656
2010-04-16,12.60159683227539
2010-04-19,12.830604553222656
2010-04-20,12.861551284790039
2010-04-21,12.589219093322754
2010-04-22,12.818224906921387
2010-04-23,12.911067962646484
2010-04-26,12.756332397460938
2010-04-27,12.341639518737793
2010-04-28,12.46543025970459
2010-04-29,12.620163917541504
2010-04-30,12.434481620788574
2010-05-03,12.620163917541504
2010-05-04,12.372588157653809
2010-05-05,12.533514022827148
2010-05-06,12.254989624023438
2010-05-07,12.100258827209473
