Date,DTE
2010-01-04,20.994598388671875
2010-01-05,20.758317947387695
2010-01-06,20.845115661621094
2010-01-07,20.65224266052246
2010-01-08,20.811359405517578
2010-01-11,21.105497360229492
2010-01-12,21.086219787597656
2010-01-13,21.274263381958008
2010-01-14,21.356239318847656
2010-01-15,21.18264389038086
2010-01-19,21.375526428222656
2010-01-20,21.158533096313477
2010-01-21,20.661882400512695
2010-01-22,20.280948638916016
2010-01-25,20.570262908935547
2010-01-26,20.753498077392578
2010-01-27,20.613666534423828
2010-01-28,20.444896697998047
2010-01-29,20.271312713623047
2010-02-01,20.546154022216797
2010-02-02,20.748682022094727
2010-02-03,20.579912185668945
2010-02-04,20.131471633911133
2010-02-05,20.145933151245117
2010-02-08,20.01093101501465
2010-02-09,20.25202178955078
2010-02-10,20.22791290283203
2010-02-11,20.411142349243164
2010-02-12,20.22791290283203
2010-02-16,20.767961502075195
2010-02-17,20.676345825195312
2010-02-18,21.018707275390625
2010-02-19,21.505720138549805
2010-02-22,21.51536750793457
2010-02-23,21.211585998535156
2010-02-24,21.34177017211914
2010-02-25,21.19230079650879
2010-02-26,20.936735153198242
2010-03-01,21.36588478088379
2010-03-02,21.529829025268555
2010-03-03,21.500890731811523
2010-03-04,21.553937911987305
2010-03-05,21.717878341674805
2010-03-08,21.621440887451172
2010-03-09,21.669654846191406
2010-03-10,21.606985092163086
2010-03-11,21.655197143554688
2010-03-12,21.635906219482422
2010-03-15,21.727519989013672
2010-03-16,21.99273109436035
2010-03-17,22.093996047973633
2010-03-18,22.020814895629883
2010-03-19,22.001300811767578
2010-03-22,21.933012008666992
2010-03-23,22.08911895751953
2010-03-24,21.972028732299805
2010-03-25,21.801279067993164
2010-03-26,21.806171417236328
2010-03-29,22.137897491455078
2010-03-30,22.050086975097656
2010-03-31,21.75738525390625
2010-04-01,22.137897491455078
2010-04-05,22.318391799926758
2010-04-06,22.67451286315918
2010-04-07,22.49888801574707
2010-04-08,22.381811141967773
2010-04-09,22.49888801574707
2010-04-12,22.56230926513672
2010-04-13,22.45499038696289
2010-04-14,22.435470581054688
2010-04-15,22.49888801574707
2010-04-16,22.264728546142578
2010-04-19,22.391572952270508
2010-04-20,22.542797088623047
2010-04-21,22.840375900268555
2010-04-22,23.05502700805664
2010-04-23,23.381874084472656
2010-04-26,23.196496963500977
2010-04-27,22.864768981933594
2010-04-28,23.5574951171875
2010-04-29,23.450172424316406
2010-04-30,23.498952865600586
2010-05-03,23.859943389892578
2010-05-04,23.484310150146484
2010-05-05,23.24040412902832
2010-05-06,22.708656311035156
