Date,CMT
2010-01-04,2.8485937118530273
2010-01-05,2.917830228805542
2010-01-06,2.8288116455078125
2010-01-07,2.967284917831421
2010-01-08,2.8980486392974854
2010-01-11,2.9771759510040283
2010-01-12,2.967284917831421
2010-01-13,2.967284917831421
2010-01-14,2.996958017349243
2010-01-15,2.967284917831421
2010-01-19,3.066194534301758
2010-01-20,2.996958017349243
2010-01-21,2.9277212619781494
2010-01-22,2.9277212619781494
2010-01-25,2.937612295150757
2010-01-26,2.937612295150757
2010-01-27,2.937612295150757
2010-01-28,2.937612295150757
2010-01-29,2.9573941230773926
2010-02-01,2.967284917831421
2010-02-02,2.967284917831421
2010-02-03,3.174995183944702
2010-02-04,2.9475033283233643
2010-02-05,2.917830228805542
2010-02-08,3.0167396068573
2010-02-09,2.9771759510040283
2010-02-10,3.0167396068573
2010-02-11,2.9277212619781494
2010-02-12,2.9277212619781494
2010-02-16,2.9573941230773926
2010-02-17,3.115649461746216
2010-02-18,3.0859766006469727
2010-02-19,3.095867395401001
2010-02-22,3.115649461746216
2010-02-23,3.0859766006469727
2010-02-24,3.0365216732025146
2010-02-25,2.8782665729522705
2010-02-26,2.8980486392974854
2010-03-01,3.1354315280914307
2010-03-02,3.1848859786987305
2010-03-03,3.1848859786987305
2010-03-04,3.1651041507720947
2010-03-05,3.3827052116394043
2010-03-08,3.4618325233459473
2010-03-09,3.738779067993164
2010-03-10,3.481614589691162
2010-03-11,3.3629233837127686
2010-03-12,3.422268867492676
2010-03-15,3.4420509338378906
2010-03-16,3.372814178466797
2010-03-17,3.4123778343200684
2010-03-18,3.5211780071258545
2010-03-19,3.4123778343200684
2010-03-22,3.372814178466797
2010-03-23,3.4123778343200684
2010-03-24,3.2837953567504883
2010-03-25,3.2145588397979736
2010-03-26,3.2343404293060303
2010-03-29,3.3431410789489746
2010-03-30,3.4717233180999756
2010-03-31,3.2936861515045166
2010-04-01,3.4618325233459473
2010-04-05,3.422268867492676
2010-04-06,3.4123778343200684
2010-04-07,3.550851345062256
2010-04-08,4.1245269775390625
2010-04-09,4.3124542236328125
2010-04-12,5.707078456878662
2010-04-13,5.529041290283203
2010-04-14,4.925693511962891
2010-04-15,5.341113090515137
2010-04-16,4.955366134643555
2010-04-19,4.89601993560791
2010-04-20,5.044384956359863
2010-04-21,4.965257167816162
2010-04-22,4.965257167816162
2010-04-23,5.499368190765381
2010-04-26,5.172966957092285
2010-04-27,5.301549434661865
2010-04-28,5.4103498458862305
2010-04-29,5.242203712463379
2010-04-30,5.242203712463379
2010-05-03,5.390568256378174
2010-05-04,5.291658401489258
2010-05-05,5.242203712463379
2010-05-06,5.1927490234375
2010-05-07,5.074057579040527
2010-05-10,5.341113090515137
2010-05-11,5.311440467834473
2010-05-12,5.242203712463379
2010-05-13,5.558713912963867
2010-05-14,5.301549434661865
2010-05-17,5.390568256378174
2010-05-18,5.311440467834473
2010-05-19,5.093839645385742
2010-05-20,4.945475101470947
