Date,PAR
2010-01-04,6.039999961853027
2010-01-05,5.929999828338623
2010-01-06,5.519999980926514
2010-01-07,5.579999923706055
2010-01-08,5.710000038146973
2010-01-11,5.610000133514404
2010-01-12,5.510000228881836
2010-01-13,5.630000114440918
2010-01-14,5.71999979019165
2010-01-15,5.539999961853027
2010-01-19,5.619999885559082
2010-01-20,5.53000020980835
2010-01-21,5.300000190734863
2010-01-22,5.400000095367432
2010-01-25,5.349999904632568
2010-01-26,5.53000020980835
2010-01-27,5.860000133514404
2010-01-28,5.659999847412109
2010-01-29,5.789999961853027
2010-02-01,5.75
2010-02-02,5.730000019073486
2010-02-03,5.800000190734863
2010-02-04,5.900000095367432
2010-02-05,5.900000095367432
2010-02-08,6.050000190734863
2010-02-09,6.0
2010-02-10,5.800000190734863
2010-02-11,5.929999828338623
2010-02-12,6.010000228881836
2010-02-16,6.050000190734863
2010-02-17,6.039999961853027
2010-02-18,5.989999771118164
2010-02-19,5.96999979019165
2010-02-22,5.989999771118164
2010-02-23,5.920000076293945
2010-02-24,5.940000057220459
2010-02-25,5.880000114440918
2010-02-26,5.900000095367432
2010-03-01,5.980000019073486
2010-03-02,6.079999923706055
2010-03-03,6.0
2010-03-04,6.0
2010-03-05,6.119999885559082
2010-03-08,6.170000076293945
2010-03-09,6.230000019073486
2010-03-10,6.150000095367432
2010-03-11,6.079999923706055
2010-03-12,6.03000020980835
2010-03-15,5.989999771118164
2010-03-16,6.019999980926514
2010-03-17,5.960000038146973
2010-03-18,5.869999885559082
2010-03-19,5.889999866485596
2010-03-22,5.96999979019165
2010-03-23,5.960000038146973
2010-03-24,5.900000095367432
2010-03-25,5.920000076293945
2010-03-26,6.0
2010-03-29,6.050000190734863
2010-03-30,6.03000020980835
2010-03-31,6.050000190734863
2010-04-01,6.039999961853027
2010-04-05,6.289999961853027
2010-04-06,6.289999961853027
2010-04-07,6.300000190734863
2010-04-08,6.5
2010-04-09,6.829999923706055
2010-04-12,6.739999771118164
2010-04-13,6.679999828338623
2010-04-14,6.900000095367432
2010-04-15,7.119999885559082
2010-04-16,6.949999809265137
2010-04-19,6.730000019073486
2010-04-20,6.889999866485596
2010-04-21,6.809999942779541
2010-04-22,6.980000019073486
2010-04-23,6.880000114440918
2010-04-26,6.849999904632568
2010-04-27,6.980000019073486
2010-04-28,6.730000019073486
2010-04-29,6.96999979019165
2010-04-30,7.010000228881836
2010-05-03,7.179999828338623
2010-05-04,6.880000114440918
2010-05-05,6.860000133514404
2010-05-06,6.400000095367432
2010-05-07,6.389999866485596
2010-05-10,6.679999828338623
2010-05-11,6.840000152587891
2010-05-12,7.079999923706055
2010-05-13,7.130000114440918
2010-05-14,7.050000190734863
2010-05-17,7.010000228881836
2010-05-18,6.96999979019165
2010-05-19,6.960000038146973
2010-05-20,6.699999809265137
2010-05-21,6.840000152587891
2010-05-24,6.679999828338623
2010-05-25,6.670000076293945
2010-05-26,6.659999847412109
2010-05-27,6.829999923706055
2010-05-28,6.769999980926514
2010-06-01,6.630000114440918
2010-06-02,6.78000020980835
2010-06-03,6.75
2010-06-04,6.329999923706055
2010-06-07,6.019999980926514
2010-06-08,5.840000152587891
2010-06-09,5.800000190734863
2010-06-10,5.880000114440918
2010-06-11,5.940000057220459
2010-06-14,5.869999885559082
2010-06-15,5.900000095367432
