Date,VCTR
2018-02-08,9.874917984008789
2018-02-09,10.547433853149414
2018-02-12,10.555948257446289
2018-02-13,10.887948036193848
2018-02-14,10.896461486816406
2018-02-15,11.109281539916992
2018-02-16,11.109281539916992
2018-02-20,11.058205604553223
2018-02-21,11.00712776184082
2018-02-22,11.066720008850098
2018-02-23,11.066720008850098
2018-02-26,11.288053512573242
2018-02-27,11.066720008850098
2018-02-28,11.024154663085938
2018-03-01,11.134820938110352
2018-03-02,11.322105407714844
2018-03-05,10.887948036193848
2018-03-06,10.9390230178833
2018-03-07,11.066720008850098
2018-03-08,11.066720008850098
2018-03-09,11.066720008850098
2018-03-12,10.777280807495117
2018-03-13,10.572973251342773
2018-03-14,10.496356964111328
2018-03-15,10.223943710327148
2018-03-16,10.164352416992188
2018-03-19,10.10476303100586
2018-03-20,9.943018913269043
2018-03-21,10.070713996887207
2018-03-22,10.215432167053223
2018-03-23,10.147327423095703
2018-03-26,10.445280075073242
2018-03-27,10.572973251342773
2018-03-28,10.50486946105957
2018-03-29,10.470815658569336
2018-04-02,10.206920623779297
2018-04-03,9.815326690673828
2018-04-04,9.534403800964355
2018-04-05,9.56845760345459
2018-04-06,9.227941513061523
2018-04-09,9.066195487976074
2018-04-10,9.261992454528809
2018-04-11,9.100244522094727
2018-04-12,9.07470989227295
2018-04-13,9.142810821533203
2018-04-16,9.134298324584961
2018-04-17,9.270503997802734
2018-04-18,8.998091697692871
2018-04-19,9.023632049560547
2018-04-20,8.904452323913574
2018-04-23,9.015120506286621
2018-04-24,9.023632049560547
2018-04-25,9.032144546508789
2018-04-26,8.93850326538086
2018-04-27,8.947017669677734
2018-04-30,9.41522216796875
2018-05-01,9.41522216796875
2018-05-02,9.227941513061523
2018-05-03,9.244963645935059
2018-05-04,9.364147186279297
2018-05-07,9.236454963684082
2018-05-08,8.964042663574219
2018-05-09,9.176863670349121
2018-05-10,9.032144546508789
2018-05-11,8.81932258605957
2018-05-14,8.700143814086914
2018-05-15,8.666092872619629
2018-05-16,8.56393814086914
2018-05-17,8.606499671936035
2018-05-18,8.589478492736816
2018-05-21,8.77676010131836
2018-05-22,8.853375434875488
2018-05-23,9.066195487976074
2018-05-24,9.372659683227539
2018-05-25,9.227941513061523
2018-05-29,9.066195487976074
2018-05-30,9.440763473510742
2018-05-31,9.534403800964355
2018-06-01,9.925993919372559
2018-06-04,9.985584259033203
2018-06-05,9.738709449768066
2018-06-06,9.398198127746582
2018-06-07,9.440763473510742
2018-06-08,9.68763542175293
2018-06-11,9.559940338134766
2018-06-12,9.559940338134766
2018-06-13,9.032144546508789
2018-06-14,9.236454963684082
2018-06-15,8.870400428771973
2018-06-18,8.964042663574219
2018-06-19,9.193885803222656
2018-06-20,9.134298324584961
2018-06-21,9.253480911254883
2018-06-22,9.125785827636719
2018-06-25,9.142810821533203
2018-06-26,8.768244743347168
2018-06-27,8.572449684143066
2018-06-28,8.597990036010742
2018-06-29,9.006606101989746
2018-07-02,8.929988861083984
2018-07-03,9.142810821533203
2018-07-05,8.853375434875488
2018-07-06,8.606499671936035
2018-07-09,8.52137279510498
2018-07-10,8.640551567077637
2018-07-11,8.453271865844727
2018-07-12,8.495833396911621
2018-07-13,8.623526573181152
2018-07-16,8.86188793182373
2018-07-17,8.955530166625977
2018-07-18,8.86188793182373
2018-07-19,8.674604415893555
2018-07-20,8.606499671936035
2018-07-23,8.768244743347168
2018-07-24,8.691633224487305
2018-07-25,8.725682258605957
2018-07-26,8.725682258605957
2018-07-27,8.623526573181152
2018-07-30,8.640551567077637
2018-07-31,8.810811042785645
2018-08-01,8.436244010925293
2018-08-02,7.814805507659912
2018-08-03,8.312807083129883
2018-08-06,8.606499671936035
2018-08-07,8.308549880981445
2018-08-08,8.453271865844727
2018-08-09,8.410704612731934
2018-08-10,8.56393814086914
2018-08-13,8.512858390808105
2018-08-14,8.512858390808105
2018-08-15,8.470295906066895
2018-08-16,8.504349708557129
2018-08-17,8.495833396911621
2018-08-20,8.512858390808105
2018-08-21,8.436244010925293
2018-08-22,8.393678665161133
2018-08-23,8.20639705657959
2018-08-24,8.087215423583984
2018-08-27,8.197884559631348
2018-08-28,8.20639705657959
2018-08-29,8.504349708557129
2018-08-30,8.163833618164062
2018-08-31,8.410704612731934
2018-09-04,8.393678665161133
2018-09-05,8.257474899291992
2018-09-06,8.172345161437988
2018-09-07,8.036140441894531
2018-09-10,7.9850640296936035
2018-09-11,8.002089500427246
2018-09-12,8.104243278503418
2018-09-13,8.036140441894531
2018-09-14,7.857369422912598
2018-09-17,8.044652938842773
2018-09-18,7.874396800994873
2018-09-19,7.678597927093506
2018-09-20,7.448753833770752
2018-09-21,7.738190650939941
2018-09-24,8.053165435791016
2018-09-25,8.044652938842773
2018-09-26,8.087215423583984
2018-09-27,8.112754821777344
2018-09-28,8.121267318725586
2018-10-01,8.129783630371094
2018-10-02,7.933984756469727
2018-10-03,7.83182954788208
2018-10-04,7.636037349700928
2018-10-05,7.76372766494751
2018-10-08,7.567931652069092
2018-10-09,7.644547462463379
2018-10-10,7.440239429473877
2018-10-11,7.125265121459961
2018-10-12,6.733672142028809
2018-10-15,6.708132266998291
2018-10-16,6.810288429260254
2018-10-17,6.784749984741211
2018-10-18,6.810288429260254
2018-10-19,6.835826396942139
2018-10-22,6.742185115814209
2018-10-23,6.674083232879639
2018-10-24,6.597466468811035
2018-10-25,6.546389579772949
2018-10-26,6.384644985198975
2018-10-29,6.384644985198975
2018-10-30,6.486799240112305
2018-10-31,6.640031337738037
2018-11-01,6.810288429260254
