Date,MPWR
2010-01-04,20.61802101135254
2010-01-05,20.532115936279297
2010-01-06,19.8448486328125
2010-01-07,19.544174194335938
2010-01-08,19.767534255981445
2010-01-11,19.561355590820312
2010-01-12,18.951400756835938
2010-01-13,18.91703987121582
2010-01-14,19.106037139892578
2010-01-15,18.719451904296875
2010-01-19,19.00294303894043
2010-01-20,18.908443450927734
2010-01-21,18.899856567382812
2010-01-22,18.410175323486328
2010-01-25,18.435945510864258
2010-01-26,18.169639587402344
2010-01-27,18.60776710510254
2010-01-28,17.954862594604492
2010-01-29,17.714319229125977
2010-02-01,18.04936408996582
2010-02-02,18.470314025878906
2010-02-03,17.070011138916016
2010-02-04,16.305423736572266
2010-02-05,16.70059585571289
2010-02-08,16.76932716369629
2010-02-09,17.3535099029541
2010-02-10,17.602638244628906
2010-02-11,18.25554847717285
2010-02-12,18.470314025878906
2010-02-16,18.60776710510254
2010-02-17,18.496082305908203
2010-02-18,18.573408126831055
2010-02-19,18.20400047302246
2010-02-22,17.989227294921875
2010-02-23,17.654184341430664
2010-02-24,17.89472770690918
2010-02-25,17.80882453918457
2010-02-26,17.447999954223633
2010-03-01,17.911911010742188
2010-03-02,18.178224563598633
2010-03-03,17.9720458984375
2010-03-04,17.989227294921875
2010-03-05,17.911911010742188
2010-03-08,18.20400047302246
2010-03-09,17.920503616333008
2010-03-10,17.963455200195312
2010-03-11,17.757278442382812
2010-03-12,17.4909610748291
2010-03-15,17.602638244628906
2010-03-16,17.911911010742188
2010-03-17,18.52185821533203
2010-03-18,18.63353729248047
2010-03-19,18.41876792907715
2010-03-22,19.346580505371094
2010-03-23,19.819076538085938
2010-03-24,19.484037399291992
2010-03-25,19.67303466796875
2010-03-26,18.9771728515625
2010-03-29,18.805356979370117
2010-03-30,19.217723846435547
2010-03-31,19.1575870513916
2010-04-01,19.466854095458984
2010-04-05,19.612897872924805
2010-04-06,19.5699405670166
2010-04-07,19.60430335998535
2010-04-08,19.595718383789062
2010-04-09,19.681621551513672
2010-04-12,19.913572311401367
2010-04-13,20.334524154663086
2010-04-14,21.2623348236084
2010-04-15,21.09052085876465
2010-04-16,20.798437118530273
2010-04-19,20.7125301361084
2010-04-20,20.935888290405273
2010-04-21,20.95306968688965
2010-04-22,21.14206886291504
2010-04-23,21.210790634155273
2010-04-26,21.124887466430664
2010-04-27,20.77266502380371
2010-04-28,20.918703079223633
2010-04-29,21.399791717529297
2010-04-30,21.17643165588379
2010-05-03,20.74689292907715
2010-05-04,19.67303466796875
2010-05-05,19.406723022460938
2010-05-06,18.73663902282715
2010-05-07,17.72291374206543
2010-05-10,18.891265869140625
2010-05-11,18.539043426513672
2010-05-12,18.29849624633789
2010-05-13,17.87754249572754
2010-05-14,17.619821548461914
