Date,CRH
2010-01-04,17.343854904174805
2010-01-05,16.75644874572754
2010-01-06,16.465837478637695
2010-01-07,16.05156707763672
2010-01-08,16.447290420532227
2010-01-11,16.861560821533203
2010-01-12,16.527673721313477
2010-01-13,16.676067352294922
2010-01-14,16.552404403686523
2010-01-15,16.008283615112305
2010-01-19,16.286523818969727
2010-01-20,15.977362632751465
2010-01-21,15.760956764221191
2010-01-22,15.538360595703125
2010-01-25,15.575461387634277
2010-01-26,15.8104248046875
2010-01-27,15.328131675720215
2010-01-28,15.179736137390137
2010-01-29,15.20447063446045
2010-02-01,15.5074462890625
2010-02-02,15.371418952941895
2010-02-03,15.36523723602295
2010-02-04,15.148820877075195
2010-02-05,14.876758575439453
2010-02-08,14.40683650970459
2010-02-09,14.790196418762207
2010-02-10,14.765461921691895
2010-02-11,14.450119018554688
2010-02-12,14.394469261169434
2010-02-16,14.598520278930664
2010-02-17,14.920040130615234
2010-02-18,14.981871604919434
2010-02-19,14.981871604919434
2010-02-22,15.031340599060059
2010-02-23,14.678897857666016
2010-02-24,14.72217845916748
2010-02-25,14.450119018554688
2010-02-26,14.35118579864502
2010-03-01,14.289358139038086
2010-03-02,14.221342086791992
2010-03-03,14.307903289794922
2010-03-04,14.363556861877441
2010-03-05,14.81492805480957
2010-03-08,15.155004501342773
2010-03-09,15.130270004272461
2010-03-10,15.336228370666504
2010-03-11,15.48832893371582
2010-03-12,15.646763801574707
2010-03-15,15.418609619140625
2010-03-16,15.583383560180664
2010-03-17,16.274147033691406
2010-03-18,16.217117309570312
2010-03-19,16.122053146362305
2010-03-22,16.020662307739258
2010-03-23,16.35019874572754
2010-03-24,15.659435272216797
2010-03-25,15.741823196411133
2010-03-26,16.071359634399414
2010-03-29,15.912924766540527
2010-03-30,15.824203491210938
2010-03-31,15.773504257202148
2010-04-01,16.33118438720703
2010-04-05,16.318511962890625
2010-04-06,16.179092407226562
2010-04-07,15.811532020568848
2010-04-08,15.824203491210938
2010-04-09,16.33118438720703
2010-04-12,16.38822364807129
2010-04-13,16.191768646240234
2010-04-14,16.52130699157715
2010-04-15,16.343862533569336
2010-04-16,16.914215087890625
2010-04-19,16.933225631713867
2010-04-20,17.028289794921875
2010-04-21,17.598644256591797
2010-04-22,17.585969924926758
2010-04-23,18.340106964111328
2010-04-26,18.473188400268555
2010-04-27,17.123348236083984
2010-04-28,16.825490951538086
2010-04-29,17.706378936767578
2010-04-30,18.118297576904297
2010-05-03,17.9788818359375
2010-05-04,16.920557022094727
2010-05-05,16.077693939208984
2010-05-06,14.702503204345703
2010-05-07,14.563080787658691
2010-05-10,16.37554359436035
2010-05-11,15.963622093200684
2010-05-12,16.10938262939453
2010-05-13,15.621413230895996
2010-05-14,14.753201484680176
2010-05-17,14.734189987182617
