Date,OUST
2020-10-09,97.0
2020-10-12,97.0
2020-10-13,97.0
2020-10-14,97.0
2020-10-15,97.0
2020-10-16,97.0
2020-10-19,96.68000030517578
2020-10-20,96.9000015258789
2020-10-21,96.9000015258789
2020-10-22,96.9000015258789
2020-10-23,96.5
2020-10-26,96.29000091552734
2020-10-27,96.30000305175781
2020-10-28,96.0
2020-10-29,96.5
2020-10-30,96.0
2020-11-02,96.0
2020-11-03,96.19999694824219
2020-11-04,96.69999694824219
2020-11-05,96.69999694824219
2020-11-06,96.19999694824219
2020-11-09,96.0999984741211
2020-11-10,96.5
2020-11-11,96.5
2020-11-12,96.5
2020-11-13,96.5
2020-11-16,100.0
2020-11-17,97.19999694824219
2020-11-18,96.9000015258789
2020-11-19,97.4000015258789
2020-11-20,98.30000305175781
2020-11-23,98.30000305175781
2020-11-24,97.19000244140625
2020-11-25,97.30000305175781
2020-11-27,97.5
2020-11-30,98.5
2020-12-01,98.0
2020-12-02,97.5999984741211
2020-12-03,97.80000305175781
2020-12-04,98.0
2020-12-07,97.69999694824219
2020-12-08,98.5
2020-12-09,99.5
2020-12-10,99.9000015258789
2020-12-11,99.94999694824219
2020-12-14,101.19999694824219
2020-12-15,100.69999694824219
2020-12-16,100.80000305175781
2020-12-17,100.69999694824219
2020-12-18,100.5
2020-12-21,100.80000305175781
2020-12-22,138.3000030517578
2020-12-23,160.0
2020-12-24,162.5
2020-12-28,149.3000030517578
2020-12-29,140.10000610351562
2020-12-30,139.89999389648438
2020-12-31,135.0
2021-01-04,130.0
2021-01-05,132.6999969482422
2021-01-06,136.10000610351562
2021-01-07,138.60000610351562
2021-01-08,133.3000030517578
2021-01-11,132.0
2021-01-12,133.5
2021-01-13,141.5
2021-01-14,137.5
2021-01-15,135.10000610351562
2021-01-19,138.1999969482422
2021-01-20,134.5
2021-01-21,132.39999389648438
2021-01-22,133.3000030517578
2021-01-25,127.80000305175781
2021-01-26,124.19999694824219
2021-01-27,116.5
2021-01-28,119.9000015258789
2021-01-29,117.4000015258789
2021-02-01,122.69999694824219
2021-02-02,133.60000610351562
2021-02-03,132.6999969482422
2021-02-04,139.8000030517578
2021-02-05,141.89999389648438
2021-02-08,140.1999969482422
2021-02-09,153.10000610351562
