Date,CG
2012-05-03,10.726146697998047
2012-05-04,10.726146697998047
2012-05-07,10.706687927246094
2012-05-08,10.701824188232422
2012-05-09,10.580215454101562
2012-05-10,10.56562328338623
2012-05-11,10.385638236999512
2012-05-14,10.229972839355469
2012-05-15,10.273751258850098
2012-05-16,10.49265193939209
2012-05-17,10.26402473449707
2012-05-18,10.268890380859375
2012-05-21,10.239703178405762
2012-05-22,10.21537971496582
2012-05-23,9.797036170959473
2012-05-24,9.918645858764648
2012-05-25,10.46346378326416
2012-05-29,10.244566917419434
2012-05-30,10.317534446716309
2012-05-31,10.273751258850098
2012-06-01,10.225106239318848
2012-06-04,10.195919036865234
2012-06-05,10.186188697814941
2012-06-06,10.400226593017578
2012-06-07,10.507246017456055
2012-06-08,10.580215454101562
2012-06-11,10.41968822479248
2012-06-12,10.604537963867188
2012-06-13,10.643452644348145
2012-06-14,10.5996732711792
2012-06-15,10.672638893127441
2012-06-18,10.628859519958496
2012-06-19,10.5996732711792
2012-06-20,10.643452644348145
2012-06-21,10.604537963867188
2012-06-22,10.628859519958496
2012-06-25,10.653182029724121
2012-06-26,10.51211166381836
2012-06-27,10.570486068725586
2012-06-28,10.779656410217285
2012-06-29,10.910998344421387
2012-07-02,11.139627456665039
2012-07-03,11.163951873779297
2012-07-05,11.227188110351562
2012-07-06,11.251503944396973
2012-07-09,11.305022239685059
2012-07-10,11.217456817626953
2012-07-11,11.275833129882812
2012-07-12,11.05693244934082
2012-07-13,11.227188110351562
2012-07-16,11.241780281066895
2012-07-17,11.21259593963623
2012-07-18,11.154220581054688
2012-07-19,11.188275337219238
2012-07-20,11.392580032348633
2012-07-23,11.149357795715332
2012-07-24,11.368255615234375
2012-07-25,11.533648490905762
2012-07-26,11.674717903137207
2012-07-27,11.747684478759766
2012-07-30,11.776870727539062
2012-07-31,11.883893013000488
2012-08-01,11.684449195861816
2012-08-02,11.611481666564941
2012-08-03,11.854706764221191
2012-08-06,11.810927391052246
2012-08-07,11.903345108032227
2012-08-08,11.840108871459961
2012-08-09,11.684449195861816
2012-08-10,11.572569847106934
2012-08-13,12.151432991027832
2012-08-14,12.127115249633789
2012-08-15,12.112517356872559
2012-08-16,12.210241317749023
2012-08-17,12.239559173583984
2012-08-20,11.95616340637207
2012-08-21,12.215128898620605
2012-08-22,12.210241317749023
2012-08-23,12.263984680175781
2012-08-24,12.268871307373047
2012-08-27,12.337278366088867
2012-08-28,12.430109024047852
2012-08-29,12.601127624511719
2012-08-30,12.645099639892578
2012-08-31,12.811227798461914
2012-09-04,12.840539932250977
2012-09-05,12.869858741760254
2012-09-06,12.801454544067383
2012-09-07,12.933372497558594
2012-09-10,12.933372497558594
2012-09-11,12.992012023925781
2012-09-12,13.138586044311523
2012-09-13,13.05552864074707
2012-09-14,13.202113151550293
2012-09-17,13.314486503601074
2012-09-18,13.250970840454102
2012-09-19,13.104387283325195
2012-09-20,12.952923774719238
2012-09-21,12.908944129943848
2012-09-24,12.786792755126953
2012-09-25,12.625551223754883
2012-09-26,12.552261352539062
2012-09-27,12.630439758300781
2012-09-28,12.82099437713623
2012-10-01,12.76236343383789
2012-10-02,12.527836799621582
2012-10-03,12.50829029083252
2012-10-04,12.53760814666748
2012-10-05,12.635327339172363
2012-10-08,12.51806354522705
2012-10-09,12.586466789245605
2012-10-10,12.801454544067383
2012-10-11,12.796574592590332
2012-10-12,12.532716751098633
2012-10-15,12.801454544067383
2012-10-16,12.718392372131348
2012-10-17,12.860082626342773
2012-10-18,12.860082626342773
2012-10-19,12.591355323791504
2012-10-22,12.825883865356445
2012-10-23,12.552261352539062
2012-10-24,12.571806907653809
2012-10-25,12.679299354553223
2012-10-26,12.6157808303833
2012-10-31,12.698846817016602
2012-11-01,12.68907356262207
2012-11-02,12.781906127929688
2012-11-05,12.904064178466797
2012-11-06,12.772137641906738
2012-11-07,12.503399848937988
2012-11-08,12.420344352722168
2012-11-09,12.527836799621582
2012-11-12,12.698846817016602
2012-11-13,12.48386287689209
2012-11-14,12.51806354522705
2012-11-15,12.567230224609375
2012-11-16,12.53773021697998
2012-11-19,12.665565490722656
2012-11-20,12.5623140335083
2012-11-21,12.459062576293945
2012-11-23,12.385305404663086
2012-11-26,12.40497875213623
2012-11-27,12.286975860595703
2012-11-28,12.286975860595703
2012-11-29,12.29189395904541
2012-11-30,12.331223487854004
2012-12-03,12.27713680267334
2012-12-04,12.370555877685547
2012-12-05,12.41972827911377
2012-12-06,12.267308235168457
2012-12-07,12.267308235168457
2012-12-10,12.262394905090332
2012-12-11,12.341059684753418
2012-12-12,12.218138694763184
2012-12-13,12.208303451538086
2012-12-14,12.14930534362793
2012-12-17,12.429561614990234
