Date,BKNG
2010-01-04,220.77603149414062
2010-01-05,223.3390655517578
2010-01-06,215.9653778076172
2010-01-07,213.0573272705078
2010-01-08,213.1361846923828
2010-01-11,215.7978057861328
2010-01-12,210.93789672851562
2010-01-13,211.25335693359375
2010-01-14,205.80197143554688
2010-01-15,205.80197143554688
2010-01-19,205.73297119140625
2010-01-20,203.37693786621094
2010-01-21,205.0823516845703
2010-01-22,201.2969512939453
2010-01-25,199.95626831054688
2010-01-26,201.53353881835938
2010-01-27,204.5697479248047
2010-01-28,198.81275939941406
2010-01-29,192.57275390625
2010-02-01,201.2969512939453
2010-02-02,201.51382446289062
2010-02-03,205.56539916992188
2010-02-04,197.16650390625
2010-02-05,194.15989685058594
2010-02-08,197.767822265625
2010-02-09,202.46017456054688
2010-02-10,203.46568298339844
2010-02-11,205.93011474609375
2010-02-12,204.82606506347656
2010-02-16,208.20729064941406
2010-02-17,209.84368896484375
2010-02-18,229.63819885253906
2010-02-19,227.2920684814453
2010-02-22,225.81338500976562
2010-02-23,221.8899688720703
2010-02-24,221.82093811035156
2010-02-25,220.6873016357422
2010-02-26,223.48692321777344
2010-03-01,235.1487274169922
2010-03-02,237.908935546875
2010-03-03,232.46742248535156
2010-03-04,229.8057861328125
2010-03-05,231.99424743652344
2010-03-08,236.7654266357422
2010-03-09,234.94171142578125
2010-03-10,237.5639190673828
2010-03-11,238.76657104492188
2010-03-12,235.51348876953125
2010-03-15,235.4641876220703
2010-03-16,238.3722686767578
2010-03-17,239.46646118164062
2010-03-18,239.35804748535156
2010-03-19,235.61204528808594
2010-03-22,239.56503295898438
2010-03-23,240.93528747558594
2010-03-24,240.333984375
2010-03-25,251.40431213378906
2010-03-26,248.5258026123047
2010-03-29,252.0352020263672
2010-03-30,252.35067749023438
2010-03-31,251.374755859375
2010-04-01,253.34629821777344
2010-04-05,253.98703002929688
2010-04-06,257.8808898925781
2010-04-07,256.1163635253906
2010-04-08,255.62344360351562
2010-04-09,255.80087280273438
2010-04-12,256.5304260253906
2010-04-13,253.93777465820312
2010-04-14,261.48883056640625
2010-04-15,261.212890625
2010-04-16,251.23672485351562
2010-04-19,244.06024169921875
2010-04-20,251.6507568359375
2010-04-21,249.551025390625
2010-04-22,254.6376953125
2010-04-23,257.9795227050781
2010-04-26,266.516357421875
2010-04-27,260.54248046875
2010-04-28,258.0583190917969
2010-04-29,269.11883544921875
2010-04-30,258.3244934082031
2010-05-03,265.2545471191406
2010-05-04,254.6968231201172
2010-05-05,243.46875
2010-05-06,229.78607177734375
2010-05-07,222.18568420410156
2010-05-10,246.19937133789062
2010-05-11,216.44847106933594
2010-05-12,214.78245544433594
2010-05-13,209.86341857910156
2010-05-14,205.31895446777344
2010-05-17,197.30450439453125
2010-05-18,190.1181640625
2010-05-19,187.40724182128906
2010-05-20,178.4267578125
2010-05-21,188.52117919921875
2010-05-24,190.3941650390625
2010-05-25,190.68992614746094
2010-05-26,189.68443298339844
2010-05-27,194.78091430664062
2010-05-28,188.44232177734375
2010-06-01,182.37974548339844
2010-06-02,187.1312255859375
2010-06-03,182.4783172607422
2010-06-04,176.00173950195312
2010-06-07,173.88229370117188
2010-06-08,174.2174530029297
2010-06-09,172.69937133789062
2010-06-10,178.66336059570312
2010-06-11,181.29541015625
2010-06-14,181.52210998535156
2010-06-15,183.12896728515625
2010-06-16,193.6177215576172
2010-06-17,192.48402404785156
2010-06-18,190.34487915039062
2010-06-21,186.55947875976562
2010-06-22,186.2637481689453
2010-06-23,185.57369995117188
2010-06-24,182.4783172607422
2010-06-25,189.26055908203125
2010-06-28,185.25823974609375
2010-06-29,177.72686767578125
2010-06-30,174.03016662597656
2010-07-01,179.442138671875
2010-07-02,173.9020233154297
2010-07-06,178.91966247558594
2010-07-07,188.01844787597656
2010-07-08,196.44688415527344
2010-07-09,201.18849182128906
2010-07-12,201.0997772216797
2010-07-13,213.24465942382812
2010-07-14,212.28843688964844
2010-07-15,219.44520568847656
2010-07-16,215.10777282714844
2010-07-19,216.92161560058594
2010-07-20,218.489013671875
2010-07-21,215.3246307373047
2010-07-22,224.6797332763672
2010-07-23,225.38949584960938
2010-07-26,228.25811767578125
2010-07-27,220.84503173828125
2010-07-28,220.8844757080078
2010-07-29,221.00274658203125
2010-07-30,221.2097625732422
2010-08-02,224.1474151611328
2010-08-03,227.39064025878906
2010-08-04,277.3008117675781
2010-08-05,288.5091857910156
2010-08-06,291.0525207519531
2010-08-09,288.5683898925781
2010-08-10,289.83013916015625
2010-08-11,284.9899597167969
2010-08-12,295.3406982421875
2010-08-13,292.9649353027344
2010-08-16,290.3328552246094
2010-08-17,299.25421142578125
2010-08-18,293.39862060546875
2010-08-19,295.2125244140625
2010-08-20,298.0614013671875
2010-08-23,295.5575256347656
2010-08-24,287.6514892578125
2010-08-25,290.7074890136719
2010-08-26,281.7270202636719
2010-08-27,293.447998046875
2010-08-30,285.5617370605469
2010-08-31,287.3360900878906
2010-09-01,302.4777526855469
2010-09-02,306.85455322265625
2010-09-03,309.38812255859375
2010-09-07,307.1207580566406
2010-09-08,324.095947265625
2010-09-09,319.19659423828125
2010-09-10,318.5558776855469
2010-09-13,325.60418701171875
2010-09-14,330.01068115234375
2010-09-15,327.3392028808594
2010-09-16,327.6546630859375
2010-09-17,330.1881408691406
2010-09-20,342.5202331542969
2010-09-21,336.17181396484375
2010-09-22,333.3426208496094
2010-09-23,332.4061279296875
2010-09-24,339.3755798339844
2010-09-27,340.25299072265625
2010-09-28,344.95513916015625
2010-09-29,343.18072509765625
2010-09-30,343.3877868652344
2010-10-01,333.0173034667969
2010-10-04,326.9251708984375
2010-10-05,340.0361022949219
2010-10-06,327.96026611328125
2010-10-07,326.15625
2010-10-08,336.05352783203125
2010-10-11,327.62506103515625
2010-10-12,331.400634765625
2010-10-13,336.1914978027344
2010-10-14,344.0975036621094
2010-10-15,349.55877685546875
2010-10-18,348.7306823730469
2010-10-19,340.5979919433594
2010-10-20,342.62872314453125
2010-10-21,338.8137512207031
2010-10-22,358.3321838378906
2010-10-25,366.642333984375
2010-10-26,369.11669921875
2010-10-27,367.2042236328125
2010-10-28,362.354248046875
2010-10-29,371.4529724121094
