Date,TDW
2010-01-04,1337.08642578125
2010-01-05,1349.0955810546875
2010-01-06,1364.652587890625
2010-01-07,1358.37548828125
2010-01-08,1391.9456787109375
2010-01-11,1375.5699462890625
2010-01-12,1357.0108642578125
2010-01-13,1361.650634765625
2010-01-14,1380.482421875
2010-01-15,1370.111328125
2010-01-19,1402.0440673828125
2010-01-20,1373.6593017578125
2010-01-21,1335.4493408203125
2010-01-22,1302.970458984375
2010-01-25,1312.795654296875
2010-01-26,1305.69970703125
2010-01-27,1303.7890625
2010-01-28,1289.0509033203125
2010-01-29,1277.860595703125
2010-02-01,1328.6258544921875
2010-02-02,1290.6883544921875
2010-02-03,1258.755615234375
2010-02-04,1223.5474853515625
2010-02-05,1199.8026123046875
2010-02-08,1201.7130126953125
2010-02-09,1221.6370849609375
2010-02-10,1210.719970703125
2010-02-11,1217.8160400390625
2010-02-12,1217.542724609375
2010-02-16,1247.292724609375
2010-02-17,1251.6591796875
2010-02-18,1260.1202392578125
2010-02-19,1260.1202392578125
2010-02-22,1260.39306640625
2010-02-23,1235.0103759765625
2010-02-24,1226.5496826171875
2010-02-25,1219.453369140625
2010-02-26,1216.4510498046875
2010-03-01,1240.4688720703125
2010-03-02,1238.5589599609375
2010-03-03,1255.57421875
2010-03-04,1266.552001953125
2010-03-05,1280.82275390625
2010-03-08,1295.0938720703125
2010-03-09,1298.1126708984375
2010-03-10,1318.1470947265625
2010-03-11,1326.105712890625
2010-03-12,1334.339111328125
2010-03-15,1329.1246337890625
2010-03-16,1355.7457275390625
2010-03-17,1370.5655517578125
2010-03-18,1344.76806640625
2010-03-19,1313.7557373046875
2010-03-22,1324.458984375
2010-03-23,1332.417724609375
2010-03-24,1313.206787109375
2010-03-25,1262.98388671875
2010-03-26,1286.8607177734375
2010-03-29,1304.150390625
2010-03-30,1300.033935546875
2010-03-31,1297.2890625
2010-04-01,1326.105712890625
2010-04-05,1351.629150390625
2010-04-06,1355.7457275390625
2010-04-07,1342.0234375
2010-04-08,1339.827880859375
2010-04-09,1359.3133544921875
2010-04-12,1358.489990234375
2010-04-13,1343.6700439453125
2010-04-14,1369.467529296875
2010-04-15,1363.7047119140625
2010-04-16,1353.0009765625
2010-04-19,1357.94140625
2010-04-20,1391.1488037109375
2010-04-21,1390.0506591796875
2010-04-22,1399.9307861328125
2010-04-23,1420.2396240234375
2010-04-26,1436.98046875
2010-04-27,1403.7730712890625
2010-04-28,1436.98046875
2010-04-29,1455.6424560546875
2010-04-30,1471.285888671875
2010-05-03,1435.608154296875
2010-05-04,1397.735107421875
2010-05-05,1388.1297607421875
2010-05-06,1339.2789306640625
2010-05-07,1329.399169921875
2010-05-10,1370.016357421875
2010-05-11,1385.6600341796875
2010-05-12,1401.851806640625
2010-05-13,1371.1143798828125
2010-05-14,1335.7113037109375
2010-05-17,1333.515625
2010-05-18,1307.992431640625
2010-05-19,1300.30810546875
2010-05-20,1177.35791015625
2010-05-21,1181.474609375
2010-05-24,1136.74072265625
2010-05-25,1147.9927978515625
2010-05-26,1147.9927978515625
2010-05-27,1182.8466796875
2010-05-28,1147.4434814453125
2010-06-01,1134.8193359375
2010-06-02,1150.28173828125
2010-06-03,1139.51318359375
2010-06-04,1112.73046875
2010-06-07,1103.894775390625
2010-06-08,1114.1107177734375
2010-06-09,1104.4473876953125
2010-06-10,1151.10986328125
2010-06-11,1143.378662109375
2010-06-14,1134.267333984375
2010-06-15,1184.243408203125
2010-06-16,1162.4306640625
2010-06-17,1177.064697265625
2010-06-18,1192.52685546875
2010-06-21,1177.064697265625
2010-06-22,1142.2744140625
2010-06-23,1140.6175537109375
2010-06-24,1117.1483154296875
2010-06-25,1115.767822265625
2010-06-28,1103.894775390625
2010-06-29,1080.149169921875
2010-06-30,1069.1051025390625
2010-07-01,1058.336669921875
2010-07-02,1062.75439453125
2010-07-06,1064.6868896484375
2010-07-07,1107.2081298828125
2010-07-08,1126.81201171875
2010-07-09,1136.751953125
2010-07-12,1124.3271484375
2010-07-13,1147.796630859375
2010-07-14,1150.8338623046875
2010-07-15,1138.4088134765625
2010-07-16,1103.3427734375
2010-07-19,1107.2081298828125
2010-07-20,1135.37158203125
2010-07-21,1089.260986328125
2010-07-22,1095.0592041015625
2010-07-23,1102.2381591796875
2010-07-26,1131.229736328125
2010-07-27,1132.8868408203125
