Date,KMT
2010-01-04,18.812942504882812
2010-01-05,18.812942504882812
2010-01-06,18.95824432373047
2010-01-07,19.650144577026367
2010-01-08,19.823135375976562
2010-01-11,20.03070068359375
2010-01-12,19.74009895324707
2010-01-13,19.601713180541992
2010-01-14,19.712419509887695
2010-01-15,19.235004425048828
2010-01-19,19.615556716918945
2010-01-20,19.269603729248047
2010-01-21,18.681472778320312
2010-01-22,18.08643913269043
2010-01-25,18.307851791381836
2010-01-26,18.210983276367188
2010-01-27,18.709157943725586
2010-01-28,17.636703491210938
2010-01-29,16.937877655029297
2010-02-01,17.46373176574707
2010-02-02,17.954984664916992
2010-02-03,17.636703491210938
2010-02-04,16.95171356201172
2010-02-05,16.791786193847656
2010-02-08,16.59014892578125
2010-02-09,16.90303611755371
2010-02-10,16.770936965942383
2010-02-11,17.494056701660156
2010-02-12,17.591407775878906
2010-02-16,18.140701293945312
2010-02-17,18.154600143432617
2010-02-18,18.314523696899414
2010-02-19,18.32147789001465
2010-02-22,18.022493362426758
2010-02-23,17.9251651763916
2010-02-24,18.119834899902344
2010-02-25,18.078128814697266
2010-02-26,18.11288833618164
2010-03-01,18.571792602539062
2010-03-02,18.975074768066406
2010-03-03,18.898590087890625
2010-03-04,19.051563262939453
2010-03-05,19.32967758178711
2010-03-08,19.57304573059082
2010-03-09,19.719058990478516
2010-03-10,20.567338943481445
2010-03-11,20.511714935302734
2010-03-12,20.75507164001465
2010-03-15,20.59514808654785
2010-03-16,20.789838790893555
2010-03-17,21.03319549560547
2010-03-18,20.84546661376953
2010-03-19,20.303123474121094
2010-03-22,20.303123474121094
2010-03-23,20.41437530517578
2010-03-24,20.011085510253906
2010-03-25,19.559133529663086
2010-03-26,19.552183151245117
2010-03-29,19.774686813354492
2010-03-30,19.83726692199707
2010-03-31,19.552183151245117
2010-04-01,19.82335662841797
2010-04-05,20.372652053833008
2010-04-06,20.323976516723633
2010-04-07,20.87327766418457
2010-04-08,21.081872940063477
2010-04-09,21.35999298095703
2010-04-12,21.60335350036621
2010-04-13,21.82584571838379
2010-04-14,22.131793975830078
2010-04-15,22.78538703918457
2010-04-16,22.389060974121094
2010-04-19,21.99968147277832
2010-04-20,21.944061279296875
2010-04-21,22.16655158996582
2010-04-22,22.521167755126953
2010-04-23,22.7714786529541
2010-04-26,22.729759216308594
2010-04-27,21.90233612060547
2010-04-28,22.40296745300293
2010-04-29,23.39727020263672
2010-04-30,22.84796142578125
2010-05-03,23.508508682250977
2010-05-04,22.333425521850586
2010-05-05,21.526866912841797
2010-05-06,20.83851432800293
2010-05-07,19.812294006347656
2010-05-10,21.194551467895508
2010-05-11,21.32718276977539
2010-05-12,22.506986618041992
2010-05-13,22.50000762939453
2010-05-14,20.92926597595215
2010-05-17,20.419645309448242
2010-05-18,20.147384643554688
2010-05-19,19.574934005737305
2010-05-20,18.241552352905273
2010-05-21,18.807016372680664
2010-05-24,18.960601806640625
2010-05-25,19.163053512573242
2010-05-26,19.051355361938477
2010-05-27,19.83323097229004
2010-05-28,19.693614959716797
2010-06-01,18.786075592041016
2010-06-02,20.000782012939453
2010-06-03,19.923992156982422
2010-06-04,18.890785217285156
2010-06-07,18.416072845458984
2010-06-08,18.38815689086914
2010-06-09,18.471925735473633
2010-06-10,19.48418617248535
2010-06-11,19.93794822692871
2010-06-14,20.063610076904297
2010-06-15,20.67096519470215
2010-06-16,20.35681915283203
2010-06-17,20.133419036865234
2010-06-18,20.175304412841797
2010-06-21,19.78437042236328
2010-06-22,19.19097900390625
2010-06-23,19.15607261657715
2010-06-24,18.5836238861084
2010-06-25,18.8000431060791
2010-06-28,18.653432846069336
2010-06-29,18.129858016967773
2010-06-30,17.75287628173828
2010-07-01,17.557409286499023
2010-07-02,17.222314834594727
2010-07-06,16.99193572998047
2010-07-07,17.864574432373047
2010-07-08,18.255517959594727
2010-07-09,18.52079200744629
2010-07-12,18.30438232421875
2010-07-13,18.99550437927246
2010-07-14,18.876829147338867
2010-07-15,18.716259002685547
2010-07-16,17.81571388244629
2010-07-19,18.213624954223633
2010-07-20,18.478906631469727
2010-07-21,18.807016372680664
2010-07-22,19.70757293701172
2010-07-23,20.105501174926758
2010-07-26,20.182283401489258
2010-07-27,19.99380111694336
2010-07-28,19.630781173706055
2010-07-29,19.400409698486328
2010-07-30,19.121164321899414
2010-08-02,19.435312271118164
2010-08-03,19.253803253173828
2010-08-04,19.456260681152344
2010-08-05,19.498144149780273
2010-08-06,19.070459365844727
2010-08-09,19.322866439819336
2010-08-10,19.280792236328125
2010-08-11,18.66381072998047
2010-08-12,18.56565284729004
2010-08-13,18.390365600585938
2010-08-16,18.390365600585938
2010-08-17,18.775997161865234
2010-08-18,18.719898223876953
2010-08-19,18.2291202545166
2010-08-20,18.27118492126465
2010-08-23,17.864530563354492
2010-08-24,17.401792526245117
2010-08-25,17.563047409057617
2010-08-26,17.703277587890625
2010-08-27,18.088890075683594
2010-08-30,17.724313735961914
2010-08-31,17.668216705322266
2010-09-01,18.285207748413086
2010-09-02,18.66381072998047
2010-09-03,19.09149742126465
2010-09-07,18.775997161865234
2010-09-08,18.986326217651367
2010-09-09,18.97931480407715
2010-09-10,19.16161346435547
2010-09-13,19.68744468688965
2010-09-14,19.89076805114746
2010-09-15,20.080074310302734
2010-09-16,20.318458557128906
2010-09-17,20.802227020263672
2010-09-20,21.46828842163086
2010-09-21,21.314043045043945
2010-09-22,21.012561798095703
2010-09-23,21.138763427734375
2010-09-24,21.860918045043945
2010-09-27,21.81885528564453
2010-09-28,22.260562896728516
