Date,TPR
2010-01-04,23.753692626953125
2010-01-05,24.04153060913086
2010-01-06,24.51253890991211
2010-01-07,24.5256290435791
2010-01-08,24.3817138671875
2010-01-11,25.068618774414062
2010-01-12,25.25177574157715
2010-01-13,25.035911560058594
2010-01-14,24.53217124938965
2010-01-15,24.067697525024414
2010-01-19,24.49946403503418
2010-01-20,23.12566566467285
2010-01-21,22.307926177978516
2010-01-22,22.268674850463867
2010-01-25,22.301372528076172
2010-01-26,22.641555786132812
2010-01-27,22.903234481811523
2010-01-28,22.811647415161133
2010-01-29,22.81818962097168
2010-02-01,23.07332992553711
2010-02-02,23.374252319335938
2010-02-03,23.217248916625977
2010-02-04,22.549972534179688
2010-02-05,22.451847076416016
2010-02-08,22.36680030822754
2010-02-09,22.700441360473633
2010-02-10,22.72005844116211
2010-02-11,23.145286560058594
2010-02-12,23.20416259765625
2010-02-16,23.668636322021484
2010-02-17,23.583600997924805
2010-02-18,23.83872413635254
2010-02-19,23.79947853088379
2010-02-22,23.917234420776367
2010-02-23,23.917234420776367
2010-02-24,24.322830200195312
2010-02-25,24.002273559570312
2010-02-26,23.83872413635254
2010-03-01,24.218164443969727
2010-03-02,24.120033264160156
2010-03-03,23.858360290527344
2010-03-04,24.372957229614258
2010-03-05,24.707277297973633
2010-03-08,24.615509033203125
2010-03-09,25.47425651550293
2010-03-10,25.29071617126465
2010-03-11,25.231704711914062
2010-03-12,25.087495803833008
2010-03-15,24.943273544311523
2010-03-16,24.792505264282227
2010-03-17,25.061275482177734
2010-03-18,24.96295166015625
2010-03-19,24.812166213989258
2010-03-22,25.133380889892578
2010-03-23,25.139934539794922
2010-03-24,25.33659553527832
2010-03-25,25.369369506835938
2010-03-26,26.424789428710938
2010-03-29,26.20846176147461
2010-03-30,26.162578582763672
2010-03-31,25.90692138671875
2010-04-01,26.3133487701416
2010-04-05,26.575565338134766
2010-04-06,26.700117111206055
2010-04-07,26.542795181274414
2010-04-08,26.529678344726562
2010-04-09,27.099985122680664
2010-04-12,26.995107650756836
2010-04-13,27.231107711791992
2010-04-14,27.932540893554688
2010-04-15,28.181638717651367
2010-04-16,27.735868453979492
2010-04-19,27.453994750976562
2010-04-20,27.55232810974121
2010-04-21,28.21441650390625
2010-04-22,28.312747955322266
2010-04-23,28.594640731811523
2010-04-26,28.4897403717041
2010-04-27,27.512989044189453
2010-04-28,27.762088775634766
2010-04-29,28.26030921936035
2010-04-30,27.368764877319336
2010-05-03,28.207853317260742
2010-05-04,27.42121696472168
2010-05-05,26.73288917541504
2010-05-06,25.644695281982422
2010-05-07,25.094045639038086
2010-05-10,26.923004150390625
2010-05-11,27.17210578918457
2010-05-12,27.79487419128418
2010-05-13,27.29010581970215
2010-05-14,26.260906219482422
2010-05-17,26.352685928344727
2010-05-18,25.736478805541992
2010-05-19,25.454591751098633
2010-05-20,24.785947799682617
2010-05-21,25.19237518310547
2010-05-24,25.395593643188477
2010-05-25,25.62504005432129
2010-05-26,25.802034378051758
2010-05-27,27.4998722076416
2010-05-28,26.949228286743164
2010-06-01,26.3985652923584
2010-06-02,27.270444869995117
2010-06-03,27.4998722076416
2010-06-04,26.045942306518555
2010-06-07,25.756465911865234
2010-06-08,26.23014259338379
2010-06-09,26.84856605529785
2010-06-10,27.736717224121094
2010-06-11,28.16434669494629
2010-06-14,28.49329948425293
2010-06-15,29.15776824951172
2010-06-16,28.624868392944336
2010-06-17,28.420928955078125
2010-06-18,28.361717224121094
2010-06-21,27.736717224121094
2010-06-22,26.782773971557617
2010-06-23,26.710411071777344
2010-06-24,25.97356414794922
2010-06-25,25.763038635253906
2010-06-28,25.677515029907227
2010-06-29,24.348573684692383
2010-06-30,24.04594612121582
2010-07-01,23.986736297607422
2010-07-02,23.532791137695312
2010-07-06,22.828847885131836
2010-07-07,23.73673439025879
2010-07-08,23.76304817199707
2010-07-09,24.013051986694336
2010-07-12,23.703842163085938
2010-07-13,24.447256088256836
2010-07-14,24.190683364868164
2010-07-15,24.177522659301758
2010-07-16,22.868324279785156
2010-07-19,22.61174201965332
2010-07-20,23.19068717956543
2010-07-21,23.09200668334961
2010-07-22,24.11173439025879
2010-07-23,24.58542251586914
2010-07-26,25.04593849182129
2010-07-27,24.37489128112793
2010-07-28,24.131473541259766
2010-07-29,23.98015785217285
2010-07-30,24.3222599029541
2010-08-02,25.282773971557617
2010-08-03,24.407787322998047
2010-08-04,25.85515594482422
2010-08-05,25.480152130126953
2010-08-06,25.631465911865234
2010-08-09,25.815670013427734
2010-08-10,25.723567962646484
2010-08-11,24.809099197387695
2010-08-12,24.874887466430664
2010-08-13,24.54595375061035
2010-08-16,24.49989128112793
2010-08-17,24.920944213867188
2010-08-18,25.039365768432617
2010-08-19,24.447256088256836
2010-08-20,24.54595375061035
2010-08-23,24.86831283569336
2010-08-24,24.52620506286621
2010-08-25,24.90119743347168
2010-08-26,24.118309020996094
2010-08-27,24.289356231689453
2010-08-30,23.532791137695312
2010-08-31,23.578845977783203
2010-09-01,24.730148315429688
2010-09-02,25.205720901489258
2010-09-03,25.839832305908203
2010-09-07,25.615264892578125
2010-09-08,25.952133178710938
2010-09-09,25.813417434692383
2010-09-10,25.727558135986328
2010-09-13,26.4409236907959
2010-09-14,26.876861572265625
2010-09-15,27.378862380981445
2010-09-16,27.411893844604492
2010-09-17,27.444934844970703
2010-09-20,27.563819885253906
2010-09-21,27.59683609008789
2010-09-22,27.33263397216797
2010-09-23,27.08823585510254
2010-09-24,28.032785415649414
2010-09-27,28.118656158447266
2010-09-28,28.871658325195312
