Date,TJX
2010-01-04,7.315544128417969
2010-01-05,7.512434959411621
2010-01-06,7.5428853034973145
2010-01-07,7.928557395935059
2010-01-08,7.825031757354736
2010-01-11,7.812851905822754
2010-01-12,7.741811752319336
2010-01-13,7.768195152282715
2010-01-14,7.672792911529541
2010-01-15,7.569269180297852
2010-01-19,7.689032554626465
2010-01-20,7.593631267547607
2010-01-21,7.479960918426514
2010-01-22,7.457627773284912
2010-01-25,7.512434959411621
2010-01-26,7.7296319007873535
2010-01-27,7.79255485534668
2010-01-28,7.760075569152832
2010-01-29,7.715414047241211
2010-02-01,7.814878940582275
2010-02-02,7.963057518005371
2010-02-03,7.867659568786621
2010-02-04,7.743836402893066
2010-02-05,7.7763142585754395
2010-02-08,7.6707634925842285
2010-02-09,7.719637870788574
2010-02-10,7.658542633056641
2010-02-11,7.640219688415527
2010-02-12,7.654475212097168
2010-02-16,7.833670139312744
2010-02-17,7.898830890655518
2010-02-18,7.9599199295043945
2010-02-19,7.972137928009033
2010-02-22,8.016935348510742
2010-02-23,7.978246688842773
2010-02-24,8.249073028564453
2010-02-25,8.49953842163086
2010-02-26,8.477141380310059
2010-03-01,8.485285758972168
2010-03-02,8.365143775939941
2010-03-03,8.38143539428711
2010-03-04,8.356998443603516
2010-03-05,8.456777572631836
2010-03-08,8.458809852600098
2010-03-09,8.483247756958008
2010-03-10,8.526010513305664
2010-03-11,8.505648612976074
2010-03-12,8.578953742980957
2010-03-15,8.72964096069336
2010-03-16,8.802945137023926
2010-03-17,8.776476860046387
2010-03-18,8.788692474365234
2010-03-19,8.752038955688477
2010-03-22,8.882363319396973
2010-03-23,8.86403751373291
2010-03-24,8.802945137023926
2010-03-25,8.862001419067383
2010-03-26,8.823312759399414
2010-03-29,8.813128471374512
2010-03-30,8.796842575073242
2010-03-31,8.658371925354004
2010-04-01,8.697056770324707
2010-04-05,9.031017303466797
2010-04-06,9.102286338806152
2010-04-07,9.085994720458984
2010-04-08,9.126727104187012
2010-04-09,9.12875747680664
2010-04-12,9.287586212158203
2010-04-13,9.39754867553711
2010-04-14,9.436240196228027
2010-04-15,9.417913436889648
2010-04-16,9.30184555053711
2010-04-19,9.26315689086914
2010-04-20,9.364971160888672
2010-04-21,9.542131423950195
2010-04-22,9.711143493652344
2010-04-23,9.776304244995117
2010-04-26,9.751867294311523
2010-04-27,9.570637702941895
2010-04-28,9.50954818725586
2010-04-29,9.625616073608398
2010-04-30,9.436240196228027
2010-05-03,9.599143028259277
2010-05-04,9.299805641174316
2010-05-05,9.432165145874023
2010-05-06,9.088033676147461
2010-05-07,8.892544746398926
2010-05-10,9.318132400512695
2010-05-11,9.344696044921875
2010-05-12,9.49996280670166
2010-05-13,9.267060279846191
2010-05-14,9.244585990905762
2010-05-17,9.244585990905762
2010-05-18,8.92383098602295
2010-05-19,8.823725700378418
2010-05-20,8.874802589416504
2010-05-21,8.985124588012695
2010-05-24,8.978997230529785
2010-05-25,9.26501750946045
2010-05-26,9.091361045837402
2010-05-27,9.399856567382812
2010-05-28,9.287492752075195
2010-06-01,9.24867057800293
2010-06-02,9.42232894897461
2010-06-03,9.459099769592285
2010-06-04,9.089319229125977
2010-06-07,8.98308277130127
2010-06-08,9.146522521972656
2010-06-09,9.197596549987793
2010-06-10,9.442758560180664
2010-06-11,9.408028602600098
2010-06-14,9.414156913757324
2010-06-15,9.5244779586792
2010-06-16,9.459099769592285
2010-06-17,9.377381324768066
2010-06-18,9.389638900756836
2010-06-21,9.209856033325195
2010-06-22,9.087279319763184
2010-06-23,9.134264945983887
2010-06-24,9.017814636230469
2010-06-25,8.813508987426758
2010-06-28,8.82985782623291
2010-06-29,8.586739540100098
2010-06-30,8.570395469665527
2010-07-01,8.766524314880371
2010-07-02,8.656201362609863
2010-07-06,8.666417121887207
2010-07-07,8.8891019821167
2010-07-08,8.484589576721191
2010-07-09,8.523406982421875
2010-07-12,8.578567504882812
2010-07-13,8.737922668457031
2010-07-14,8.676630973815918
2010-07-15,8.760394096374512
2010-07-16,8.425345420837402
2010-07-19,8.45803165435791
2010-07-20,8.588786125183105
2010-07-21,8.521361351013184
2010-07-22,8.631683349609375
2010-07-23,8.760394096374512
2010-07-26,8.776739120483398
2010-07-27,8.633727073669434
2010-07-28,8.505020141601562
2010-07-29,8.362009048461914
2010-07-30,8.482545852661133
2010-08-02,8.578567504882812
2010-08-03,8.380395889282227
2010-08-04,8.404909133911133
2010-08-05,8.580611228942871
2010-08-06,8.51523494720459
2010-08-09,8.780821800231934
2010-08-10,8.750068664550781
2010-08-11,8.569657325744629
2010-08-12,8.557358741760254
2010-08-13,8.385146141052246
2010-08-16,8.481500625610352
2010-08-17,8.565557479858398
2010-08-18,8.629111289978027
2010-08-19,8.596308708190918
2010-08-20,8.565557479858398
2010-08-23,8.491747856140137
2010-08-24,8.352341651916504
2010-08-25,8.424098014831543
2010-08-26,8.315436363220215
2010-08-27,8.432297706604004
2010-08-30,8.282638549804688
2010-08-31,8.137076377868652
2010-09-01,8.383095741271973
2010-09-02,8.497901916503906
2010-09-03,8.588109016418457
2010-09-07,8.39334487915039
2010-09-08,8.458948135375977
2010-09-09,8.432297706604004
2010-09-10,8.428196907043457
2010-09-13,8.452801704406738
2010-09-14,8.655765533447266
2010-09-15,8.719317436218262
2010-09-16,8.772623062133789
2010-09-17,8.776725769042969
2010-09-20,8.844378471374512
2010-09-21,8.8013277053833
2010-09-22,8.920232772827148
2010-09-23,9.05349349975586
2010-09-24,9.235958099365234
2010-09-27,9.190852165222168
