Date,INVX
2010-01-04,57.849998474121094
2010-01-05,58.20000076293945
2010-01-06,58.41999816894531
2010-01-07,57.900001525878906
2010-01-08,58.470001220703125
2010-01-11,57.72999954223633
2010-01-12,56.34000015258789
2010-01-13,56.560001373291016
2010-01-14,55.529998779296875
2010-01-15,55.84000015258789
2010-01-19,56.630001068115234
2010-01-20,55.86000061035156
2010-01-21,55.189998626708984
2010-01-22,54.45000076293945
2010-01-25,54.36000061035156
2010-01-26,54.040000915527344
2010-01-27,54.5099983215332
2010-01-28,54.0
2010-01-29,52.4900016784668
2010-02-01,53.5099983215332
2010-02-02,53.81999969482422
2010-02-03,53.619998931884766
2010-02-04,51.130001068115234
2010-02-05,50.400001525878906
2010-02-08,50.66999816894531
2010-02-09,52.619998931884766
2010-02-10,52.310001373291016
2010-02-11,53.31999969482422
2010-02-12,53.959999084472656
2010-02-16,54.90999984741211
2010-02-17,54.70000076293945
2010-02-18,56.38999938964844
2010-02-19,56.400001525878906
2010-02-22,57.0
2010-02-23,55.36000061035156
2010-02-24,56.439998626708984
2010-02-25,56.5099983215332
2010-02-26,54.720001220703125
2010-03-01,56.33000183105469
2010-03-02,57.439998626708984
2010-03-03,58.209999084472656
2010-03-04,58.20000076293945
2010-03-05,59.790000915527344
2010-03-08,60.68000030517578
2010-03-09,60.599998474121094
2010-03-10,60.900001525878906
2010-03-11,61.560001373291016
2010-03-12,62.13999938964844
2010-03-15,62.380001068115234
2010-03-16,63.09000015258789
2010-03-17,63.20000076293945
2010-03-18,62.0
2010-03-19,60.279998779296875
2010-03-22,60.959999084472656
2010-03-23,61.279998779296875
2010-03-24,62.119998931884766
2010-03-25,59.25
2010-03-26,59.130001068115234
2010-03-29,60.470001220703125
2010-03-30,60.70000076293945
2010-03-31,60.84000015258789
2010-04-01,63.959999084472656
2010-04-05,64.94000244140625
2010-04-06,65.43000030517578
2010-04-07,65.16999816894531
2010-04-08,64.58000183105469
2010-04-09,64.83000183105469
2010-04-12,64.55999755859375
2010-04-13,64.30000305175781
2010-04-14,65.37000274658203
2010-04-15,65.44999694824219
2010-04-16,64.88999938964844
2010-04-19,65.23999786376953
2010-04-20,66.08000183105469
2010-04-21,66.3499984741211
2010-04-22,68.12999725341797
2010-04-23,69.97000122070312
2010-04-26,69.68000030517578
2010-04-27,64.5
2010-04-28,63.59000015258789
2010-04-29,65.62000274658203
2010-04-30,57.93000030517578
2010-05-03,60.86000061035156
2010-05-04,58.529998779296875
2010-05-05,57.11000061035156
2010-05-06,54.90999984741211
2010-05-07,55.0
2010-05-10,57.93000030517578
2010-05-11,57.130001068115234
2010-05-12,61.959999084472656
2010-05-13,60.599998474121094
2010-05-14,58.52000045776367
2010-05-17,57.41999816894531
2010-05-18,56.15999984741211
2010-05-19,54.599998474121094
2010-05-20,51.380001068115234
2010-05-21,53.40999984741211
2010-05-24,51.04999923706055
2010-05-25,52.61000061035156
2010-05-26,53.88999938964844
2010-05-27,53.54999923706055
2010-05-28,48.709999084472656
2010-06-01,40.95000076293945
2010-06-02,43.88999938964844
2010-06-03,44.0
2010-06-04,43.61000061035156
2010-06-07,43.599998474121094
2010-06-08,43.90999984741211
2010-06-09,43.63999938964844
2010-06-10,46.709999084472656
2010-06-11,47.02000045776367
2010-06-14,47.77000045776367
2010-06-15,49.880001068115234
2010-06-16,49.68000030517578
2010-06-17,49.09000015258789
2010-06-18,48.97999954223633
2010-06-21,48.95000076293945
2010-06-22,47.209999084472656
2010-06-23,46.119998931884766
2010-06-24,44.790000915527344
2010-06-25,46.02000045776367
2010-06-28,45.54999923706055
2010-06-29,44.83000183105469
2010-06-30,44.02000045776367
2010-07-01,44.029998779296875
2010-07-02,44.43000030517578
2010-07-06,44.619998931884766
2010-07-07,46.90999984741211
2010-07-08,48.27000045776367
2010-07-09,49.279998779296875
2010-07-12,48.56999969482422
2010-07-13,49.13999938964844
2010-07-14,48.880001068115234
2010-07-15,49.220001220703125
2010-07-16,47.619998931884766
2010-07-19,47.5
2010-07-20,49.470001220703125
2010-07-21,48.54999923706055
2010-07-22,51.06999969482422
2010-07-23,52.41999816894531
2010-07-26,51.52000045776367
2010-07-27,51.88999938964844
2010-07-28,51.83000183105469
2010-07-29,52.150001525878906
2010-07-30,52.279998779296875
2010-08-02,54.029998779296875
2010-08-03,53.790000915527344
2010-08-04,53.90999984741211
2010-08-05,53.38999938964844
2010-08-06,52.369998931884766
2010-08-09,53.59000015258789
2010-08-10,54.029998779296875
2010-08-11,51.93000030517578
2010-08-12,51.5099983215332
2010-08-13,51.61000061035156
2010-08-16,51.599998474121094
2010-08-17,53.369998931884766
2010-08-18,53.90999984741211
2010-08-19,52.349998474121094
2010-08-20,51.83000183105469
2010-08-23,52.060001373291016
2010-08-24,52.0099983215332
2010-08-25,51.630001068115234
2010-08-26,51.18000030517578
2010-08-27,53.79999923706055
2010-08-30,52.560001373291016
2010-08-31,52.869998931884766
2010-09-01,54.38999938964844
2010-09-02,54.95000076293945
2010-09-03,56.900001525878906
2010-09-07,56.20000076293945
2010-09-08,56.91999816894531
2010-09-09,56.95000076293945
2010-09-10,58.77000045776367
2010-09-13,58.849998474121094
2010-09-14,58.16999816894531
2010-09-15,59.22999954223633
2010-09-16,57.83000183105469
2010-09-17,57.56999969482422
2010-09-20,58.88999938964844
2010-09-21,59.86000061035156
2010-09-22,60.099998474121094
2010-09-23,60.04999923706055
2010-09-24,61.22999954223633
2010-09-27,60.86000061035156
2010-09-28,62.41999816894531
2010-09-29,63.130001068115234
2010-09-30,62.11000061035156
