Date,REFI
2021-12-08,10.306796073913574
2021-12-09,10.000529289245605
2021-12-10,10.156787872314453
2021-12-13,10.181791305541992
2021-12-14,10.038033485412598
2021-12-15,10.000529289245605
2021-12-16,10.000529289245605
2021-12-17,10.094285011291504
2021-12-20,10.006780624389648
2021-12-21,10.013031005859375
2021-12-22,10.000529289245605
2021-12-23,10.016155242919922
2021-12-27,10.038033485412598
2021-12-28,10.025531768798828
2021-12-29,10.038033485412598
2021-12-30,10.038033485412598
2021-12-31,10.4068021774292
2022-01-03,10.594311714172363
2022-01-04,10.700569152832031
2022-01-05,10.688065528869629
2022-01-06,10.78182315826416
2022-01-07,10.831822395324707
2022-01-10,10.956832885742188
2022-01-11,11.144340515136719
2022-01-12,11.10058879852295
2022-01-13,11.269346237182617
2022-01-14,11.425606727600098
2022-01-18,11.531861305236816
2022-01-19,11.725621223449707
2022-01-20,12.194396018981934
2022-01-21,11.844377517700195
2022-01-24,11.869376182556152
2022-01-25,11.73812198638916
2022-01-26,11.681869506835938
2022-01-27,11.56311321258545
2022-01-28,11.831879615783691
2022-01-31,11.875630378723145
2022-02-01,11.875630378723145
2022-02-02,11.944384574890137
2022-02-03,12.100643157958984
2022-02-04,11.875630378723145
2022-02-07,11.988137245178223
2022-02-08,11.863128662109375
2022-02-09,11.869376182556152
2022-02-10,11.96938419342041
2022-02-11,12.119392395019531
2022-02-14,11.706870079040527
2022-02-15,11.775625228881836
2022-02-16,11.956883430480957
2022-02-17,11.869376182556152
2022-02-18,11.494359016418457
2022-02-22,11.425606727600098
2022-02-23,11.74437427520752
2022-02-24,11.825626373291016
2022-02-25,12.031888008117676
2022-02-28,12.631919860839844
2022-03-01,12.581917762756348
2022-03-02,12.40065860748291
2022-03-03,12.281899452209473
2022-03-04,12.019387245178223
2022-03-07,12.375654220581055
2022-03-08,11.894381523132324
2022-03-09,11.250595092773438
2022-03-10,11.225592613220215
2022-03-11,11.288097381591797
2022-03-14,11.144340515136719
2022-03-15,11.119340896606445
2022-03-16,11.806877136230469
2022-03-17,11.431857109069824
2022-03-18,10.631813049316406
2022-03-21,11.02558422088623
2022-03-22,10.975582122802734
2022-03-23,11.000584602355957
2022-03-24,11.300599098205566
2022-03-25,11.388104438781738
2022-03-28,11.525612831115723
2022-03-29,11.74437427520752
2022-03-30,11.35481071472168
2022-03-31,11.322877883911133
2022-04-01,11.610261917114258
2022-04-04,11.425057411193848
2022-04-05,11.28455924987793
2022-04-06,11.182378768920898
2022-04-07,11.12490177154541
2022-04-08,11.054652214050293
2022-04-11,11.112129211425781
2022-04-12,11.28455924987793
2022-04-13,11.686896324157715
2022-04-14,11.259014129638672
2022-04-18,11.28455924987793
2022-04-19,11.476149559020996
2022-04-20,11.897642135620117
2022-04-21,11.597487449645996
2022-04-22,11.386739730834961
2022-04-25,11.916801452636719
2022-04-26,11.08658504486084
2022-04-27,11.067427635192871
2022-04-28,11.303720474243164
2022-04-29,11.361196517944336
2022-05-02,10.926929473876953
2022-05-03,10.7481107711792
2022-05-04,10.837518692016602
2022-05-05,10.409638404846191
2022-05-06,10.11587142944336
2022-05-09,10.492661476135254
2022-05-10,10.256369590759277
2022-05-11,10.262754440307617
2022-05-12,10.30107307434082
2022-05-13,10.262754440307617
2022-05-16,10.249982833862305
2022-05-17,10.096713066101074
2022-05-18,9.975372314453125
2022-05-19,9.732694625854492
2022-05-20,9.502787590026855
2022-05-23,10.30746078491211
2022-05-24,10.901383399963379
2022-05-25,10.626774787902832
2022-05-26,10.85029411315918
2022-05-27,10.856681823730469
2022-05-31,10.875837326049805
2022-06-01,10.965245246887207
2022-06-02,10.997175216674805
2022-06-03,11.003562927246094
2022-06-06,11.144061088562012
2022-06-07,11.444217681884766
2022-06-08,11.092971801757812
2022-06-09,10.818363189697266
2022-06-10,10.671477317810059
2022-06-13,10.230823516845703
2022-06-14,10.21805191040039
2022-06-15,10.403253555297852
2022-06-16,10.230823516845703
2022-06-17,10.30746078491211
2022-06-21,10.262754440307617
2022-06-22,10.205278396606445
2022-06-23,10.249982833862305
2022-06-24,10.013690948486328
2022-06-27,10.230823516845703
2022-06-28,10.198891639709473
2022-06-29,10.225212097167969
2022-06-30,9.909375190734863
2022-07-01,9.981754302978516
2022-07-05,9.836995124816895
2022-07-06,9.771196365356445
2022-07-07,9.850154876708984
2022-07-08,9.817256927490234
2022-07-11,9.652758598327637
2022-07-12,9.606698036193848
2022-07-13,9.659337997436523
2022-07-14,9.396140098571777
2022-07-15,9.547479629516602
2022-07-18,9.586958885192871
2022-07-19,9.540899276733398
2022-07-20,9.527738571166992
2022-07-21,9.521159172058105
2022-07-22,9.527738571166992
2022-07-25,9.369821548461914
2022-07-26,9.343501091003418
2022-07-27,9.323760986328125
2022-07-28,9.336920738220215
2022-07-29,9.356659889221191
2022-08-01,9.382981300354004
2022-08-02,9.396140098571777
2022-08-03,9.646177291870117
2022-08-04,10.073872566223145
2022-08-05,10.073872566223145
2022-08-08,10.225212097167969
2022-08-09,10.244951248168945
2022-08-10,9.935693740844727
2022-08-11,10.198891639709473
2022-08-12,10.277851104736328
2022-08-15,10.554207801818848
2022-08-16,10.646328926086426
2022-08-17,10.791086196899414
2022-08-18,10.725284576416016
2022-08-19,10.929265975952148
2022-08-22,9.962014198303223
2022-08-23,10.185730934143066
2022-08-24,10.10019302368164
2022-08-25,10.251532554626465
2022-08-26,10.080452919006348
2022-08-29,10.251532554626465
2022-08-30,9.909375190734863
2022-08-31,10.047554016113281
2022-09-01,10.047554016113281
2022-09-02,10.060711860656738
