Date,FCF
2010-01-04,2.9426097869873047
2010-01-05,2.69895339012146
2010-01-06,2.592745065689087
2010-01-07,2.748934268951416
2010-01-08,2.8676390647888184
2010-01-11,2.7426869869232178
2010-01-12,2.748934268951416
2010-01-13,2.8426480293273926
2010-01-14,3.01758074760437
2010-01-15,2.9675991535186768
2010-01-19,3.167522430419922
2010-01-20,3.198760509490967
2010-01-21,3.6298437118530273
2010-01-22,3.56112003326416
2010-01-25,3.592358112335205
2010-01-26,3.56112003326416
2010-01-27,3.862591028213501
2010-01-28,3.8311867713928223
2010-01-29,3.680453062057495
2010-02-01,3.5925230979919434
2010-02-02,3.5862414836883545
2010-02-03,3.510873556137085
2010-02-04,3.422945499420166
2010-02-05,3.498314380645752
2010-02-08,3.4166653156280518
2010-02-09,3.4669106006622314
2010-02-10,3.4543490409851074
2010-02-11,3.46062970161438
2010-02-12,3.4417874813079834
2010-02-16,3.573681592941284
2010-02-17,3.510873556137085
2010-02-18,3.448068380355835
2010-02-19,3.492033004760742
2010-02-22,3.517155408859253
2010-02-23,3.473191261291504
2010-02-24,3.5485596656799316
2010-02-25,3.5799617767333984
2010-02-26,3.5234365463256836
2010-03-01,3.517155408859253
2010-03-02,3.510873556137085
2010-03-03,3.5862414836883545
2010-03-04,3.630206346511841
2010-03-05,3.812345027923584
2010-03-08,3.862591028213501
2010-03-09,3.8939926624298096
2010-03-10,4.032166957855225
2010-03-11,4.1326584815979
2010-03-12,4.076132297515869
2010-03-15,4.082413196563721
2010-03-16,4.088693141937256
2010-03-17,4.2080254554748535
2010-03-18,4.164061069488525
2010-03-19,4.302234172821045
2010-03-22,4.396444320678711
2010-03-23,4.396444320678711
2010-03-24,4.352479457855225
2010-03-25,4.365041732788086
2010-03-26,4.314794540405273
2010-03-29,4.233147621154785
2010-03-30,4.251991271972656
2010-03-31,4.214305877685547
2010-04-01,4.2833943367004395
2010-04-05,4.402724266052246
2010-04-06,4.666512966156006
2010-04-07,4.63510799407959
2010-04-08,4.666512966156006
2010-04-09,4.559741020202637
2010-04-12,4.5974249839782715
2010-04-13,4.52833890914917
2010-04-14,4.704196453094482
2010-04-15,4.704196453094482
2010-04-16,4.63510799407959
2010-04-19,4.679072380065918
2010-04-20,4.735599040985107
2010-04-21,4.452970027923584
2010-04-22,4.63510799407959
2010-04-23,4.63510799407959
2010-04-26,4.358760356903076
2010-04-27,4.170341491699219
2010-04-28,4.132600784301758
