Date,AEP
2010-01-04,19.011018753051758
2010-01-05,18.79338264465332
2010-01-06,18.98381233215332
2010-01-07,19.14704704284668
2010-01-08,19.375572204589844
2010-01-11,19.576885223388672
2010-01-12,19.381011962890625
2010-01-13,19.620418548583984
2010-01-14,19.696596145629883
2010-01-15,19.59320831298828
2010-01-19,19.827177047729492
2010-01-20,19.870712280273438
2010-01-21,19.647615432739258
2010-01-22,19.272188186645508
2010-01-25,19.381011962890625
2010-01-26,19.375572204589844
2010-01-27,19.332042694091797
2010-01-28,19.076316833496094
2010-01-29,18.85323715209961
2010-02-01,18.826021194458008
2010-02-02,19.076316833496094
2010-02-03,18.880430221557617
2010-02-04,18.36353302001953
2010-02-05,18.303686141967773
2010-02-08,18.077852249145508
2010-02-09,18.28716278076172
2010-02-10,18.188011169433594
2010-02-11,18.221059799194336
2010-02-12,18.149452209472656
2010-02-16,18.562570571899414
2010-02-17,18.479944229125977
2010-02-18,18.463424682617188
2010-02-19,18.711286544799805
2010-02-22,18.53502655029297
2010-02-23,18.573583602905273
2010-02-24,18.678237915039062
2010-02-25,18.551557540893555
2010-02-26,18.518505096435547
2010-03-01,18.694766998291016
2010-03-02,18.793914794921875
2010-03-03,18.711286544799805
2010-03-04,18.678237915039062
2010-03-05,18.865520477294922
2010-03-08,18.826955795288086
2010-03-09,18.793914794921875
2010-03-10,18.810436248779297
2010-03-11,18.8489933013916
2010-03-12,18.782894134521484
2010-03-15,18.942628860473633
2010-03-16,19.151947021484375
2010-03-17,19.17949104309082
2010-03-18,19.146434783935547
2010-03-19,19.014240264892578
2010-03-22,18.77188491821289
2010-03-23,18.8930606842041
2010-03-24,18.722307205200195
2010-03-25,18.672733306884766
2010-03-26,18.77738380432129
2010-03-29,18.93161964416504
2010-03-30,18.95915412902832
2010-03-31,18.826955795288086
2010-04-01,18.997709274291992
2010-04-05,18.898563385009766
2010-04-06,18.8930606842041
2010-04-07,18.77188491821289
2010-04-08,18.705780029296875
2010-04-09,18.876537322998047
2010-04-12,18.77188491821289
2010-04-13,18.766368865966797
2010-04-14,18.672733306884766
2010-04-15,18.60112762451172
2010-04-16,18.57909393310547
2010-04-19,18.61764907836914
2010-04-20,18.70026969909668
2010-04-21,18.70026969909668
2010-04-22,18.7168025970459
2010-04-23,18.738832473754883
2010-04-26,18.595617294311523
2010-04-27,18.36427116394043
2010-04-28,18.463424682617188
2010-04-29,18.639680862426758
2010-04-30,18.8930606842041
2010-05-03,19.03627586364746
2010-05-04,18.51299285888672
2010-05-05,18.380802154541016
2010-05-06,17.95125961303711
2010-05-07,17.806230545043945
2010-05-10,18.486787796020508
2010-05-11,18.492361068725586
2010-05-12,18.732242584228516
2010-05-13,18.5760440826416
2010-05-14,18.40869140625
2010-05-17,18.403108596801758
2010-05-18,18.18555450439453
2010-05-19,18.023788452148438
2010-05-20,17.482677459716797
2010-05-21,17.549610137939453
2010-05-24,17.39900779724121
2010-05-25,17.276277542114258
2010-05-26,17.304170608520508
2010-05-27,17.84527015686035
