Date,PSX
2012-04-12,21.668581008911133
2012-04-13,23.580522537231445
2012-04-16,23.293733596801758
2012-04-17,22.94320297241211
2012-04-18,22.94320297241211
2012-04-19,22.94320297241211
2012-04-20,23.147151947021484
2012-04-23,22.73926544189453
2012-04-24,22.14657211303711
2012-04-25,22.14657211303711
2012-04-26,22.274030685424805
2012-04-27,21.738679885864258
2012-04-30,21.700450897216797
2012-05-01,20.87830924987793
2012-05-02,20.393966674804688
2012-05-03,20.005203247070312
2012-05-04,19.2213077545166
2012-05-07,18.70509147644043
2012-05-08,19.183073043823242
2012-05-09,20.706247329711914
2012-05-10,20.69986915588379
2012-05-11,20.28561782836914
2012-05-14,19.960590362548828
2012-05-15,20.183645248413086
2012-05-16,20.45769691467285
2012-05-17,19.92234992980957
2012-05-18,19.99882698059082
2012-05-21,20.51505470275879
2012-05-22,20.158157348632812
2012-05-23,20.0179500579834
2012-05-24,19.839500427246094
2012-05-25,19.947843551635742
2012-05-29,19.76302146911621
2012-05-30,19.399757385253906
2012-05-31,19.13845443725586
2012-06-01,19.0683536529541
2012-06-04,18.819799423217773
2012-06-05,19.055599212646484
2012-06-06,20.09442710876465
2012-06-07,20.28561782836914
2012-06-08,20.470434188842773
2012-06-11,20.776342391967773
2012-06-12,21.343557357788086
2012-06-13,20.884695053100586
2012-06-14,21.369049072265625
2012-06-15,22.242168426513672
2012-06-18,21.579357147216797
2012-06-19,21.579357147216797
2012-06-20,22.089214324951172
2012-06-21,21.33718490600586
2012-06-22,21.770545959472656
2012-06-25,20.948421478271484
2012-06-26,20.76360511779785
2012-06-27,20.323854446411133
2012-06-28,20.591541290283203
2012-06-29,21.184219360351562
2012-07-02,21.668581008911133
2012-07-03,21.82154083251953
2012-07-05,21.541122436523438
2012-07-06,21.26707649230957
2012-07-09,21.190603256225586
2012-07-10,20.82733154296875
2012-07-11,21.33718490600586
2012-07-12,21.037649154663086
2012-07-13,22.267658233642578
2012-07-16,23.006933212280273
2012-07-17,23.382938385009766
2012-07-18,23.644245147705078
2012-07-19,22.811248779296875
2012-07-20,22.631834030151367
2012-07-23,22.439605712890625
