Date,OSIS
2010-01-04,27.860000610351562
2010-01-05,27.719999313354492
2010-01-06,28.450000762939453
2010-01-07,28.889999389648438
2010-01-08,31.639999389648438
2010-01-11,32.0
2010-01-12,30.729999542236328
2010-01-13,31.729999542236328
2010-01-14,31.200000762939453
2010-01-15,30.690000534057617
2010-01-19,29.899999618530273
2010-01-20,29.979999542236328
2010-01-21,29.18000030517578
2010-01-22,27.770000457763672
2010-01-25,27.889999389648438
2010-01-26,28.93000030517578
2010-01-27,28.229999542236328
2010-01-28,27.110000610351562
2010-01-29,26.469999313354492
2010-02-01,26.3700008392334
2010-02-02,26.729999542236328
2010-02-03,26.209999084472656
2010-02-04,25.559999465942383
2010-02-05,25.790000915527344
2010-02-08,26.329999923706055
2010-02-09,27.299999237060547
2010-02-10,28.09000015258789
2010-02-11,28.690000534057617
2010-02-12,27.510000228881836
2010-02-16,28.15999984741211
2010-02-17,27.790000915527344
2010-02-18,28.639999389648438
2010-02-19,28.81999969482422
2010-02-22,29.270000457763672
2010-02-23,28.920000076293945
2010-02-24,29.0
2010-02-25,29.309999465942383
2010-02-26,30.84000015258789
2010-03-01,30.8799991607666
2010-03-02,30.3799991607666
2010-03-03,30.290000915527344
2010-03-04,30.280000686645508
2010-03-05,30.559999465942383
2010-03-08,31.079999923706055
2010-03-09,31.459999084472656
2010-03-10,31.540000915527344
2010-03-11,31.31999969482422
2010-03-12,30.56999969482422
2010-03-15,30.229999542236328
2010-03-16,30.540000915527344
2010-03-17,30.530000686645508
2010-03-18,30.979999542236328
2010-03-19,29.950000762939453
2010-03-22,30.15999984741211
2010-03-23,30.709999084472656
2010-03-24,30.059999465942383
2010-03-25,29.959999084472656
2010-03-26,29.15999984741211
2010-03-29,28.190000534057617
2010-03-30,28.459999084472656
2010-03-31,28.079999923706055
2010-04-01,28.31999969482422
2010-04-05,28.709999084472656
2010-04-06,28.530000686645508
2010-04-07,28.3799991607666
2010-04-08,28.280000686645508
2010-04-09,28.350000381469727
2010-04-12,28.450000762939453
2010-04-13,28.549999237060547
2010-04-14,29.3799991607666
2010-04-15,28.809999465942383
2010-04-16,28.940000534057617
2010-04-19,28.6200008392334
2010-04-20,29.139999389648438
2010-04-21,28.959999084472656
2010-04-22,29.43000030517578
2010-04-23,29.969999313354492
2010-04-26,26.350000381469727
2010-04-27,26.399999618530273
2010-04-28,26.450000762939453
2010-04-29,27.200000762939453
2010-04-30,26.040000915527344
2010-05-03,26.40999984741211
2010-05-04,25.260000228881836
2010-05-05,24.65999984741211
2010-05-06,24.520000457763672
2010-05-07,23.920000076293945
2010-05-10,24.540000915527344
2010-05-11,25.6299991607666
2010-05-12,25.770000457763672
2010-05-13,25.510000228881836
2010-05-14,25.059999465942383
2010-05-17,25.020000457763672
2010-05-18,24.3700008392334
2010-05-19,23.950000762939453
2010-05-20,23.690000534057617
2010-05-21,24.6200008392334
2010-05-24,24.56999969482422
2010-05-25,25.850000381469727
2010-05-26,26.010000228881836
2010-05-27,26.56999969482422
2010-05-28,26.209999084472656
2010-06-01,25.770000457763672
2010-06-02,26.100000381469727
2010-06-03,26.43000030517578
2010-06-04,25.780000686645508
