Date,PLUS
2010-01-04,3.9230988025665283
2010-01-05,3.9254438877105713
2010-01-06,3.8973050117492676
2010-01-07,3.7824020385742188
2010-01-08,3.8691654205322266
2010-01-11,3.8668203353881836
2010-01-12,3.801161527633667
2010-01-13,3.8386809825897217
2010-01-14,3.8410255908966064
2010-01-15,3.850405693054199
2010-01-19,3.8949599266052246
2010-01-20,3.887924909591675
2010-01-21,3.7847468852996826
2010-01-22,3.7824020385742188
2010-01-25,3.801161527633667
2010-01-26,3.7824020385742188
2010-01-27,3.7824020385742188
2010-01-28,3.7308132648468018
2010-01-29,3.6862592697143555
2010-02-01,3.7331583499908447
2010-02-02,3.644050359725952
2010-02-03,3.700328826904297
2010-02-04,3.676879405975342
2010-02-05,3.719088315963745
2010-02-08,3.646395206451416
2010-02-09,3.6886041164398193
2010-02-10,3.808196544647217
2010-02-11,3.826956272125244
2010-02-12,3.824611186981201
2010-02-16,3.7917819023132324
2010-02-17,3.751917839050293
2010-02-18,3.70267391204834
2010-02-19,3.669844627380371
2010-02-22,3.822266101837158
2010-02-23,3.801161527633667
2010-02-24,3.8480608463287354
2010-02-25,3.8762001991271973
2010-02-26,3.8457157611846924
2010-03-01,3.8691654205322266
2010-03-02,3.913719415664673
2010-03-03,3.9277889728546143
2010-03-04,3.90433931350708
2010-03-05,3.981722831726074
2010-03-08,3.913719415664673
2010-03-09,3.960618257522583
2010-03-10,3.960618257522583
2010-03-11,3.9770326614379883
2010-03-12,3.9277889728546143
2010-03-15,3.986412763595581
2010-03-16,3.9512383937835693
2010-03-17,3.913719415664673
2010-03-18,3.9207539558410645
2010-03-19,3.9770326614379883
2010-03-22,4.061450958251953
2010-03-23,4.047381401062012
2010-03-24,4.009862422943115
2010-03-25,3.9746880531311035
2010-03-26,4.009862422943115
2010-03-29,4.038001537322998
2010-03-30,4.101315021514893
2010-03-31,4.115384578704834
2010-04-01,4.150559425354004
2010-04-05,4.2091827392578125
2010-04-06,4.218562602996826
2010-04-07,4.145869255065918
2010-04-08,4.035656452178955
2010-04-09,4.063796043395996
2010-04-12,4.150559425354004
2010-04-13,4.080210208892822
2010-04-14,4.143524169921875
2010-04-15,4.155249118804932
2010-04-16,4.094280242919922
2010-04-19,4.042691230773926
2010-04-20,4.094280242919922
2010-04-21,4.1880784034729
2010-04-22,4.197458267211914
2010-04-23,4.319395542144775
2010-04-26,4.441332817077637
2010-04-27,4.370984077453613
2010-04-28,4.324085235595703
2010-04-29,4.401468753814697
2010-04-30,4.363949775695801
2010-05-03,4.326430320739746
2010-05-04,4.27484130859375
2010-05-05,4.246702194213867
2010-05-06,4.162283420562744
2010-05-07,4.1060051918029785
2010-05-10,4.295945644378662
2010-05-11,4.328774929046631
2010-05-12,4.338155269622803
2010-05-13,4.328774929046631
2010-05-14,4.27484130859375
2010-05-17,4.3123602867126465
2010-05-18,4.279531478881836
2010-05-19,4.2373223304748535
2010-05-20,4.068485736846924
2010-05-21,4.12007474899292
2010-05-24,4.1036601066589355
2010-05-25,3.986412763595581
2010-05-26,3.880889654159546
2010-05-27,4.087245464324951
2010-05-28,4.1036601066589355
2010-06-01,4.023931503295898
2010-06-02,4.127109527587891
2010-06-03,4.197458267211914
2010-06-04,4.12007474899292
2010-06-07,4.216217517852783
2010-06-08,4.063796043395996
2010-06-09,4.157594203948975
2010-06-10,4.113040447235107
2010-06-11,4.197458267211914
2010-06-14,4.22794246673584
2010-06-15,4.324085235595703
2010-06-16,4.295945644378662
2010-06-17,4.328774929046631
2010-06-18,4.399123668670654
2010-06-21,4.354569435119629
2010-06-22,4.44367790222168
2010-06-23,4.450712203979492
2010-06-24,4.192768096923828
2010-06-25,4.040346145629883
2010-06-28,4.007517337799072
2010-06-29,4.016897201538086
2010-06-30,4.1036601066589355
2010-07-01,4.054416656494141
2010-07-02,4.045036315917969
2010-07-06,3.9981369972229004
2010-07-07,4.021586894989014
2010-07-08,3.9981369972229004
2010-07-09,4.138834476470947
2010-07-12,4.028621673583984
2010-07-13,4.1036601066589355
2010-07-14,4.101315021514893
2010-07-15,4.021586894989014
2010-07-16,4.012207508087158
2010-07-19,4.045036315917969
2010-07-20,4.045036315917969
2010-07-21,4.0778656005859375
2010-07-22,4.115384578704834
2010-07-23,4.216217517852783
2010-07-26,4.220907688140869
2010-07-27,4.2420125007629395
2010-07-28,4.2420125007629395
2010-07-29,4.232632160186768
2010-07-30,4.199803352355957
2010-08-02,4.1060051918029785
2010-08-03,4.21387243270874
2010-08-04,4.286566257476807
2010-08-05,4.1036601066589355
2010-08-06,4.2420125007629395
2010-08-09,4.267806529998779
2010-08-10,4.223252296447754
2010-08-11,4.16697359085083
2010-08-12,4.244357109069824
2010-08-13,4.211527347564697
2010-08-16,4.27484130859375
2010-08-17,4.380364418029785
2010-08-18,4.375674247741699
2010-08-19,4.298290729522705
2010-08-20,4.302980899810791
2010-08-23,4.25373649597168
2010-08-24,4.232632160186768
2010-08-25,4.340500354766846
2010-08-26,4.375674247741699
2010-08-27,4.2396674156188965
2010-08-30,4.251391410827637
2010-08-31,4.2349772453308105
2010-09-01,4.258426666259766
2010-09-02,4.331120014190674
2010-09-03,4.410848140716553
2010-09-07,4.359259605407715
2010-09-08,4.40850305557251
2010-09-09,4.4460225105285645
2010-09-10,4.462437629699707
2010-09-13,4.455402374267578
2010-09-14,4.842318534851074
2010-09-15,5.170611381530762
2010-09-16,5.203441143035889
2010-09-17,5.130747318267822
2010-09-20,5.058054447174072
2010-09-21,5.0721235275268555
2010-09-22,5.004120349884033
