Date,LPLA
2010-11-18,24.858156204223633
2010-11-19,25.206085205078125
2010-11-22,24.896818161010742
2010-11-23,25.32979965209961
2010-11-24,25.4689884185791
2010-11-26,25.43805503845215
2010-11-29,25.94835090637207
2010-11-30,26.211246490478516
2010-12-01,27.06949234008789
2010-12-02,26.829801559448242
2010-12-03,26.83753204345703
2010-12-06,27.355567932128906
2010-12-07,27.633922576904297
2010-12-08,27.626182556152344
2010-12-09,27.672574996948242
2010-12-10,26.945772171020508
2010-12-13,26.11073112487793
2010-12-14,26.017946243286133
2010-12-15,25.755054473876953
2010-12-16,25.80144691467285
2010-12-17,25.724132537841797
2010-12-20,26.064342498779297
2010-12-21,26.350419998168945
2010-12-22,26.76020050048828
2010-12-23,26.945772171020508
2010-12-27,27.06175994873047
2010-12-28,27.587520599365234
2010-12-29,27.989587783813477
2010-12-30,28.066905975341797
2010-12-31,28.12103271484375
2011-01-03,27.038562774658203
2011-01-04,26.03339958190918
2011-01-05,26.3813419342041
2011-01-06,26.435468673706055
2011-01-07,26.257640838623047
2011-01-10,26.095260620117188
2011-01-11,26.4741268157959
2011-01-12,26.427736282348633
2011-01-13,26.017946243286133
2011-01-14,25.79372215270996
2011-01-18,25.95608901977539
2011-01-19,26.296283721923828
2011-01-20,26.296283721923828
2011-01-21,26.443199157714844
2011-01-24,26.2885684967041
2011-01-25,25.252487182617188
2011-01-26,25.275680541992188
2011-01-27,25.554025650024414
2011-01-28,25.577220916748047
2011-01-31,26.489595413208008
2011-02-01,26.69061279296875
2011-02-02,26.41226577758789
2011-02-03,26.304031372070312
2011-02-04,26.211246490478516
2011-02-07,26.095260620117188
2011-02-08,26.16485595703125
2011-02-09,25.51536750793457
2011-02-10,25.561752319335938
2011-02-11,25.476713180541992
2011-02-14,25.554025650024414
2011-02-15,25.499908447265625
2011-02-16,25.554025650024414
2011-02-17,25.39165496826172
2011-02-18,25.445781707763672
2011-02-22,24.96640396118164
2011-02-23,24.858156204223633
2011-02-24,25.1055850982666
2011-02-25,25.345266342163086
2011-02-28,25.987024307250977
2011-03-01,26.08753204345703
2011-03-02,25.1983585357666
2011-03-03,24.997331619262695
2011-03-04,24.997331619262695
2011-03-07,25.01279067993164
2011-03-08,25.33753204345703
2011-03-09,25.770519256591797
2011-03-10,25.546302795410156
2011-03-11,25.747323989868164
2011-03-14,25.871044158935547
2011-03-15,25.785985946655273
2011-03-16,25.569488525390625
2011-03-17,26.095260620117188
2011-03-18,27.680307388305664
2011-03-21,27.378765106201172
2011-03-22,27.394227981567383
2011-03-23,27.193187713623047
2011-03-24,27.45608139038086
2011-03-25,27.80400848388672
2011-03-28,27.711238861083984
2011-03-29,27.64164924621582
2011-03-30,27.827220916748047
2011-03-31,27.688026428222656
2011-04-01,27.765357971191406
2011-04-04,27.200927734375
2011-04-05,26.86846160888672
2011-04-06,26.66741943359375
2011-04-07,26.698360443115234
2011-04-08,26.7911376953125
2011-04-11,26.829801559448242
2011-04-12,26.55918312072754
2011-04-13,26.535987854003906
2011-04-14,26.505054473876953
2011-04-15,26.38907241821289
2011-04-18,26.34267807006836
2011-04-19,26.31948471069336
