Date,ADAM
2010-01-04,3.6190786361694336
2010-01-05,3.6293022632598877
2010-01-06,3.5935211181640625
2010-01-07,3.5832979679107666
2010-01-08,3.511733055114746
2010-01-11,3.4248344898223877
2010-01-12,3.516845226287842
2010-01-13,3.511733055114746
2010-01-14,3.5219576358795166
2010-01-15,3.501509428024292
2010-01-19,3.567962884902954
2010-01-20,3.5066213607788086
2010-01-21,3.4146125316619873
2010-01-22,3.486175298690796
2010-01-25,3.3532707691192627
2010-01-26,3.394164562225342
2010-01-27,3.394164562225342
2010-01-28,3.4452805519104004
2010-01-29,3.4248344898223877
2010-02-01,3.4452805519104004
2010-02-02,3.440169095993042
2010-02-03,3.404387950897217
2010-02-04,3.3430473804473877
2010-02-05,3.358382225036621
2010-02-08,3.486175298690796
2010-02-09,3.4094998836517334
2010-02-10,3.3634936809539795
2010-02-11,3.3430473804473877
2010-02-12,3.4452805519104004
2010-02-16,3.435059070587158
2010-02-17,3.455505609512329
2010-02-18,3.4708406925201416
2010-02-19,3.49639892578125
2010-02-22,3.527068853378296
2010-02-23,3.5219576358795166
2010-02-24,3.527068853378296
2010-02-25,3.527068853378296
2010-02-26,3.527068853378296
2010-03-01,3.542402505874634
2010-03-02,3.6241912841796875
2010-03-03,3.670196294784546
2010-03-04,3.65486216545105
2010-03-05,3.705977439880371
2010-03-08,3.731536388397217
2010-03-09,3.7877652645111084
2010-03-10,3.8337700366973877
2010-03-11,3.8133230209350586
2010-03-12,3.828657865524292
2010-03-15,3.8337700366973877
2010-03-16,3.8848867416381836
2010-03-17,4.007568359375
2010-03-18,4.074018955230713
2010-03-19,4.089354991912842
2010-03-22,4.084242343902588
2010-03-23,4.089354991912842
2010-03-24,4.104691028594971
2010-03-25,4.0791335105896
2010-03-26,4.0126800537109375
2010-03-29,4.053573131561279
2010-03-30,4.011346817016602
2010-03-31,3.984956741333008
2010-04-01,4.000793933868408
2010-04-05,3.9585680961608887
2010-04-06,3.8160593509674072
2010-04-07,3.7738356590270996
2010-04-08,3.8107805252075195
2010-04-09,3.8160593509674072
2010-04-12,3.9005091190338135
2010-04-13,3.9691226482391357
2010-04-14,4.011346817016602
