Date,FSS
2010-01-04,5.391928195953369
2010-01-05,5.476706504821777
2010-01-06,5.5614848136901855
2010-01-07,5.442796230316162
2010-01-08,5.5614848136901855
2010-01-11,5.80734395980835
2010-01-12,5.722564220428467
2010-01-13,5.764954090118408
2010-01-14,5.858211040496826
2010-01-15,5.756476402282715
2010-01-19,5.917555809020996
2010-01-20,5.714088439941406
2010-01-21,5.790388107299805
2010-01-22,5.61235237121582
2010-01-25,5.74799919128418
2010-01-26,5.646264553070068
2010-01-27,5.764954090118408
2010-01-28,5.646264553070068
2010-01-29,5.502141952514648
2010-02-01,5.5614848136901855
2010-02-02,5.58691930770874
2010-02-03,5.493662357330322
2010-02-04,5.20541524887085
2010-02-05,5.290194511413574
2010-02-08,5.171501636505127
2010-02-09,5.2817158699035645
2010-02-10,5.137591361999512
2010-02-11,5.349536895751953
2010-02-12,5.434316158294678
2010-02-16,5.58691930770874
2010-02-17,5.739519119262695
2010-02-18,5.900599002838135
2010-02-19,6.044724464416504
2010-02-22,6.044724464416504
2010-02-23,6.273626804351807
2010-02-24,6.5618743896484375
2010-02-25,6.527964115142822
2010-02-26,6.502530574798584
2010-03-01,6.977290630340576
2010-03-02,7.112935543060303
2010-03-03,7.1722798347473145
2010-03-04,7.2401041984558105
2010-03-05,7.29097318649292
2010-03-08,7.39270544052124
2010-03-09,7.537827014923096
2010-03-10,7.682952880859375
2010-03-11,7.682952880859375
2010-03-12,7.631728172302246
2010-03-15,7.606119155883789
2010-03-16,7.563436508178711
2010-03-17,7.785387992858887
2010-03-18,7.802462577819824
2010-03-19,7.614657878875732
2010-03-22,8.007341384887695
2010-03-23,8.05855941772461
2010-03-24,7.9219746589660645
2010-03-25,7.828074932098389
2010-03-26,7.811000823974609
2010-03-29,7.939046859741211
2010-03-30,7.9219746589660645
2010-03-31,7.691489219665527
2010-04-01,7.870754241943359
2010-04-05,7.964659690856934
2010-04-06,7.947587013244629
2010-04-07,7.930516242980957
2010-04-08,7.862218856811523
2010-04-09,7.845147609710693
2010-04-12,7.930516242980957
2010-04-13,7.904905796051025
2010-04-14,7.939046859741211
