Date,OCUL
2014-07-25,13.149999618530273
2014-07-28,12.84000015258789
2014-07-29,12.899999618530273
2014-07-30,12.9399995803833
2014-07-31,12.859999656677246
2014-08-01,13.039999961853027
2014-08-04,12.760000228881836
2014-08-05,12.65999984741211
2014-08-06,12.640000343322754
2014-08-07,12.710000038146973
2014-08-08,12.949999809265137
2014-08-11,13.329999923706055
2014-08-12,14.6899995803833
2014-08-13,14.399999618530273
2014-08-14,14.3100004196167
2014-08-15,14.020000457763672
2014-08-18,14.329999923706055
2014-08-19,14.569999694824219
2014-08-20,14.970000267028809
2014-08-21,15.800000190734863
2014-08-22,15.390000343322754
2014-08-25,15.899999618530273
2014-08-26,16.049999237060547
2014-08-27,16.600000381469727
2014-08-28,16.479999542236328
2014-08-29,16.469999313354492
2014-09-02,15.710000038146973
2014-09-03,16.100000381469727
2014-09-04,15.90999984741211
2014-09-05,15.920000076293945
2014-09-08,15.710000038146973
2014-09-09,16.079999923706055
2014-09-10,16.100000381469727
2014-09-11,16.40999984741211
2014-09-12,16.3700008392334
2014-09-15,16.239999771118164
2014-09-16,15.779999732971191
2014-09-17,16.030000686645508
2014-09-18,15.739999771118164
2014-09-19,14.579999923706055
2014-09-22,13.970000267028809
2014-09-23,14.279999732971191
2014-09-24,15.59000015258789
2014-09-25,14.9399995803833
2014-09-26,14.979999542236328
2014-09-29,14.770000457763672
2014-09-30,14.970000267028809
2014-10-01,13.970000267028809
2014-10-02,14.09000015258789
2014-10-03,14.970000267028809
2014-10-06,14.529999732971191
2014-10-07,14.010000228881836
2014-10-08,14.479999542236328
2014-10-09,14.279999732971191
2014-10-10,14.260000228881836
2014-10-13,14.529999732971191
2014-10-14,13.819999694824219
2014-10-15,13.989999771118164
2014-10-16,14.390000343322754
2014-10-17,13.569999694824219
2014-10-20,14.300000190734863
2014-10-21,13.859999656677246
2014-10-22,13.619999885559082
2014-10-23,13.470000267028809
2014-10-24,13.4399995803833
2014-10-27,13.640000343322754
2014-10-28,14.329999923706055
2014-10-29,14.899999618530273
2014-10-30,15.09000015258789
2014-10-31,15.270000457763672
