Date,FMC
2010-01-04,18.99517059326172
2010-01-05,18.93166160583496
2010-01-06,19.115524291992188
2010-01-07,18.87816619873047
2010-01-08,18.71102523803711
2010-01-11,18.19953155517578
2010-01-12,18.13601303100586
2010-01-13,18.20621681213379
2010-01-14,17.935426712036133
2010-01-15,17.78834342956543
2010-01-19,18.065805435180664
2010-01-20,17.998945236206055
2010-01-21,18.002296447753906
2010-01-22,17.62118911743164
2010-01-25,17.81842041015625
2010-01-26,17.55767059326172
2010-01-27,17.50752067565918
2010-01-28,17.09966278076172
2010-01-29,17.029460906982422
2010-02-01,17.591096878051758
2010-02-02,17.791675567626953
2010-02-03,17.66130256652832
2010-02-04,16.9826602935791
2010-02-05,17.75490951538086
2010-02-08,17.835140228271484
2010-02-09,18.35665512084961
2010-02-10,18.28310775756836
2010-02-11,18.751131057739258
2010-02-12,18.614070892333984
2010-02-16,18.88151741027832
2010-02-17,19.04866600036621
2010-02-18,19.145610809326172
2010-02-19,19.185728073120117
2010-02-22,18.985137939453125
2010-02-23,18.700984954833984
2010-02-24,18.828018188476562
2010-02-25,18.7310733795166
2010-02-26,19.112184524536133
2010-03-01,19.29940414428711
2010-03-02,19.526721954345703
2010-03-03,19.61029624938965
2010-03-04,19.65375518798828
2010-03-05,19.99474334716797
2010-03-08,19.907821655273438
2010-03-09,19.877737045288086
2010-03-10,19.88108253479004
2010-03-11,19.944604873657227
2010-03-12,20.158557891845703
2010-03-15,20.054922103881836
2010-03-16,20.145187377929688
2010-03-17,20.23544692993164
2010-03-18,20.19866943359375
2010-03-19,20.054922103881836
2010-03-22,20.262184143066406
2010-03-23,20.53297233581543
2010-03-24,20.60986328125
2010-03-25,20.20535659790039
2010-03-26,20.158557891845703
2010-03-29,20.25067901611328
2010-03-30,20.56892204284668
2010-03-31,20.28083038330078
2010-04-01,20.488521575927734
2010-04-05,20.85367774963379
2010-04-06,21.18866729736328
2010-04-07,21.275774002075195
2010-04-08,21.24562644958496
2010-04-09,21.527015686035156
2010-04-12,21.453323364257812
2010-04-13,21.513620376586914
2010-04-14,21.506919860839844
2010-04-15,21.44327163696289
2010-04-16,21.436569213867188
2010-04-19,21.476770401000977
2010-04-20,21.654319763183594
