Date,SGI
2010-01-04,5.814239025115967
2010-01-05,6.080793857574463
2010-01-06,6.402088642120361
2010-01-07,6.354488372802734
2010-01-08,6.387808322906494
2010-01-11,6.359250545501709
2010-01-12,6.147433280944824
2010-01-13,6.268810749053955
2010-01-14,6.149812698364258
2010-01-15,6.0331950187683105
2010-01-19,5.995116233825684
2010-01-20,5.933236598968506
2010-01-21,5.826138019561768
2010-01-22,5.854697227478027
2010-01-25,5.985595703125
2010-01-26,6.035574436187744
2010-01-27,5.838038444519043
2010-01-28,6.09507417678833
2010-01-29,5.9237165451049805
2010-02-01,6.080793857574463
2010-02-02,6.502047061920166
2010-02-03,6.452067852020264
2010-02-04,6.323549747467041
2010-02-05,6.404468059539795
2010-02-08,6.321169853210449
2010-02-09,6.492527008056641
2010-02-10,6.273571014404297
2010-02-11,6.4258880615234375
2010-02-12,6.461586952209473
2010-02-16,6.744802951812744
2010-02-17,6.818580627441406
2010-02-18,6.806682586669922
2010-02-19,6.794780731201172
2010-02-22,6.756701469421387
2010-02-23,6.590104579925537
2010-02-24,6.540125846862793
2010-02-25,6.730522632598877
2010-02-26,6.7590813636779785
2010-03-01,6.975658416748047
2010-03-02,6.932819843292236
2010-03-03,7.025637149810791
2010-03-04,6.999458312988281
2010-03-05,7.1398749351501465
2010-03-08,7.147015571594238
2010-03-09,7.223174095153809
2010-03-10,7.292193412780762
2010-03-11,7.3897705078125
2010-03-12,7.354072093963623
2010-03-15,7.301713466644287
2010-03-16,7.285053253173828
2010-03-17,7.1327362060546875
2010-03-18,7.17319393157959
2010-03-19,6.887600898742676
2010-03-22,7.063716411590576
2010-03-23,7.189854145050049
2010-03-24,7.0898966789245605
2010-03-25,7.082756996154785
2010-03-26,7.189854145050049
2010-03-29,7.413570880889893
2010-03-30,7.31837272644043
2010-03-31,7.17795467376709
2010-04-01,7.282673358917236
2010-04-05,7.399290561676025
2010-04-06,7.368351936340332
2010-04-07,7.211273670196533
2010-04-08,7.277913570404053
2010-04-09,7.315992832183838
2010-04-12,7.430229663848877
2010-04-13,7.3231329917907715
2010-04-14,7.451650142669678
2010-04-15,7.427851676940918
2010-04-16,7.277913570404053
2010-04-19,7.287434101104736
2010-04-20,7.434990882873535
2010-04-21,8.277497291564941
2010-04-22,8.486932754516602
2010-04-23,8.279876708984375
2010-04-26,8.156120300292969
