Date,HOPE
2010-01-04,7.239964485168457
2010-01-05,7.074024200439453
2010-01-06,6.79130744934082
2010-01-07,6.9326653480529785
2010-01-08,7.080170631408691
2010-01-11,7.024857521057129
2010-01-12,6.754432201385498
2010-01-13,6.748286247253418
2010-01-14,6.951104640960693
2010-01-15,6.7605767250061035
2010-01-19,6.533179759979248
2010-01-20,6.121396064758301
2010-01-21,5.838682174682617
2010-01-22,5.408461093902588
2010-01-25,5.433047771453857
2010-01-26,5.3654398918151855
2010-01-27,5.426900863647461
2010-01-28,5.648157119750977
2010-01-29,5.629718780517578
2010-02-01,5.642010688781738
2010-02-02,5.5928425788879395
2010-02-03,5.402316093444824
2010-02-04,5.328566074371338
2010-02-05,5.3777337074279785
2010-02-08,5.119601726531982
2010-02-09,5.150332927703857
2010-02-10,5.156479358673096
2010-02-11,5.131894588470459
2010-02-12,5.23022985458374
2010-02-16,5.303980827331543
2010-02-17,5.359294414520264
2010-02-18,5.353149890899658
2010-02-19,5.3654398918151855
2010-02-22,5.494507312774658
2010-02-23,5.371588706970215
2010-02-24,5.46992301940918
2010-02-25,5.3961710929870605
2010-02-26,5.426900863647461
2010-03-01,5.586696624755859
2010-03-02,5.555967330932617
2010-03-03,5.586696624755859
2010-03-04,5.562113285064697
2010-03-05,5.555967330932617
2010-03-08,5.623571395874023
2010-03-09,5.660449981689453
2010-03-10,5.6788859367370605
2010-03-11,5.746493816375732
2010-03-12,5.697324752807617
2010-03-15,5.476068496704102
2010-03-16,5.5313825607299805
2010-03-17,5.457632064819336
2010-03-18,5.3654398918151855
2010-03-19,5.390025615692139
2010-03-22,5.408461093902588
2010-03-23,5.568259239196777
2010-03-24,5.5190911293029785
2010-03-25,5.476068496704102
2010-03-26,5.5190911293029785
2010-03-29,5.371588706970215
2010-03-30,5.322419166564941
2010-03-31,5.383878707885742
2010-04-01,5.408461093902588
2010-04-05,5.445339679718018
2010-04-06,5.586696624755859
2010-04-07,5.6112799644470215
2010-04-08,5.500653266906738
2010-04-09,5.420754909515381
2010-04-12,5.420754909515381
2010-04-13,5.408461093902588
2010-04-14,5.537530899047852
2010-04-15,5.6788859367370605
2010-04-16,5.605133056640625
2010-04-19,5.660449981689453
2010-04-20,5.844828128814697
2010-04-21,5.869411468505859
2010-04-22,6.102959632873535
2010-04-23,6.293484687805176
2010-04-26,6.250463485717773
2010-04-27,5.334711074829102
2010-04-28,5.291688442230225
2010-04-29,5.623571395874023
2010-04-30,5.543676376342773
2010-05-03,5.6112799644470215
2010-05-04,5.482215881347656
2010-05-05,5.512946128845215
2010-05-06,5.273250579833984
2010-05-07,5.045852184295654
2010-05-10,5.512946128845215
2010-05-11,5.562113285064697
2010-05-12,5.709616661071777
2010-05-13,5.555967330932617
2010-05-14,5.5190911293029785
2010-05-17,5.322419166564941
2010-05-18,5.107311248779297
2010-05-19,5.0642900466918945
2010-05-20,4.9044928550720215
2010-05-21,4.855325222015381
2010-05-24,4.615631103515625
2010-05-25,4.701675891876221
2010-05-26,4.554172039031982
2010-05-27,4.738550662994385
2010-05-28,4.689384460449219
2010-06-01,4.5111494064331055
2010-06-02,4.922930717468262
2010-06-03,4.9659528732299805
2010-06-04,4.910638809204102
2010-06-07,4.941369533538818
2010-06-08,5.002829074859619
