Date,PCG
2010-01-04,32.82438659667969
2010-01-05,32.45555877685547
2010-01-06,32.831756591796875
2010-01-07,32.27116775512695
2010-01-08,32.30066680908203
2010-01-11,32.78750228881836
2010-01-12,32.82438659667969
2010-01-13,33.02354049682617
2010-01-14,32.81700897216797
2010-01-15,33.200565338134766
2010-01-19,33.62838363647461
2010-01-20,33.21531677246094
2010-01-21,32.87602233886719
2010-01-22,32.16789245605469
2010-01-25,32.728492736816406
2010-01-26,32.50720977783203
2010-01-27,31.990854263305664
2010-01-28,31.526153564453125
2010-01-29,31.1573486328125
2010-02-01,31.142602920532227
2010-02-02,31.105709075927734
2010-02-03,31.13521957397461
2010-02-04,30.50822639465332
2010-02-05,30.921314239501953
2010-02-08,30.48611068725586
2010-02-09,30.530363082885742
2010-02-10,30.279565811157227
2010-02-11,30.456602096557617
2010-02-12,30.2574462890625
2010-02-16,30.818042755126953
2010-02-17,30.884428024291992
2010-02-18,31.35651397705078
2010-02-19,31.43027114868164
2010-02-22,30.965574264526367
2010-02-23,30.995073318481445
2010-02-24,30.987689971923828
2010-02-25,30.611501693725586
2010-02-26,30.921314239501953
2010-03-01,31.00981903076172
2010-03-02,31.452396392822266
2010-03-03,31.208980560302734
2010-03-04,31.28274154663086
2010-03-05,31.452396392822266
2010-03-08,31.415515899658203
2010-03-09,31.599924087524414
2010-03-10,31.695812225341797
2010-03-11,31.651559829711914
2010-03-12,31.56305694580078
2010-03-15,31.695812225341797
2010-03-16,31.880226135253906
2010-03-17,31.880226135253906
2010-03-18,31.843338012695312
2010-03-19,31.939226150512695
2010-03-22,31.71794319152832
2010-03-23,31.9539794921875
2010-03-24,31.62206268310547
2010-03-25,31.70319175720215
2010-03-26,31.695812225341797
2010-03-29,31.915760040283203
2010-03-30,31.699533462524414
2010-03-31,31.624998092651367
2010-04-01,31.863544464111328
2010-04-05,32.0275764465332
2010-04-06,32.17667007446289
2010-04-07,31.8411865234375
2010-04-08,31.662267684936523
2010-04-09,32.00519943237305
2010-04-12,32.15431594848633
2010-04-13,31.79645347595215
2010-04-14,31.759174346923828
2010-04-15,31.908283233642578
2010-04-16,31.707002639770508
2010-04-19,31.871013641357422
2010-04-20,32.1319465637207
2010-04-21,32.161766052246094
2010-04-22,32.251224517822266
2010-04-23,32.77308654785156
2010-04-26,32.5494384765625
2010-04-27,32.21393966674805
2010-04-28,32.40779113769531
2010-04-29,32.4525146484375
2010-04-30,32.65380096435547
2010-05-03,33.108577728271484
2010-05-04,32.8551025390625
2010-05-05,33.1607666015625
2010-05-06,32.25868606567383
2010-05-07,32.18413162231445
2010-05-10,32.97438430786133
2010-05-11,33.108577728271484
2010-05-12,33.019107818603516
2010-05-13,32.61653518676758
2010-05-14,32.527069091796875
2010-05-17,32.74326705932617
2010-05-18,32.47488784790039
2010-05-19,31.960485458374023
2010-05-20,30.976390838623047
2010-05-21,31.132944107055664
2010-05-24,30.834726333618164
2010-05-25,30.752731323242188
2010-05-26,30.722902297973633
2010-05-27,30.834726333618164
2010-05-28,30.939109802246094
2010-06-01,30.357603073120117
2010-06-02,30.998746871948242
2010-06-03,31.050947189331055
2010-06-04,30.141407012939453
2010-06-07,30.20849609375
2010-06-08,30.491809844970703
2010-06-09,29.820833206176758
