Date,SAFE
2010-01-04,10.158865928649902
2010-01-05,10.74992561340332
2010-01-06,11.488753318786621
2010-01-07,12.560053825378418
2010-01-08,12.523113250732422
2010-01-11,12.781699180603027
2010-01-12,12.190643310546875
2010-01-13,12.153697967529297
2010-01-14,12.26452350616455
2010-01-15,12.449227333068848
2010-01-19,12.74476146697998
2010-01-20,12.560053825378418
2010-01-21,12.48616886138916
2010-01-22,12.449227333068848
2010-01-25,11.784285545349121
2010-01-26,10.971576690673828
2010-01-27,10.860754013061523
2010-01-28,10.565221786499023
2010-01-29,10.048041343688965
2010-02-01,10.565221786499023
2010-02-02,10.860754013061523
2010-02-03,10.454397201538086
2010-02-04,9.604745864868164
2010-02-05,9.567804336547852
2010-02-08,9.530862808227539
2010-02-09,9.346158027648926
2010-02-10,9.97415828704834
2010-02-11,9.97415828704834
2010-02-12,10.121925354003906
2010-02-16,10.860754013061523
2010-02-17,11.377930641174316
2010-02-18,11.821227073669434
2010-02-19,13.151114463806152
2010-02-22,14.000765800476074
2010-02-23,14.18547248840332
2010-02-24,14.000765800476074
2010-02-25,14.370179176330566
2010-02-26,14.296296119689941
2010-03-01,14.148530006408691
2010-03-02,14.444063186645508
2010-03-03,15.995597839355469
2010-03-04,16.475839614868164
2010-03-05,16.58666229248047
2010-03-08,16.697481155395508
2010-03-09,16.697481155395508
2010-03-10,17.657955169677734
2010-03-11,17.288549423217773
2010-03-12,16.03253936767578
2010-03-15,15.441479682922363
2010-03-16,15.663127899169922
2010-03-17,16.43889617919922
2010-03-18,17.436311721801758
2010-03-19,17.584077835083008
2010-03-22,18.69231605529785
2010-03-23,18.433725357055664
2010-03-24,17.990427017211914
2010-03-25,17.288549423217773
2010-03-26,17.473249435424805
2010-03-29,17.399372100830078
2010-03-30,16.62360191345215
2010-03-31,16.95607566833496
2010-04-01,17.436311721801758
2010-04-05,18.02737045288086
2010-04-06,17.25160026550293
2010-04-07,18.02737045288086
2010-04-08,19.28337860107422
2010-04-09,20.761028289794922
2010-04-12,21.721506118774414
2010-04-13,22.718921661376953
2010-04-14,23.901044845581055
2010-04-15,24.270456314086914
2010-04-16,22.608097076416016
2010-04-19,21.38903045654297
2010-04-20,21.90621566772461
2010-04-21,21.241268157958984
2010-04-22,21.869266510009766
2010-04-23,22.238683700561523
2010-04-26,22.497268676757812
2010-04-27,21.01961326599121
2010-04-28,21.05655860900879
2010-04-29,24.011871337890625
2010-04-30,24.78763771057129
2010-05-03,25.821992874145508
2010-05-04,27.11493492126465
