Date,CPT
2010-01-04,22.949312210083008
2010-01-05,22.89952850341797
2010-01-06,22.622962951660156
2010-01-07,22.578716278076172
2010-01-08,22.23577880859375
2010-01-11,22.30214500427246
2010-01-12,21.99793243408203
2010-01-13,22.62849998474121
2010-01-14,22.540002822875977
2010-01-15,22.35746192932129
2010-01-19,22.888463973999023
2010-01-20,22.877408981323242
2010-01-21,22.2634334564209
2010-01-22,21.59968376159668
2010-01-25,21.754560470581055
2010-01-26,21.527767181396484
2010-01-27,21.68817901611328
2010-01-28,21.61627197265625
2010-01-29,21.44480323791504
2010-02-01,21.666053771972656
2010-02-02,22.114086151123047
2010-02-03,21.350778579711914
2010-02-04,20.797636032104492
2010-02-05,21.17930793762207
2010-02-08,20.919326782226562
2010-02-09,20.33854103088379
2010-02-10,20.37726593017578
2010-02-11,20.432579040527344
2010-02-12,20.69807243347168
2010-02-16,21.345247268676758
2010-02-17,21.323104858398438
2010-02-18,21.69924545288086
2010-02-19,21.73795509338379
2010-02-22,21.837526321411133
2010-02-23,21.85964584350586
2010-02-24,22.097496032714844
2010-02-25,22.097496032714844
2010-02-26,22.15279769897461
2010-03-01,22.401716232299805
2010-03-02,22.335346221923828
2010-03-03,21.953670501708984
2010-03-04,22.097496032714844
2010-03-05,22.634029388427734
2010-03-08,22.871875762939453
2010-03-09,22.84975242614746
2010-03-10,22.766788482666016
2010-03-11,22.755718231201172
2010-03-12,22.777843475341797
2010-03-15,22.49574089050293
2010-03-16,23.159486770629883
2010-03-17,23.375219345092773
2010-03-18,23.535629272460938
2010-03-19,24.26576042175293
2010-03-22,24.304473876953125
2010-03-23,23.839853286743164
2010-03-24,23.629667282104492
2010-03-25,23.828794479370117
2010-03-26,23.58540916442871
2010-03-29,23.64690399169922
2010-03-30,23.67486000061035
2010-03-31,23.272361755371094
2010-04-01,23.423295974731445
2010-04-05,24.239477157592773
2010-04-06,25.117149353027344
2010-04-07,24.563705444335938
2010-04-08,24.58607292175293
2010-04-09,25.18422508239746
2010-04-12,25.262493133544922
2010-04-13,25.938920974731445
2010-04-14,25.53083038330078
2010-04-15,24.792909622192383
2010-04-16,24.440731048583984
2010-04-19,24.552526473999023
2010-04-20,24.67552375793457
2010-04-21,25.419021606445312
2010-04-22,25.871841430664062
2010-04-23,26.492366790771484
2010-04-26,26.88367462158203
2010-04-27,25.927743911743164
2010-04-28,26.112205505371094
2010-04-29,27.9514217376709
2010-04-30,27.073747634887695
2010-05-03,28.510459899902344
2010-05-04,27.621591567993164
2010-05-05,27.20792007446289
2010-05-06,25.950103759765625
2010-05-07,25.625871658325195
2010-05-10,27.80048370361328
2010-05-11,28.10236358642578
2010-05-12,28.789966583251953
2010-05-13,28.393047332763672
2010-05-14,27.347675323486328
2010-05-17,26.900449752807617
2010-05-18,26.162534713745117
2010-05-19,25.793577194213867
2010-05-20,24.345684051513672
2010-05-21,25.016523361206055
2010-05-24,24.57489776611328
2010-05-25,24.94944953918457
2010-05-26,24.6699275970459
2010-05-27,25.63145637512207
2010-05-28,25.514062881469727
2010-06-01,25.139501571655273
2010-06-02,25.58114242553711
2010-06-03,25.519649505615234
2010-06-04,23.904056549072266
2010-06-07,24.06617546081543
2010-06-08,24.68111228942871
2010-06-09,24.865585327148438
2010-06-10,26.257568359375
2010-06-11,26.570621490478516
2010-06-14,26.85013771057129
2010-06-15,27.107297897338867
2010-06-16,26.74392318725586
2010-06-17,26.598581314086914
2010-06-18,26.319055557250977
2010-06-21,25.855064392089844
2010-06-22,24.625211715698242
2010-06-23,24.63638687133789
2010-06-24,24.105304718017578
2010-06-25,24.63079071044922
2010-06-28,24.44441032409668
2010-06-29,23.331771850585938
2010-06-30,23.071962356567383
2010-07-01,23.06629753112793
2010-07-02,22.648361206054688
2010-07-06,22.111804962158203
2010-07-07,23.196210861206055
