Date,PRG
2010-01-04,11.77448558807373
2010-01-05,11.881190299987793
2010-01-06,11.881190299987793
2010-01-07,11.97722053527832
2010-01-08,11.89719295501709
2010-01-11,12.083922386169434
2010-01-12,12.110596656799316
2010-01-13,12.126603126525879
2010-01-14,12.43069839477539
2010-01-15,12.121267318725586
2010-01-19,12.32400131225586
2010-01-20,11.97722053527832
2010-01-21,11.849176406860352
2010-01-22,12.009232521057129
2010-01-25,11.961212158203125
2010-01-26,11.95588207244873
2010-01-27,11.827841758728027
2010-01-28,11.763818740844727
2010-01-29,11.89719295501709
2010-02-01,11.843842506408691
2010-02-02,12.537403106689453
2010-02-03,12.537403106689453
2010-02-04,12.137271881103516
2010-02-05,12.003893852233887
2010-02-08,12.356012344360352
2010-02-09,12.537403106689453
2010-02-10,12.484052658081055
2010-02-11,12.793485641479492
2010-02-12,12.937530517578125
2010-02-16,13.150935173034668
2010-02-17,13.00155258178711
2010-02-18,12.964205741882324
2010-02-19,12.964205741882324
2010-02-22,12.964205741882324
2010-02-23,12.964205741882324
2010-02-24,12.964205741882324
2010-02-25,12.724130630493164
2010-02-26,12.820159912109375
2010-03-01,12.820159912109375
2010-03-02,12.820159912109375
2010-03-03,12.8297700881958
2010-03-04,12.941889762878418
2010-03-05,13.320965766906738
2010-03-08,13.310285568237305
2010-03-09,13.294269561767578
2010-03-10,13.294269561767578
2010-03-11,13.507831573486328
2010-03-12,13.507831573486328
2010-03-15,13.502490997314453
2010-03-16,13.881567001342773
2010-03-17,14.148523330688477
2010-03-18,14.148523330688477
2010-03-19,14.095129013061523
2010-03-22,14.223265647888184
2010-03-23,14.16453742980957
2010-03-24,14.16453742980957
2010-03-25,14.335390090942383
2010-03-26,14.388774871826172
2010-03-29,14.153860092163086
2010-03-30,14.415473937988281
2010-03-31,14.495559692382812
2010-04-01,14.495559692382812
2010-04-05,14.66640567779541
2010-04-06,14.66640567779541
2010-04-07,14.842597007751465
2010-04-08,14.842597007751465
2010-04-09,14.842597007751465
2010-04-12,14.949380874633789
2010-04-13,15.109548568725586
2010-04-14,15.456587791442871
2010-04-15,15.216333389282227
2010-04-16,14.96005916595459
2010-04-19,14.81590461730957
2010-04-20,14.936033248901367
2010-04-21,14.976072311401367
2010-04-22,15.416548728942871
2010-04-23,15.616762161254883
2010-04-26,15.496639251708984
2010-04-27,15.25637435913086
