Date,TREX
2010-01-04,2.5299999713897705
2010-01-05,2.5137500762939453
2010-01-06,2.452500104904175
2010-01-07,2.4437499046325684
2010-01-08,2.458750009536743
2010-01-11,2.442500114440918
2010-01-12,2.4549999237060547
2010-01-13,2.4912500381469727
2010-01-14,2.484999895095825
2010-01-15,2.396250009536743
2010-01-19,2.380000114440918
2010-01-20,2.2612500190734863
2010-01-21,2.1649999618530273
2010-01-22,2.0999999046325684
2010-01-25,2.0662500858306885
2010-01-26,2.007499933242798
2010-01-27,2.0274999141693115
2010-01-28,1.9837499856948853
2010-01-29,1.9275000095367432
2010-02-01,2.0087499618530273
2010-02-02,2.0174999237060547
2010-02-03,1.9987499713897705
2010-02-04,2.0
2010-02-05,2.0274999141693115
2010-02-08,2.009999990463257
2010-02-09,2.091249942779541
2010-02-10,2.0562500953674316
2010-02-11,2.098750114440918
2010-02-12,2.1524999141693115
2010-02-16,2.2174999713897705
2010-02-17,2.1762499809265137
2010-02-18,2.2125000953674316
2010-02-19,2.2387499809265137
2010-02-22,2.213749885559082
2010-02-23,2.194999933242798
2010-02-24,2.2200000286102295
2010-02-25,2.228749990463257
2010-02-26,2.4987499713897705
2010-03-01,2.5374999046325684
2010-03-02,2.416249990463257
2010-03-03,2.458750009536743
2010-03-04,2.5037500858306885
2010-03-05,2.481250047683716
2010-03-08,2.461250066757202
2010-03-09,2.526249885559082
2010-03-10,2.575000047683716
2010-03-11,2.744999885559082
2010-03-12,2.5999999046325684
2010-03-15,2.6524999141693115
2010-03-16,2.6137499809265137
2010-03-17,2.5850000381469727
2010-03-18,2.591249942779541
2010-03-19,2.640000104904175
2010-03-22,2.6962499618530273
2010-03-23,2.7362499237060547
2010-03-24,2.661250114440918
2010-03-25,2.6524999141693115
2010-03-26,2.6549999713897705
2010-03-29,2.65625
2010-03-30,2.6575000286102295
2010-03-31,2.661250114440918
2010-04-01,2.674999952316284
2010-04-05,2.708750009536743
2010-04-06,2.694999933242798
2010-04-07,2.711250066757202
2010-04-08,2.703749895095825
2010-04-09,2.851249933242798
2010-04-12,2.851249933242798
2010-04-13,2.841249942779541
2010-04-14,2.9075000286102295
2010-04-15,2.990000009536743
2010-04-16,3.0325000286102295
2010-04-19,2.9437499046325684
2010-04-20,2.971250057220459
2010-04-21,3.0062499046325684
2010-04-22,3.067500114440918
2010-04-23,3.1237499713897705
2010-04-26,2.956249952316284
2010-04-27,2.859999895095825
2010-04-28,2.865000009536743
2010-04-29,2.817500114440918
2010-04-30,3.0612499713897705
2010-05-03,2.9362499713897705
2010-05-04,2.8262500762939453
2010-05-05,2.7925000190734863
2010-05-06,2.8975000381469727
2010-05-07,2.721250057220459
2010-05-10,2.891249895095825
2010-05-11,2.788749933242798
2010-05-12,3.1050000190734863
2010-05-13,3.1137499809265137
2010-05-14,3.0537500381469727
2010-05-17,3.2125000953674316
2010-05-18,3.1837499141693115
2010-05-19,3.059999942779541
2010-05-20,2.9512500762939453
2010-05-21,2.9412500858306885
2010-05-24,2.877500057220459
2010-05-25,2.856250047683716
2010-05-26,2.7987499237060547
2010-05-27,2.96875
2010-05-28,2.8424999713897705
2010-06-01,2.713749885559082
2010-06-02,2.799999952316284
2010-06-03,2.726249933242798
2010-06-04,2.569999933242798
2010-06-07,2.450000047683716
2010-06-08,2.4887499809265137
2010-06-09,2.4362499713897705
2010-06-10,2.515000104904175
2010-06-11,2.5950000286102295
2010-06-14,2.653749942779541
2010-06-15,2.694999933242798
2010-06-16,2.6862499713897705
2010-06-17,2.6937499046325684
2010-06-18,2.6887500286102295
2010-06-21,2.6837499141693115
2010-06-22,2.634999990463257
2010-06-23,2.6875
2010-06-24,2.697499990463257
2010-06-25,2.6887500286102295
2010-06-28,2.6912500858306885
2010-06-29,2.473750114440918
2010-06-30,2.5112500190734863
2010-07-01,2.5562500953674316
2010-07-02,2.526249885559082
2010-07-06,2.5712499618530273
2010-07-07,2.706249952316284
2010-07-08,2.768749952316284
2010-07-09,2.793750047683716
2010-07-12,2.684999942779541
2010-07-13,2.7799999713897705
2010-07-14,2.752500057220459
2010-07-15,2.708750009536743
2010-07-16,2.5637500286102295
2010-07-19,2.601249933242798
2010-07-20,2.648750066757202
2010-07-21,2.559999942779541
2010-07-22,2.630000114440918
2010-07-23,2.716249942779541
2010-07-26,2.7699999809265137
2010-07-27,2.7325000762939453
2010-07-28,2.711250066757202
2010-07-29,2.684999942779541
2010-07-30,2.7125000953674316
2010-08-02,2.7637500762939453
2010-08-03,2.6649999618530273
2010-08-04,2.819999933242798
2010-08-05,2.8112499713897705
2010-08-06,2.773750066757202
2010-08-09,2.78125
2010-08-10,2.7725000381469727
2010-08-11,2.694999933242798
2010-08-12,2.5799999237060547
2010-08-13,2.516249895095825
2010-08-16,2.5537500381469727
2010-08-17,2.5625
2010-08-18,2.5737500190734863
2010-08-19,2.5037500858306885
2010-08-20,2.505000114440918
2010-08-23,2.5062499046325684
2010-08-24,2.424999952316284
2010-08-25,2.422499895095825
2010-08-26,2.418750047683716
2010-08-27,2.512500047683716
2010-08-30,2.4487500190734863
2010-08-31,2.5062499046325684
2010-09-01,2.5875000953674316
2010-09-02,2.625
2010-09-03,2.6962499618530273
2010-09-07,2.5612499713897705
2010-09-08,2.5350000858306885
2010-09-09,2.5325000286102295
2010-09-10,2.5137500762939453
2010-09-13,2.612499952316284
2010-09-14,2.442500114440918
2010-09-15,2.4049999713897705
2010-09-16,2.4024999141693115
2010-09-17,2.4237499237060547
2010-09-20,2.4237499237060547
2010-09-21,2.430000066757202
