Date,GGG
2010-01-04,7.767226219177246
2010-01-05,7.706911563873291
2010-01-06,7.659713268280029
2010-01-07,7.7226481437683105
2010-01-08,7.97176456451416
2010-01-11,8.068793296813965
2010-01-12,8.037320137023926
2010-01-13,8.068793296813965
2010-01-14,8.11102294921875
2010-01-15,8.04239559173584
2010-01-19,8.287863731384277
2010-01-20,8.182287216186523
2010-01-21,8.050314903259277
2010-01-22,8.039752960205078
2010-01-25,7.915703296661377
2010-01-26,7.522424221038818
2010-01-27,7.335023880004883
2010-01-28,7.253200054168701
2010-01-29,7.04468297958374
2010-02-01,7.171379089355469
2010-02-02,7.189853668212891
2010-02-03,7.150261878967285
2010-02-04,6.978696346282959
2010-02-05,7.020926475524902
2010-02-08,6.962860584259033
2010-02-09,7.026208400726318
2010-02-10,7.010371685028076
2010-02-11,7.171379089355469
2010-02-12,7.210968971252441
2010-02-16,7.279595375061035
2010-02-17,7.274316310882568
2010-02-18,7.411568641662598
2010-02-19,7.369336128234863
2010-02-22,7.018289089202881
2010-02-23,7.11330509185791
2010-02-24,7.1080322265625
2010-02-25,7.179295063018799
2010-02-26,7.234724521636963
2010-03-01,7.356137275695801
2010-03-02,7.506587028503418
2010-03-03,7.583131313323975
2010-03-04,7.572573184967041
2010-03-05,7.823323726654053
2010-03-08,7.942093849182129
2010-03-09,7.950014591217041
2010-03-10,8.008079528808594
2010-03-11,7.9684882164001465
2010-03-12,8.008079528808594
2010-03-15,8.031838417053223
2010-03-16,8.105740547180176
2010-03-17,8.192846298217773
2010-03-18,8.208681106567383
2010-03-19,8.079344749450684
2010-03-22,8.140052795410156
2010-03-23,8.29842472076416
2010-03-24,8.203398704528809
2010-03-25,8.242993354797363
2010-03-26,8.311615943908691
2010-03-29,8.462067604064941
2010-03-30,8.538610458374023
2010-03-31,8.446228981018066
2010-04-01,8.514856338500977
2010-04-05,8.578204154968262
2010-04-06,8.575570106506348
2010-04-07,8.543893814086914
2010-04-08,8.43831729888916
2010-04-09,8.446228981018066
2010-04-12,8.454145431518555
2010-04-13,8.448869705200195
2010-04-14,8.485823631286621
2010-04-15,8.485820770263672
2010-04-16,8.392866134643555
2010-04-19,8.358339309692383
2010-04-20,8.435359001159668
2010-04-21,8.560187339782715
2010-04-22,9.338386535644531
2010-04-23,9.364948272705078
2010-04-26,9.410099983215332
2010-04-27,9.229494094848633
2010-04-28,9.18700122833252
2010-04-29,9.495091438293457
2010-04-30,9.210904121398926
2010-05-03,9.428690910339355
2010-05-04,9.078104019165039
2010-05-05,8.908123016357422
2010-05-06,8.613306045532227
2010-05-07,8.613306045532227
2010-05-10,9.179031372070312
2010-05-11,9.221528053283691
2010-05-12,9.471185684204102
2010-05-13,9.468528747558594
2010-05-14,9.15246868133545
2010-05-17,8.969209671020508
2010-05-18,8.793914794921875
2010-05-19,8.581438064575195
2010-05-20,8.23350715637207
2010-05-21,8.44067096710205
2010-05-24,8.342403411865234
2010-05-25,8.273344039916992
2010-05-26,8.246785163879395
2010-05-27,8.49644660949707
2010-05-28,8.416766166687012
2010-06-01,8.177730560302734
2010-06-02,8.480510711669922
2010-06-03,8.53363037109375
2010-06-04,7.989156246185303
2010-06-07,7.744807243347168
2010-06-08,7.82448673248291
2010-06-09,7.872296333312988
2010-06-10,8.084772109985352
2010-06-11,8.151174545288086
2010-06-14,8.25740909576416
2010-06-15,8.366305351257324
2010-06-16,8.430047035217285
2010-06-17,8.37692928314209
2010-06-18,8.273344039916992
2010-06-21,8.206945419311523
2010-06-22,7.951969623565674
2010-06-23,7.994470119476318
2010-06-24,7.8590087890625
2010-06-25,7.970566272735596
