Date,SNV
2010-01-04,9.737774848937988
2010-01-05,10.294224739074707
2010-01-06,10.850665092468262
2010-01-07,11.360737800598145
2010-01-08,11.63896369934082
2010-01-11,12.149033546447754
2010-01-12,11.824445724487305
2010-01-13,12.84459400177002
2010-01-14,12.84459400177002
2010-01-15,12.288142204284668
2010-01-19,12.427261352539062
2010-01-20,12.890966415405273
2010-01-21,13.679258346557617
2010-01-22,13.07644271850586
2010-01-25,12.334518432617188
2010-01-26,12.520000457763672
2010-01-27,12.70547866821289
2010-01-28,12.659110069274902
2010-01-29,12.798221588134766
2010-02-01,12.9837007522583
2010-02-02,12.751850128173828
2010-02-03,11.453485488891602
2010-02-04,11.824445724487305
2010-02-05,11.824445724487305
2010-02-08,11.453485488891602
2010-02-09,11.917186737060547
2010-02-10,12.149033546447754
2010-02-11,12.102662086486816
2010-02-12,12.149033546447754
2010-02-16,13.169182777404785
2010-02-17,12.751850128173828
2010-02-18,12.798221588134766
2010-02-19,13.261923789978027
2010-02-22,13.818370819091797
2010-02-23,13.4937744140625
2010-02-24,13.772000312805176
2010-02-25,13.354663848876953
2010-02-26,13.215553283691406
2010-03-01,12.890966415405273
2010-03-02,13.07644271850586
2010-03-03,12.520000457763672
2010-03-04,11.778075218200684
2010-03-05,12.102662086486816
2010-03-08,12.149033546447754
2010-03-09,12.659110069274902
2010-03-10,13.447408676147461
2010-03-11,14.653031349182129
2010-03-12,15.116731643676758
2010-03-15,14.83851432800293
2010-03-16,16.652631759643555
2010-03-17,17.443403244018555
2010-03-18,16.652631759643555
2010-03-19,16.094438552856445
2010-03-22,16.513086318969727
2010-03-23,16.699148178100586
2010-03-24,16.74566078186035
2010-03-25,16.094438552856445
2010-03-26,16.187469482421875
2010-03-29,15.117609024047852
2010-03-30,15.396706581115723
2010-03-31,15.303675651550293
2010-04-01,15.536253929138184
2010-04-05,15.861865043640137
2010-04-06,16.83868980407715
2010-04-07,16.00140380859375
2010-04-08,15.954896926879883
2010-04-09,15.768832206726074
2010-04-12,16.14095687866211
2010-04-13,16.559602737426758
2010-04-14,17.582948684692383
2010-04-15,17.722496032714844
2010-04-16,16.373538970947266
2010-04-19,16.60611343383789
2010-04-20,17.769006729125977
2010-04-21,16.094438552856445
2010-04-22,16.978239059448242
2010-04-23,16.466571807861328
2010-04-26,16.00140380859375
2010-04-27,14.745487213134766
2010-04-28,14.791996002197266
2010-04-29,14.885039329528809
2010-04-30,14.001233100891113
2010-05-03,13.861692428588867
2010-05-04,13.443045616149902
2010-05-05,13.675622940063477
2010-05-06,13.861692428588867
2010-05-07,12.931374549865723
2010-05-10,13.908201217651367
2010-05-11,14.280327796936035
2010-05-12,15.07109546661377
2010-05-13,15.350189208984375
2010-05-14,14.885039329528809
2010-05-17,14.233809471130371
2010-05-18,13.815173149108887
2010-05-19,12.977886199951172
2010-05-20,12.233636856079102
2010-05-21,12.745307922363281
2010-05-24,12.32667064666748
2010-05-25,12.512728691101074
2010-05-26,13.163952827453613
2010-05-27,13.489558219909668
2010-05-28,13.768656730651855
2010-06-01,12.745307922363281
2010-06-02,13.070920944213867
2010-06-03,13.210465431213379
2010-06-04,12.373187065124512
2010-06-07,11.81499195098877
2010-06-08,11.954540252685547
2010-06-09,11.628931045532227
2010-06-10,12.373187065124512
2010-06-11,12.884857177734375
2010-06-14,12.280147552490234
2010-06-15,13.214000701904297
2010-06-16,13.260697364807129
2010-06-17,12.933849334716797
2010-06-18,13.400777816772461
2010-06-21,13.540854454040527
2010-06-22,13.120617866516113
2010-06-23,12.700385093688965
2010-06-24,12.420230865478516
2010-06-25,13.07392692565918
2010-06-28,12.373539924621582
2010-06-29,12.046689987182617
2010-06-30,11.859916687011719
2010-07-01,11.626457214355469
2010-07-02,11.206220626831055
2010-07-06,11.159530639648438
2010-07-07,11.392996788024902
2010-07-08,12.280149459838867
2010-07-09,12.887152671813965
2010-07-12,12.700385093688965
2010-07-13,12.980539321899414
2010-07-14,12.653693199157715
2010-07-15,12.3268461227417
2010-07-16,11.766536712646484
2010-07-19,11.579764366149902
2010-07-20,11.252918243408203
2010-07-21,10.599217414855957
2010-07-22,11.299610137939453
2010-07-23,11.066144943237305
2010-07-26,11.999996185302734
2010-07-27,11.81322956085205
2010-07-28,11.719844818115234
2010-07-29,11.999996185302734
2010-07-30,12.233457565307617
2010-08-02,12.653693199157715
2010-08-03,12.420230865478516
2010-08-04,12.56030559539795
2010-08-05,11.999996185302734
2010-08-06,11.719844818115234
2010-08-09,12.09338092803955
2010-08-10,11.719844818115234
2010-08-11,11.019452095031738
2010-08-12,10.739295959472656
2010-08-13,11.34630012512207
2010-08-16,11.533074378967285
2010-08-17,11.34630012512207
2010-08-18,11.299610137939453
2010-08-19,10.926068305969238
2010-08-20,10.692605972290039
2010-08-23,10.365756034851074
2010-08-24,10.038907051086426
2010-08-25,9.992215156555176
2010-08-26,9.712061882019043
2010-08-27,10.178982734680176
2010-08-30,9.758755683898926
2010-08-31,9.618673324584961
2010-09-01,10.365756034851074
2010-09-02,10.692605972290039
2010-09-03,10.972758293151855
2010-09-07,10.879371643066406
2010-09-08,10.972758293151855
2010-09-09,10.552525520324707
2010-09-10,10.178982734680176
2010-09-13,10.785990715026855
2010-09-14,10.64530086517334
2010-09-15,10.64530086517334
2010-09-16,10.598405838012695
2010-09-17,10.785990715026855
2010-09-20,11.583219528198242
2010-09-21,11.395631790161133
2010-09-22,11.254941940307617
2010-09-23,11.442530632019043
2010-09-24,11.723899841308594
2010-09-27,11.583219528198242
2010-09-28,11.677005767822266
