Date,WWD
2010-01-04,23.647018432617188
2010-01-05,23.95969581604004
2010-01-06,23.968631744384766
2010-01-07,24.075838088989258
2010-01-08,24.620786666870117
2010-01-11,24.710115432739258
2010-01-12,26.219881057739258
2010-01-13,26.300277709960938
2010-01-14,26.193073272705078
2010-01-15,25.317590713500977
2010-01-19,26.210947036743164
2010-01-20,25.85360336303711
2010-01-21,24.138368606567383
2010-01-22,23.772096633911133
2010-01-25,23.861427307128906
2010-01-26,23.655954360961914
2010-01-27,24.004356384277344
2010-01-28,23.4862117767334
2010-01-29,22.717941284179688
2010-02-01,22.941272735595703
2010-02-02,23.173553466796875
2010-02-03,23.521955490112305
2010-02-04,22.807268142700195
2010-02-05,22.78941535949707
2010-02-08,22.494609832763672
2010-02-09,22.717941284179688
2010-02-10,22.628597259521484
2010-02-11,22.98679542541504
2010-02-12,23.067384719848633
2010-02-16,23.344980239868164
2010-02-17,23.586759567260742
2010-02-18,24.589691162109375
2010-02-19,25.135929107666016
2010-02-22,25.270244598388672
2010-02-23,24.965782165527344
2010-02-24,25.449338912963867
2010-02-25,25.52994155883789
2010-02-26,25.780670166015625
2010-03-01,26.103036880493164
2010-03-02,26.371681213378906
2010-03-03,26.111995697021484
2010-03-04,26.067222595214844
2010-03-05,26.65823745727539
2010-03-08,26.55973243713379
2010-03-09,27.007461547851562
2010-03-10,27.114925384521484
2010-03-11,27.392520904541016
2010-03-12,27.589523315429688
2010-03-15,27.482078552246094
2010-03-16,27.58057403564453
2010-03-17,28.153669357299805
2010-03-18,28.27903175354004
2010-03-19,27.777572631835938
2010-03-22,27.992488861083984
2010-03-23,28.485000610351562
2010-03-24,27.732803344726562
2010-03-25,27.53579330444336
2010-03-26,27.750713348388672
2010-03-29,28.261131286621094
2010-03-30,28.97751235961914
2010-03-31,28.637235641479492
2010-04-01,29.156600952148438
2010-04-05,29.855073928833008
2010-04-06,29.980438232421875
2010-04-07,29.962535858154297
2010-04-08,30.043121337890625
2010-04-09,30.195343017578125
2010-04-12,30.2132568359375
2010-04-13,30.025203704833984
2010-04-14,30.660995483398438
2010-04-15,30.893808364868164
2010-04-16,29.998342514038086
2010-04-19,29.434206008911133
2010-04-20,29.568519592285156
2010-04-21,28.986461639404297
2010-04-22,29.6580753326416
2010-04-23,31.15351676940918
2010-04-26,30.54457664489746
2010-04-27,30.141626358032227
2010-04-28,29.881927490234375
2010-04-29,30.052085876464844
2010-04-30,28.699909210205078
2010-05-03,29.604333877563477
2010-05-04,27.929800033569336
2010-05-05,27.822343826293945
2010-05-06,26.792556762695312
2010-05-07,25.628433227539062
2010-05-10,27.58057403564453
2010-05-11,27.795490264892578
2010-05-12,28.655136108398438
2010-05-13,28.511865615844727
2010-05-14,27.83001136779785
