Date,CW
2010-01-04,28.843109130859375
2010-01-05,29.12261390686035
2010-01-06,29.916044235229492
2010-01-07,30.006208419799805
2010-01-08,29.798830032348633
2010-01-11,30.15949058532715
2010-01-12,29.636545181274414
2010-01-13,30.069326400756836
2010-01-14,30.231624603271484
2010-01-15,29.39310073852539
2010-01-19,29.916044235229492
2010-01-20,29.510324478149414
2010-01-21,28.807052612304688
2010-01-22,28.30213737487793
2010-01-25,28.383281707763672
2010-01-26,27.81525421142578
2010-01-27,28.130821228027344
2010-01-28,27.95950698852539
2010-01-29,27.553781509399414
2010-02-01,27.52672576904297
2010-02-02,27.364442825317383
2010-02-03,27.229196548461914
2010-02-04,26.1652774810791
2010-02-05,26.18330192565918
2010-02-08,26.18330192565918
2010-02-09,26.19232177734375
2010-02-10,26.201335906982422
2010-02-11,26.760347366333008
2010-02-12,26.68822479248047
2010-02-16,26.985750198364258
2010-02-17,27.40952491760254
2010-02-18,28.08574676513672
2010-02-19,28.57261848449707
2010-02-22,28.879175186157227
2010-02-23,28.43738555908203
2010-02-24,28.816064834594727
2010-02-25,28.79802703857422
2010-02-26,28.89720916748047
2010-03-01,29.681625366210938
2010-03-02,30.22261619567871
2010-03-03,29.979164123535156
2010-03-04,29.916044235229492
2010-03-05,30.763582229614258
2010-03-08,30.60128402709961
2010-03-09,30.88080596923828
2010-03-10,31.03406524658203
2010-03-11,31.124237060546875
2010-03-12,31.151283264160156
2010-03-15,31.0430850982666
2010-03-16,31.313579559326172
2010-03-17,31.809473037719727
2010-03-18,31.89965057373047
2010-03-19,32.12504959106445
2010-03-22,32.49470520019531
2010-03-23,32.59389877319336
2010-03-24,32.22423553466797
2010-03-25,31.72831153869629
2010-03-26,31.80044174194336
2010-03-29,32.052894592285156
2010-03-30,31.944467544555664
2010-03-31,31.447460174560547
2010-04-01,31.71855354309082
2010-04-05,32.01676559448242
2010-04-06,31.664342880249023
2010-04-07,31.5830020904541
2010-04-08,31.203468322753906
2010-04-09,31.23961067199707
2010-04-12,31.221540451049805
2010-04-13,31.08599281311035
2010-04-14,31.32094955444336
2010-04-15,32.03484344482422
2010-04-16,32.025794982910156
2010-04-19,31.872161865234375
2010-04-20,32.16134262084961
2010-04-21,32.46860122680664
2010-04-22,32.95657730102539
2010-04-23,33.2005615234375
2010-04-26,33.29995346069336
2010-04-27,32.83005142211914
2010-04-28,32.73067092895508
2010-04-29,33.580081939697266
2010-04-30,32.233638763427734
2010-05-03,32.531837463378906
2010-05-04,31.65530014038086
2010-05-05,31.26673126220703
2010-05-06,30.091968536376953
2010-05-07,29.56784439086914
2010-05-10,30.995616912841797
2010-05-11,31.284809112548828
2010-05-12,31.980621337890625
2010-05-13,31.709522247314453
2010-05-14,31.06790542602539
2010-05-17,31.12213134765625
2010-05-18,31.438425064086914
2010-05-19,31.076955795288086
2010-05-20,29.061784744262695
2010-05-21,29.179269790649414
2010-05-24,28.50152015686035
2010-05-25,28.3569278717041
2010-05-26,28.320783615112305
2010-05-27,29.188304901123047
2010-05-28,29.9293155670166
2010-06-01,29.305788040161133
2010-06-02,29.956409454345703
2010-06-03,29.685312271118164
2010-06-04,28.094871520996094
2010-06-07,27.371938705444336
2010-06-08,27.3900089263916
2010-06-09,27.362905502319336
2010-06-10,28.067758560180664
2010-06-11,28.212350845336914
2010-06-14,28.29368019104004
2010-06-15,28.483440399169922
2010-06-16,28.50152015686035
2010-06-17,28.555742263793945
2010-06-18,28.628040313720703
2010-06-21,28.483440399169922
2010-06-22,27.923173904418945
2010-06-23,27.95932388305664
2010-06-24,27.498445510864258
2010-06-25,27.57074737548828
2010-06-28,27.82377052307129
2010-06-29,26.519107818603516
2010-06-30,26.31072235107422
2010-07-01,25.758054733276367
2010-07-02,25.486244201660156
2010-07-06,25.08759880065918
2010-07-07,25.957374572753906
2010-07-08,26.582523345947266
2010-07-09,26.573469161987305
2010-07-12,26.19294548034668
2010-07-13,26.82716178894043
2010-07-14,26.76372718811035
2010-07-15,26.709367752075195
2010-07-16,25.50437355041504
2010-07-19,25.694639205932617
2010-07-20,26.20200538635254
2010-07-21,26.165760040283203
2010-07-22,27.379817962646484
2010-07-23,27.65163230895996
2010-07-26,28.267719268798828
2010-07-27,28.13181495666504
2010-07-28,27.941551208496094
2010-07-29,28.07745361328125
2010-07-30,27.4432430267334
2010-08-02,27.805652618408203
2010-08-03,27.769407272338867
2010-08-04,28.13181495666504
2010-08-05,28.095579147338867
2010-08-06,27.65163230895996
2010-08-09,27.95968246459961
2010-08-10,27.47042465209961
2010-08-11,26.138580322265625
2010-08-12,25.857717514038086
2010-08-13,25.694639205932617
2010-08-16,25.812414169311523
2010-08-17,26.301664352416992
2010-08-18,26.35602569580078
2010-08-19,25.314104080200195
2010-08-20,25.37752342224121
2010-08-23,24.59834861755371
2010-08-24,24.308429718017578
2010-08-25,24.380903244018555
2010-08-26,24.507747650146484
2010-08-27,25.02417755126953
2010-08-30,24.090984344482422
2010-08-31,24.090984344482422
2010-09-01,25.47719383239746
2010-09-02,25.730871200561523
2010-09-03,26.20200538635254
2010-09-07,25.51342010498047
2010-09-08,25.703699111938477
2010-09-09,25.830533981323242
2010-09-10,26.075159072875977
2010-09-13,26.655012130737305
2010-09-14,26.35602569580078
2010-09-15,26.419445037841797
2010-09-16,26.029855728149414
2010-09-17,26.093271255493164
2010-09-20,27.08989715576172
2010-09-21,27.12613868713379
2010-09-22,26.636898040771484
2010-09-23,26.093271255493164
2010-09-24,27.271102905273438
2010-09-27,26.94493865966797
2010-09-28,27.00835609436035
