Date,CTBI
2010-01-04,12.630874633789062
2010-01-05,12.154711723327637
2010-01-06,11.237471580505371
2010-01-07,11.77879524230957
2010-01-08,12.214855194091797
2010-01-11,11.728671073913574
2010-01-12,11.743708610534668
2010-01-13,11.8289155960083
2010-01-14,12.074515342712402
2010-01-15,11.658500671386719
2010-01-19,12.029410362243652
2010-01-20,12.37525463104248
2010-01-21,12.590778350830078
2010-01-22,12.62586498260498
2010-01-25,12.686009407043457
2010-01-26,12.575736999511719
2010-01-27,13.147140502929688
2010-01-28,12.766204833984375
2010-01-29,12.691023826599121
2010-02-01,12.53564453125
2010-02-02,12.325127601623535
2010-02-03,12.059478759765625
2010-02-04,12.014371871948242
2010-02-05,12.350187301635742
2010-02-08,12.064493179321289
2010-02-09,12.305075645446777
2010-02-10,12.445425033569336
2010-02-11,12.510581970214844
2010-02-12,12.224885940551758
2010-02-16,12.345170021057129
2010-02-17,12.525615692138672
2010-02-18,12.670967102050781
2010-02-19,12.761194229125977
2010-02-22,12.826353073120117
2010-02-23,12.761194229125977
2010-02-24,13.147140502929688
2010-02-25,13.102025032043457
2010-02-26,12.786258697509766
2010-03-01,13.092004776000977
2010-03-02,13.302522659301758
2010-03-03,13.112055778503418
2010-03-04,13.13210391998291
2010-03-05,13.207286834716797
2010-03-08,13.16718864440918
2010-03-09,13.34763240814209
2010-03-10,13.503009796142578
2010-03-11,13.68548583984375
2010-03-12,13.553693771362305
2010-03-15,13.665210723876953
2010-03-16,13.979466438293457
2010-03-17,14.21262264251709
2010-03-18,13.791922569274902
2010-03-19,14.025083541870117
2010-03-22,14.09604549407959
2010-03-23,14.035222053527832
2010-03-24,13.954119682312012
2010-03-25,13.883161544799805
2010-03-26,13.726027488708496
2010-03-29,13.746307373046875
2010-03-30,13.827404975891113
2010-03-31,13.72095775604248
2010-04-01,13.731098175048828
2010-04-05,13.761513710021973
2010-04-06,13.832472801208496
2010-04-07,14.030150413513184
2010-04-08,14.308926582336426
2010-04-09,14.699217796325684
2010-04-12,14.97292709350586
2010-04-13,14.841140747070312
2010-04-14,15.175677299499512
2010-04-15,15.271988868713379
2010-04-16,15.079376220703125
2010-04-19,15.003347396850586
2010-04-20,15.206085205078125
2010-04-21,15.241573333740234
2010-04-22,15.439248085021973
2010-04-23,15.586243629455566
2010-04-26,15.495003700256348
2010-04-27,15.378427505493164
2010-04-28,15.388559341430664
2010-04-29,15.991744041442871
2010-04-30,15.216224670410156
2010-05-03,15.550764083862305
2010-05-04,15.246636390686035
2010-05-05,15.206085205078125
2010-05-06,14.795523643493652
2010-05-07,14.273454666137695
2010-05-10,15.099647521972656
2010-05-11,15.35307788848877
2010-05-12,15.829545974731445
2010-05-13,15.702817916870117
2010-05-14,15.261848449707031
2010-05-17,15.42404842376709
2010-05-18,15.043891906738281
2010-05-19,14.876628875732422
2010-05-20,13.943982124328613
2010-05-21,14.384964942932129
2010-05-24,13.705754280090332
2010-05-25,13.731098175048828
2010-05-26,13.594250679016113
2010-05-27,14.126462936401367
2010-05-28,13.594250679016113
2010-06-01,13.127924919128418
2010-06-02,13.619587898254395
2010-06-03,13.812199592590332
2010-06-04,13.203957557678223
2010-06-07,12.98599910736084
2010-06-08,13.21916389465332
2010-06-09,12.930248260498047
2010-06-10,13.340810775756836
2010-06-11,13.7099609375
2010-06-14,13.217756271362305
2010-06-15,13.407456398010254
2010-06-16,13.433099746704102
2010-06-17,13.453607559204102
2010-06-18,13.361312866210938
2010-06-21,13.181866645812988
2010-06-22,12.920381546020508
2010-06-23,12.946017265319824
2010-06-24,12.86911678314209
2010-06-25,13.181866645812988
2010-06-28,13.022927284240723
2010-06-29,12.95114517211914
2010-06-30,12.86911678314209
2010-07-01,12.81783676147461
2010-07-02,12.715302467346191
2010-07-06,12.812710762023926
2010-07-07,13.402335166931152
2010-07-08,13.49461841583252
2010-07-09,13.817638397216797
2010-07-12,13.602296829223633
2010-07-13,14.166277885437012
2010-07-14,14.022721290588379
2010-07-15,13.756109237670898
2010-07-16,12.992169380187988
2010-07-19,12.981908798217773
2010-07-20,13.397210121154785
2010-07-21,12.848603248596191
2010-07-22,13.571527481079102
2010-07-23,13.894536972045898
2010-07-26,14.099627494812012
2010-07-27,14.038097381591797
2010-07-28,13.956066131591797
2010-07-29,13.986827850341797
2010-07-30,14.089372634887695
2010-08-02,14.232932090759277
2010-08-03,14.161149024963379
2010-08-04,14.243181228637695
2010-08-05,13.991954803466797
2010-08-06,13.756109237670898
2010-08-09,14.084244728088379
2010-08-10,13.838144302368164
2010-08-11,13.24852180480957
2010-08-12,13.243391036987305
2010-08-13,13.161359786987305
2010-08-16,13.392080307006836
2010-08-17,13.59717082977295
2010-08-18,13.366443634033203
2010-08-19,13.156233787536621
2010-08-20,13.171612739562988
2010-08-23,12.86911678314209
2010-08-24,12.838347434997559
2010-08-25,13.351067543029785
2010-08-26,13.048564910888672
2010-08-27,13.566402435302734
2010-08-30,13.243391036987305
2010-08-31,13.530516624450684
2010-09-01,13.833009719848633
2010-09-02,13.78174114227295
2010-09-03,13.935553550720215
2010-09-07,13.653565406799316
2010-09-08,13.633055686950684
2010-09-09,13.60742473602295
2010-09-10,13.648435592651367
2010-09-13,13.905174255371094
2010-09-14,13.83774471282959
2010-09-15,13.848121643066406
2010-09-16,13.51099681854248
2010-09-17,13.744390487670898
2010-09-20,14.263042449951172
2010-09-21,14.008902549743652
2010-09-22,13.791072845458984
2010-09-23,13.443567276000977
2010-09-24,14.097077369689941
2010-09-27,13.780696868896484
2010-09-28,14.008902549743652
