Date,HBT
2019-10-11,12.56331729888916
2019-10-14,12.530976295471191
2019-10-15,12.611824989318848
2019-10-16,12.773512840270996
2019-10-17,12.813935279846191
2019-10-18,12.822020530700684
2019-10-21,12.805850982666016
2019-10-22,12.910947799682617
2019-10-23,13.048386573791504
2019-10-24,12.935200691223145
2019-10-25,13.02413272857666
2019-10-28,13.17773723602295
2019-10-29,13.080723762512207
2019-10-30,12.9998779296875
2019-10-31,12.959455490112305
2019-11-01,12.910947799682617
2019-11-04,12.983708381652832
2019-11-05,13.064555168151855
2019-11-06,13.137316703796387
2019-11-07,13.630471229553223
2019-11-08,13.808327674865723
2019-11-11,13.678977966308594
2019-11-12,13.65472412109375
2019-11-13,13.703231811523438
2019-11-14,13.66280746459961
2019-11-15,13.986186027526855
2019-11-18,13.978105545043945
2019-11-19,14.099372863769531
2019-11-20,13.961935997009277
2019-11-21,13.961935997009277
2019-11-22,14.042781829833984
2019-11-25,14.099372863769531
2019-11-26,14.228728294372559
2019-11-27,14.309565544128418
2019-11-29,14.390413284301758
2019-12-02,14.147878646850586
2019-12-03,13.65472412109375
2019-12-04,14.018525123596191
2019-12-05,13.953851699829102
2019-12-06,14.172133445739746
2019-12-09,14.042781829833984
2019-12-10,14.19638442993164
2019-12-11,14.32573413848877
2019-12-12,14.1155366897583
2019-12-13,14.067030906677246
2019-12-16,14.426790237426758
2019-12-17,14.624866485595703
2019-12-18,14.68954086303711
2019-12-19,14.519766807556152
2019-12-20,14.552103042602539
2019-12-23,14.592529296875
2019-12-24,14.681453704833984
2019-12-26,14.810807228088379
2019-12-27,15.158437728881836
2019-12-30,15.303964614868164
2019-12-31,15.352466583251953
2020-01-02,15.481818199157715
2020-01-03,15.522245407104492
2020-01-06,15.441397666931152
2020-01-07,15.198862075805664
2020-01-08,15.13418960571289
2020-01-09,15.303964614868164
2020-01-10,15.045256614685059
2020-01-13,15.255453109741211
2020-01-14,15.142268180847168
2020-01-15,15.303964614868164
2020-01-16,15.34438419342041
2020-01-17,15.400976181030273
2020-01-21,15.27971076965332
2020-01-22,15.13418960571289
2020-01-23,15.352466583251953
2020-01-24,15.271620750427246
2020-01-27,15.441397666931152
2020-01-28,15.384803771972656
2020-01-29,15.384803771972656
2020-01-30,15.392889976501465
2020-01-31,15.62734317779541
2020-02-03,15.77286148071289
2020-02-04,15.708186149597168
2020-02-05,16.120500564575195
2020-02-06,15.376721382141113
2020-02-07,15.026322364807129
2020-02-10,15.23819351196289
2020-02-11,15.115960121154785
2020-02-12,15.132256507873535
2020-02-13,15.075220108032227
2020-02-14,14.847050666809082
2020-02-18,14.830754280090332
2020-02-19,14.708521842956543
2020-02-20,14.757415771484375
2020-02-21,14.675928115844727
2020-02-24,14.333678245544434
2020-02-25,14.072918891906738
2020-02-26,13.999582290649414
2020-02-27,13.649182319641113
2020-02-28,12.614290237426758
2020-03-02,13.127662658691406
2020-03-03,12.206851959228516
2020-03-04,12.19055461883545
2020-03-05,11.579397201538086
