Date,WTM
2010-01-04,328.1259460449219
2010-01-05,326.61004638671875
2010-01-06,328.78125
2010-01-07,327.6174621582031
2010-01-08,321.76885986328125
2010-01-11,322.7468566894531
2010-01-12,320.93756103515625
2010-01-13,325.9841003417969
2010-01-14,322.8935546875
2010-01-15,313.9446716308594
2010-01-19,324.702880859375
2010-01-20,324.2138977050781
2010-01-21,326.169921875
2010-01-22,321.27984619140625
2010-01-25,320.7908935546875
2010-01-26,318.44354248046875
2010-01-27,323.7248840332031
2010-01-28,318.73699951171875
2010-01-29,313.4263610839844
2010-02-01,313.2209167480469
2010-02-02,317.6122741699219
2010-02-03,310.0129699707031
2010-02-04,313.9837951660156
2010-02-05,317.85675048828125
2010-02-08,310.22821044921875
2010-02-09,316.9765625
2010-02-10,320.5463562011719
2010-02-11,319.8226013183594
2010-02-12,322.7468566894531
2010-02-16,326.658935546875
2010-02-17,325.92547607421875
2010-02-18,324.3116760253906
2010-02-19,325.680908203125
2010-02-22,334.2190246582031
2010-02-23,331.0600891113281
2010-02-24,333.1139221191406
2010-02-25,336.0773010253906
2010-02-26,339.02117919921875
2010-03-01,342.7962951660156
2010-03-02,342.20941162109375
2010-03-03,341.9161071777344
2010-03-04,343.08966064453125
2010-03-05,341.88677978515625
2010-03-08,342.9722900390625
2010-03-09,340.9087219238281
2010-03-10,344.24371337890625
2010-03-11,344.75238037109375
2010-03-12,345.2413330078125
2010-03-15,343.2852783203125
2010-03-16,347.3831481933594
2010-03-17,348.12646484375
2010-03-18,347.6851806640625
2010-03-19,350.0881042480469
2010-03-22,346.5082702636719
2010-03-23,347.7833251953125
2010-03-24,351.1571044921875
2010-03-25,348.1755676269531
2010-03-26,345.4784851074219
2010-03-29,346.45916748046875
2010-03-30,346.7828369140625
2010-03-31,348.1755676269531
2010-04-01,351.2649841308594
2010-04-05,353.7267150878906
2010-04-06,353.3932800292969
2010-04-07,354.0602111816406
2010-04-08,351.11785888671875
2010-04-09,349.82330322265625
2010-04-12,353.07940673828125
2010-04-13,352.00054931640625
2010-04-14,353.07940673828125
