Date,AL
2011-04-19,23.745479583740234
2011-04-20,23.872909545898438
2011-04-21,24.680002212524414
2011-04-25,24.467607498168945
2011-04-26,24.467607498168945
2011-04-27,24.26371192932129
2011-04-28,23.804946899414062
2011-04-29,23.4481201171875
2011-05-02,23.50759506225586
2011-05-03,23.0488224029541
2011-05-04,22.675016403198242
2011-05-05,22.61553955078125
2011-05-06,22.73448371887207
2011-05-09,23.167766571044922
2011-05-10,23.575557708740234
2011-05-11,23.626529693603516
2011-05-12,24.340171813964844
2011-05-13,24.59503936767578
2011-05-16,24.620534896850586
2011-05-17,24.255210876464844
2011-05-18,24.637523651123047
2011-05-19,25.09629249572754
2011-05-20,25.232223510742188
2011-05-23,24.42513656616211
2011-05-24,24.450620651245117
2011-05-25,23.974853515625
2011-05-26,24.255210876464844
2011-05-27,24.153270721435547
2011-05-31,24.212745666503906
2011-06-01,23.609540939331055
2011-06-02,23.43962860107422
2011-06-03,22.40315055847168
2011-06-06,21.876422882080078
2011-06-07,21.179771423339844
2011-06-08,20.941896438598633
2011-06-09,21.15428352355957
2011-06-10,21.16278076171875
2011-06-13,21.774473190307617
2011-06-14,22.369173049926758
2011-06-15,21.901906967163086
2011-06-16,21.876422882080078
2011-06-17,22.003854751586914
2011-06-20,21.92738914489746
2011-06-21,21.92738914489746
2011-06-22,21.825448989868164
2011-06-23,21.230745315551758
2011-06-24,20.007369995117188
2011-06-27,20.3726863861084
2011-06-28,21.145793914794922
2011-06-29,20.814462661743164
2011-06-30,20.636045455932617
2011-07-01,21.290212631225586
2011-07-05,21.22224998474121
2011-07-06,21.247737884521484
2011-07-07,21.290212631225586
2011-07-08,21.256235122680664
2011-07-11,21.103313446044922
2011-07-12,20.80596351623535
2011-07-13,20.865434646606445
2011-07-14,21.035343170166016
2011-07-15,21.001359939575195
2011-07-18,20.890913009643555
2011-07-19,21.086318969726562
2011-07-20,21.13729476928711
2011-07-21,21.19676399230957
2011-07-22,21.19676399230957
2011-07-25,21.179771423339844
2011-07-26,21.20526123046875
2011-07-27,21.01835060119629
2011-07-28,20.797468185424805
2011-07-29,20.754989624023438
2011-08-01,20.695520401000977
2011-08-02,19.913917541503906
2011-08-03,19.854440689086914
2011-08-04,18.97089385986328
2011-08-05,19.13231658935547
2011-08-08,17.305734634399414
2011-08-09,17.98538589477539
2011-08-10,17.33121681213379
2011-08-11,18.09583282470703
2011-08-12,19.16629409790039
2011-08-15,19.378686904907227
2011-08-16,19.064346313476562
2011-08-17,18.97089385986328
2011-08-18,18.240259170532227
2011-08-19,17.968400955200195
2011-08-22,18.180789947509766
2011-08-23,18.554601669311523
2011-08-24,18.605581283569336
2011-08-25,18.265748977661133
2011-08-26,18.588581085205078
2011-08-29,19.200267791748047
2011-08-30,19.20878028869629
2011-08-31,19.378686904907227
2011-09-01,19.0048770904541
2011-09-02,18.65654754638672
2011-09-06,18.240259170532227
2011-09-07,18.50362777709961
2011-09-08,18.31673240661621
2011-09-09,17.934415817260742
2011-09-12,17.254756927490234
2011-09-13,17.840961456298828
2011-09-14,17.637069702148438
2011-09-15,17.297239303588867
2011-09-16,17.19529151916504
2011-09-19,17.008384704589844
2011-09-20,16.787498474121094
2011-09-21,16.69404411315918
2011-09-22,16.76201057434082
2011-09-23,16.889440536499023
2011-09-26,17.305734634399414
2011-09-27,17.959901809692383
2011-09-28,17.65406036376953
2011-09-29,17.755998611450195
2011-09-30,16.311737060546875
2011-10-03,15.258273124694824
2011-10-04,15.14782428741455
2011-10-05,15.801995277404785
2011-10-06,16.116334915161133
2011-10-07,15.700055122375488
2011-10-10,16.294755935668945
2011-10-11,16.039875030517578
2011-10-12,16.00589370727539
2011-10-13,16.167316436767578
2011-10-14,16.490150451660156
2011-10-17,16.447669982910156
2011-10-18,17.169803619384766
2011-10-19,17.56909942626953
2011-10-20,17.74751091003418
2011-10-21,18.894428253173828
2011-10-24,18.826473236083984
2011-10-25,18.59708023071289
2011-10-26,18.834962844848633
2011-10-27,19.412670135498047
2011-10-28,19.1917781829834
2011-10-31,18.97089385986328
2011-11-01,19.157791137695312
2011-11-02,19.33620834350586
2011-11-03,19.33620834350586
2011-11-04,19.387176513671875
2011-11-07,19.361692428588867
2011-11-08,19.77798080444336
2011-11-09,19.17479133605957
2011-11-10,19.25975227355957
2011-11-11,19.676036834716797
2011-11-14,19.60807228088379
2011-11-15,19.021862030029297
2011-11-16,18.85195541381836
2011-11-17,18.605581283569336
2011-11-18,19.26824378967285
2011-11-21,18.435665130615234
2011-11-22,18.707521438598633
2011-11-23,18.648056030273438
2011-11-25,18.88593292236328
2011-11-28,18.52061653137207
2011-11-29,18.639564514160156
2011-11-30,19.04735565185547
2011-12-01,19.455148696899414
2011-12-02,19.66753578186035
2011-12-05,19.752500534057617
2011-12-06,19.964889526367188
2011-12-07,19.92241668701172
2011-12-08,19.65054702758789
2011-12-09,19.540103912353516
2011-12-12,19.82895851135254
2011-12-13,19.387176513671875
2011-12-14,18.495134353637695
2011-12-15,19.412670135498047
2011-12-16,19.115314483642578
2011-12-19,19.302223205566406
2011-12-20,20.100820541381836
2011-12-21,20.177282333374023
2011-12-22,20.253740310668945
2011-12-23,20.007369995117188
2011-12-27,20.185773849487305
2011-12-28,20.14329719543457
2011-12-29,19.930910110473633
2011-12-30,20.14329719543457
2012-01-03,19.98187828063965
2012-01-04,20.049848556518555
2012-01-05,19.896928787231445
2012-01-06,19.77798080444336
2012-01-09,20.16878318786621
2012-01-10,20.797468185424805
2012-01-11,21.171287536621094
2012-01-12,21.230745315551758
2012-01-13,21.230745315551758
2012-01-17,21.171287536621094
2012-01-18,21.20526123046875
2012-01-19,20.80596351623535
2012-01-20,21.15428352355957
2012-01-23,20.890913009643555
2012-01-24,21.145793914794922
2012-01-25,21.731992721557617
2012-01-26,21.5535831451416
2012-01-27,21.545087814331055
2012-01-30,21.40916633605957
2012-01-31,21.460128784179688
