Date,BXMT
2010-01-04,2.031799077987671
2010-01-05,2.0637950897216797
2010-01-06,2.351766586303711
2010-01-07,2.7677249908447266
2010-01-08,2.7197303771972656
2010-01-11,2.751727342605591
2010-01-12,2.5117509365081787
2010-01-13,2.623739242553711
2010-01-14,2.5597455501556396
2010-01-15,2.7997217178344727
2010-01-19,3.0236997604370117
2010-01-20,2.815720558166504
2010-01-21,2.623739242553711
2010-01-22,2.7197303771972656
2010-01-25,2.6557366847991943
2010-01-26,2.4637556076049805
2010-01-27,2.303771734237671
2010-01-28,2.319770097732544
2010-01-29,2.159785270690918
2010-02-01,2.319770097732544
2010-02-02,2.4637556076049805
2010-02-03,2.575744390487671
2010-02-04,2.319770097732544
2010-02-05,2.319770097732544
2010-02-08,2.4157607555389404
2010-02-09,2.5437474250793457
2010-02-10,2.4477572441101074
2010-02-11,2.479753255844116
2010-02-12,2.5437474250793457
2010-02-16,2.479753255844116
2010-02-17,2.607740879058838
2010-02-18,2.5597455501556396
2010-02-19,2.607740879058838
2010-02-22,2.7357287406921387
2010-02-23,2.783724308013916
2010-02-24,2.751727342605591
2010-02-25,2.703730821609497
2010-02-26,2.703730821609497
2010-03-01,2.7997217178344727
2010-03-02,2.8317184448242188
2010-03-03,2.2717740535736084
2010-03-04,2.255775213241577
2010-03-05,2.0477969646453857
2010-03-08,2.2397773265838623
2010-03-09,2.319770097732544
2010-03-10,2.335768699645996
2010-03-11,2.479753255844116
2010-03-12,2.39976167678833
2010-03-15,2.319770097732544
2010-03-16,2.2877724170684814
2010-03-17,2.351766586303711
2010-03-18,2.4957525730133057
2010-03-19,2.4157607555389404
2010-03-22,2.383763074874878
2010-03-23,2.4477572441101074
2010-03-24,2.67173433303833
2010-03-25,2.4957525730133057
2010-03-26,2.5117509365081787
2010-03-29,2.4637556076049805
2010-03-30,2.4157607555389404
2010-03-31,2.479753255844116
2010-04-01,2.4477572441101074
2010-04-05,2.639738082885742
2010-04-06,2.687732696533203
2010-04-07,2.7197303771972656
2010-04-08,3.055696964263916
2010-04-09,3.4396581649780273
2010-04-12,3.551647186279297
2010-04-13,3.599642515182495
2010-04-14,3.551647186279297
2010-04-15,4.127590179443359
2010-04-16,4.015602111816406
2010-04-19,4.271574974060059
2010-04-20,4.495552062988281
2010-04-21,4.335569381713867
2010-04-22,4.4315595626831055
2010-04-23,4.3035736083984375
2010-04-26,4.335569381713867
2010-04-27,4.031600475311279
2010-04-28,3.9196112155914307
2010-04-29,4.239579200744629
2010-04-30,4.207581520080566
2010-05-03,3.679633140563965
2010-05-04,3.3596668243408203
2010-05-05,3.16768479347229
2010-05-06,2.8317184448242188
2010-05-07,3.1196889877319336
2010-05-10,3.3436686992645264
2010-05-11,3.3276689052581787
2010-05-12,3.2796742916107178
2010-05-13,3.103691339492798
2010-05-14,2.9597058296203613
2010-05-17,2.783724308013916
2010-05-18,2.8317184448242188
2010-05-19,2.7197303771972656
2010-05-20,2.4317586421966553
2010-05-21,2.4957525730133057
2010-05-24,2.5597455501556396
2010-05-25,2.4637556076049805
2010-05-26,2.6557366847991943
