Date,AMTB
2018-10-18,28.227270126342773
2018-10-19,24.698862075805664
2018-10-22,24.698862075805664
2018-10-23,24.698862075805664
2018-10-24,27.944995880126953
2018-10-25,25.498628616333008
2018-10-26,23.522722244262695
2018-10-29,22.93935775756836
2018-10-30,19.759084701538086
2018-10-31,20.126039505004883
2018-11-01,18.35713005065918
2018-11-02,19.683813095092773
2018-11-05,19.759084701538086
2018-11-06,19.138086318969727
2018-11-07,16.183629989624023
2018-11-08,17.877267837524414
2018-11-09,17.877267837524414
2018-11-12,17.877267837524414
2018-11-13,15.99544906616211
2018-11-14,15.882539749145508
2018-11-15,15.76021957397461
2018-11-16,15.76021957397461
2018-11-19,15.054540634155273
2018-11-20,15.054540634155273
2018-11-21,14.988677024841309
2018-11-23,14.367679595947266
2018-11-26,12.137724876403809
2018-11-27,13.96308708190918
2018-11-28,15.73199462890625
2018-11-29,15.270950317382812
2018-11-30,15.054540634155273
2018-12-03,15.054540634155273
2018-12-04,14.207725524902344
2018-12-06,13.172723770141602
2018-12-07,13.219768524169922
2018-12-10,13.60554313659668
2018-12-11,13.492632865905762
2018-12-12,12.269452095031738
2018-12-13,12.269452095031738
2018-12-14,11.055679321289062
2018-12-17,10.02068042755127
2018-12-18,11.290904998779297
2018-12-19,12.231817245483398
2018-12-20,12.231817245483398
2018-12-21,12.655223846435547
2018-12-24,12.37295150756836
2018-12-26,12.231817245483398
2018-12-27,12.354133605957031
2018-12-28,12.24122428894043
2018-12-31,12.24122428894043
2019-01-02,12.55172348022461
2019-01-03,12.231817245483398
2019-01-04,12.42940616607666
2019-01-07,12.325906753540039
2019-01-08,12.401179313659668
2019-01-09,13.144498825073242
2019-01-10,12.881041526794434
2019-01-11,13.163314819335938
2019-01-14,13.116270065307617
2019-01-15,12.702269554138184
2019-01-16,12.41999626159668
2019-01-17,12.467044830322266
2019-01-18,12.702269554138184
2019-01-22,12.777542114257812
2019-01-23,12.749314308166504
2019-01-24,12.608177185058594
2019-01-25,12.674041748046875
2019-01-28,12.467044830322266
2019-01-29,12.683450698852539
2019-01-30,13.163314819335938
2019-01-31,13.088042259216309
2019-02-01,13.125677108764648
2019-02-04,13.191543579101562
2019-02-05,13.172723770141602
2019-02-06,13.774908065795898
2019-02-07,13.586725234985352
2019-02-08,14.113635063171387
2019-02-11,14.537042617797852
2019-02-12,14.367679595947266
2019-02-13,14.48058795928955
2019-02-14,14.584090232849121
2019-02-15,14.631133079528809
2019-02-19,14.762857437133789
2019-02-20,14.471179008483887
2019-02-21,15.035722732543945
2019-02-22,15.045132637023926
2019-02-25,14.489997863769531
2019-02-26,14.819314956665039
2019-02-27,14.772269248962402
2019-02-28,14.819314956665039
2019-03-01,14.68758773803711
2019-03-04,14.537042617797852
2019-03-05,14.273588180541992
2019-03-06,13.972497940063477
2019-03-07,13.878408432006836
2019-03-08,13.878408432006836
2019-03-11,13.219768524169922
2019-03-12,13.125677108764648
2019-03-13,13.436178207397461
2019-03-14,13.539679527282715
2019-03-15,13.163314819335938
2019-03-18,13.831360816955566
2019-03-19,13.64317798614502
2019-03-20,13.62436294555664
2019-03-21,13.539679527282715
2019-03-22,13.34208869934082
2019-03-25,13.172723770141602
2019-03-26,12.909269332885742
2019-03-27,13.040998458862305
2019-03-28,13.031587600708008
2019-03-29,13.106861114501953
2019-04-01,13.859588623046875
2019-04-02,14.537042617797852
2019-04-03,14.028952598571777
2019-04-04,14.584090232849121
2019-04-05,15.054540634155273
2019-04-08,15.00749683380127
2019-04-09,14.93222427368164
2019-04-10,14.913405418395996
2019-04-11,14.753451347351074
2019-04-12,14.960451126098633
2019-04-15,15.336814880371094
2019-04-16,15.139223098754883
2019-04-17,14.819314956665039
2019-04-18,15.035722732543945
2019-04-22,15.393268585205078
2019-04-23,14.772269248962402
2019-04-24,14.442953109741211
2019-04-25,14.395906448364258
2019-04-26,14.866360664367676
2019-04-29,15.430907249450684
2019-04-30,16.475317001342773
2019-05-01,16.889312744140625
2019-05-02,16.795225143432617
2019-05-03,16.75758934020996
2019-05-06,16.776405334472656
2019-05-07,15.873133659362793
2019-05-08,15.91076946258545
2019-05-09,16.69172477722168
2019-05-10,16.701129913330078
2019-05-13,16.832862854003906
2019-05-14,16.823450088500977
2019-05-15,16.550586700439453
2019-05-16,16.908130645751953
2019-05-17,17.03045082092285
2019-05-20,17.02104377746582
2019-05-21,17.5761775970459
2019-05-22,17.557363510131836
2019-05-23,17.623228073120117
2019-05-24,17.877267837524414
2019-05-28,17.877267837524414
2019-05-29,17.78318214416504
2019-05-30,17.604408264160156
2019-05-31,17.51972198486328
2019-06-03,17.190406799316406
2019-06-04,17.096317291259766
2019-06-05,17.077495574951172
2019-06-06,17.26567840576172
2019-06-07,17.256269454956055
2019-06-10,17.472679138183594
2019-06-11,17.444456100463867
2019-06-12,18.20659065246582
2019-06-13,18.037220001220703
2019-06-14,18.34772491455078
2019-06-17,18.187767028808594
2019-06-18,18.818174362182617
2019-06-19,18.686450958251953
2019-06-20,18.535907745361328
2019-06-21,18.404184341430664
2019-06-24,17.50090789794922
2019-06-25,17.03045082092285
2019-06-26,17.190406799316406
2019-06-27,17.707902908325195
2019-06-28,18.54531478881836
2019-07-01,20.54945182800293
2019-07-02,18.855812072753906
2019-07-03,18.31008529663086
2019-07-05,18.244224548339844
2019-07-08,17.830224990844727
2019-07-09,16.879907608032227
2019-07-10,16.616455078125
2019-07-11,16.879907608032227
2019-07-12,17.086904525756836
2019-07-15,16.964588165283203
2019-07-16,16.550586700439453
2019-07-17,17.096317291259766
