Date,EL
2010-01-04,20.06130599975586
2010-01-05,19.982770919799805
2010-01-06,20.044761657714844
2010-01-07,20.296878814697266
2010-01-08,20.379539489746094
2010-01-11,20.57378387451172
2010-01-12,20.482860565185547
2010-01-13,20.652307510375977
2010-01-14,20.623384475708008
2010-01-15,20.56551742553711
2010-01-19,20.66057777404785
2010-01-20,20.267953872680664
2010-01-21,22.12363624572754
2010-01-22,21.9748477935791
2010-01-25,21.9748477935791
2010-01-26,22.13190269470215
2010-01-27,22.169103622436523
2010-01-28,21.92112159729004
2010-01-29,21.70621109008789
2010-02-01,22.2352237701416
2010-02-02,23.144472122192383
2010-02-03,23.38006019592285
2010-02-04,23.07834243774414
2010-02-05,22.896499633789062
2010-02-08,23.00808334350586
2010-02-09,23.247793197631836
2010-02-10,23.169267654418945
2010-02-11,23.504039764404297
2010-02-12,23.4172420501709
2010-02-16,24.11985206604004
2010-02-17,24.326492309570312
2010-02-18,24.595134735107422
2010-02-19,24.31409454345703
2010-02-22,24.421550750732422
2010-02-23,24.243831634521484
2010-02-24,24.801780700683594
2010-02-25,25.033220291137695
2010-02-26,24.851377487182617
2010-03-01,25.69036865234375
2010-03-02,25.504379272460938
2010-03-03,25.28533935546875
2010-03-04,25.24400520324707
2010-03-05,25.48371696472168
2010-03-08,25.76475715637207
2010-03-09,25.479581832885742
2010-03-10,25.566377639770508
2010-03-11,26.11605453491211
2010-03-12,26.248308181762695
2010-03-15,26.082998275756836
2010-03-16,26.21938133239746
2010-03-17,26.421890258789062
2010-03-18,26.368165969848633
2010-03-19,26.09126091003418
2010-03-22,26.843461990356445
2010-03-23,26.988109588623047
2010-03-24,26.322696685791016
2010-03-25,26.198707580566406
2010-03-26,26.417760848999023
2010-03-29,26.897188186645508
2010-03-30,27.070768356323242
2010-03-31,26.810396194458008
2010-04-01,27.10383415222168
2010-04-05,26.760786056518555
2010-04-06,26.153247833251953
2010-04-07,26.235904693603516
2010-04-08,26.467355728149414
2010-04-09,27.054229736328125
2010-04-12,27.24434471130371
2010-04-13,27.215417861938477
2010-04-14,27.57086181640625
2010-04-15,27.77750015258789
2010-04-16,28.05853271484375
2010-04-19,27.864294052124023
2010-04-20,28.33131217956543
2010-04-21,27.95107650756836
2010-04-22,28.50490951538086
2010-04-23,28.723947525024414
2010-04-26,28.92232894897461
2010-04-27,27.715503692626953
2010-04-28,27.525388717651367
2010-04-29,27.364212036132812
2010-04-30,27.24434471130371
2010-05-03,27.331138610839844
2010-05-04,26.888916015625
2010-05-05,25.954862594604492
2010-05-06,25.12415313720703
2010-05-07,24.19010353088379
2010-05-10,25.963138580322266
2010-05-11,26.095388412475586
2010-05-12,26.409496307373047
2010-05-13,26.120195388793945
2010-05-14,25.22747802734375
2010-05-17,25.5291748046875
2010-05-18,24.975357055664062
2010-05-19,24.83070945739746
2010-05-20,23.991722106933594
2010-05-21,24.343029022216797
2010-05-24,24.21490478515625
2010-05-25,23.793338775634766
2010-05-26,23.338716506958008
2010-05-27,24.2562313079834
2010-05-28,24.082651138305664
2010-06-01,23.937990188598633
2010-06-02,24.2562313079834
2010-06-03,24.595134735107422
2010-06-04,22.8716983795166
2010-06-07,22.685712814331055
2010-06-08,23.17340660095215
2010-06-09,23.55363655090332
2010-06-10,24.016525268554688
2010-06-11,23.913192749023438
2010-06-14,24.037185668945312
2010-06-15,24.900976181030273
2010-06-16,24.57033348083496
2010-06-17,24.686058044433594
2010-06-18,24.77284812927246
2010-06-21,24.376087188720703
2010-06-22,23.871877670288086
2010-06-23,23.698287963867188
2010-06-24,23.355255126953125
2010-06-25,23.239530563354492
2010-06-28,23.22299575805664
2010-06-29,22.892366409301758
2010-06-30,23.03287696838379
2010-07-01,23.52056312561035
2010-07-02,23.71895408630371
2010-07-06,24.243831634521484
2010-07-07,24.958833694458008
2010-07-08,25.417591094970703
2010-07-09,25.702762603759766
2010-07-12,25.686227798461914
2010-07-13,26.339235305786133
2010-07-14,26.913719177246094
2010-07-15,26.835193634033203
2010-07-16,26.231781005859375
2010-07-19,25.95900535583496
2010-07-20,25.797821044921875
2010-07-21,25.277069091796875
2010-07-22,25.735822677612305
2010-07-23,25.90114402770996
2010-07-26,26.0251407623291
2010-07-27,26.215242385864258
2010-07-28,25.624237060546875
2010-07-29,25.785417556762695
2010-07-30,25.727558135986328
2010-08-02,26.2235107421875
2010-08-03,25.94660186767578
2010-08-04,26.153247833251953
2010-08-05,26.165653228759766
2010-08-06,26.22764778137207
2010-08-09,26.421890258789062
2010-08-10,26.02099609375
2010-08-11,24.94229507446289
2010-08-12,24.301700592041016
2010-08-13,23.896669387817383
2010-08-16,23.7354793548584
2010-08-17,24.20250701904297
2010-08-18,24.268630981445312
2010-08-19,23.987592697143555
2010-08-20,23.71895408630371
2010-08-23,23.37590980529785
2010-08-24,23.338716506958008
2010-08-25,23.524702072143555
2010-08-26,23.413116455078125
2010-08-27,23.70655632019043
2010-08-30,23.024612426757812
2010-08-31,23.17340660095215
2010-09-01,24.00412368774414
2010-09-02,24.11985206604004
2010-09-03,24.433944702148438
2010-09-07,23.7974796295166
2010-09-08,24.11985206604004
2010-09-09,24.115705490112305
2010-09-10,24.235570907592773
2010-09-13,24.318225860595703
2010-09-14,24.37196159362793
2010-09-15,24.51247215270996
2010-09-16,24.462879180908203
2010-09-17,24.33061981201172
2010-09-20,24.94229507446289
2010-09-21,24.929908752441406
2010-09-22,24.946430206298828
2010-09-23,24.814180374145508
2010-09-24,25.38039207458496
2010-09-27,25.334928512573242
2010-09-28,25.954862594604492
