Date,ACT
2021-09-16,16.684518814086914
2021-09-17,16.285524368286133
2021-09-20,16.163381576538086
2021-09-21,16.293664932250977
2021-09-22,17.376651763916016
2021-09-23,17.73493194580078
2021-09-24,17.79193687438965
2021-09-27,17.74307632446289
2021-09-28,17.79193687438965
2021-09-29,17.897790908813477
2021-09-30,17.85707664489746
2021-10-01,17.726791381835938
2021-10-04,17.311511993408203
2021-10-05,16.969512939453125
2021-10-06,17.09980010986328
2021-10-07,17.02651596069336
2021-10-08,17.02651596069336
2021-10-11,16.651948928833008
2021-10-12,16.69266128540039
2021-10-13,16.896230697631836
2021-10-14,17.36036491394043
2021-10-15,17.5557918548584
2021-10-18,17.74307632446289
2021-10-19,18.329357147216797
2021-10-20,18.850492477416992
2021-10-21,18.7202091217041
2021-10-22,18.712064743041992
2021-10-25,18.492212295532227
2021-10-26,18.321210861206055
2021-10-27,18.7202091217041
2021-10-28,18.777210235595703
2021-10-29,18.712064743041992
2021-11-01,18.809785842895508
2021-11-02,18.43521499633789
2021-11-03,19.021493911743164
2021-11-04,19.151775360107422
2021-11-05,18.915630340576172
2021-11-08,18.866775512695312
2021-11-09,18.280502319335938
2021-11-10,18.166501998901367
2021-11-11,17.881507873535156
2021-11-12,17.914079666137695
2021-11-15,18.56549644470215
2021-11-16,18.923778533935547
2021-11-17,18.687639236450195
2021-11-18,18.85863494873047
2021-11-19,18.7446346282959
2021-11-22,18.842350006103516
2021-11-23,18.638782501220703
2021-11-24,18.621572494506836
2021-11-26,18.415048599243164
2021-11-29,18.01060676574707
2021-11-30,17.86431884765625
2021-12-01,17.976184844970703
2021-12-02,18.380626678466797
2021-12-03,18.21712875366211
2021-12-06,18.35481071472168
2021-12-07,18.415048599243164
2021-12-08,18.045028686523438
2021-12-09,17.86431884765625
2021-12-10,17.907344818115234
2021-12-13,17.812686920166016
2021-12-14,17.91594696044922
2021-12-15,18.28597068786621
2021-12-16,17.73523712158203
2021-12-17,16.607961654663086
2021-12-20,16.65098762512207
2021-12-21,16.866117477416992
2021-12-22,17.021013259887695
2021-12-23,17.218931198120117
2021-12-27,17.399639129638672
2021-12-28,17.38243293762207
2021-12-29,17.537322998046875
2021-12-30,17.68360710144043
2021-12-31,17.7868709564209
2022-01-03,18.268760681152344
2022-01-04,18.65599250793457
2022-01-05,18.681808471679688
2022-01-06,18.905542373657227
2022-01-07,19.137880325317383
2022-01-10,19.05183219909668
2022-01-11,18.862516403198242
2022-01-12,19.241146087646484
2022-01-13,19.17230224609375
2022-01-14,19.223928451538086
2022-01-18,18.72483253479004
2022-01-19,18.64738655090332
2022-01-20,18.234344482421875
2022-01-21,18.13968276977539
2022-01-24,18.05362892150879
2022-01-25,18.234344482421875
2022-01-26,18.09665870666504
2022-01-27,17.95037078857422
2022-01-28,18.191312789916992
2022-01-31,18.828096389770508
2022-02-01,19.05183219909668
2022-02-02,18.621572494506836
2022-02-03,18.28597068786621
2022-02-04,18.105260848999023
2022-02-07,18.42365264892578
2022-02-08,18.819488525390625
2022-02-09,19.2153263092041
2022-02-10,19.499300003051758
2022-02-11,19.060434341430664
2022-02-14,19.060434341430664
2022-02-15,19.198116302490234
2022-02-16,19.473482131958008
2022-02-17,19.026018142700195
2022-02-18,18.56993865966797
2022-02-22,18.156890869140625
2022-02-23,17.98478889465332
2022-02-24,17.812686920166016
2022-02-25,18.22573471069336
2022-02-28,17.89873504638672
2022-03-01,17.287769317626953
2022-03-02,17.855712890625
2022-03-03,17.769662857055664
2022-03-04,17.37382698059082
2022-03-07,16.780067443847656
2022-03-08,17.012407302856445
2022-03-09,17.520112991333008
2022-03-10,17.48569107055664
2022-03-11,17.976184844970703
2022-03-14,18.27736473083496
2022-03-15,18.28597068786621
2022-03-16,18.96578025817871
2022-03-17,18.828096389770508
2022-03-18,18.888334274291992
2022-03-21,19.241146087646484
2022-03-22,19.361614227294922
2022-03-23,19.043222427368164
2022-03-24,19.31859016418457
2022-03-25,19.680004119873047
2022-03-28,19.439064025878906
2022-03-29,19.88652992248535
2022-03-30,19.344406127929688
2022-03-31,19.146484375
2022-04-01,19.180910110473633
2022-04-04,18.905542373657227
2022-04-05,18.802282333374023
2022-04-06,18.337602615356445
2022-04-07,18.09665870666504
2022-04-08,18.191312789916992
2022-04-11,18.251550674438477
2022-04-12,18.389236450195312
2022-04-13,18.707626342773438
2022-04-14,19.017412185668945
2022-04-18,19.955371856689453
2022-04-19,20.48028564453125
2022-04-20,21.25474739074707
2022-04-21,20.39423370361328
2022-04-22,19.99839973449707
2022-04-25,20.08445167541504
2022-04-26,19.98118782043457
2022-04-27,20.12747573852539
2022-04-28,20.359817504882812
2022-04-29,20.29097557067871
2022-05-02,19.83489990234375
2022-05-03,19.740243911743164
2022-05-04,20.987991333007812
2022-05-05,20.592151641845703
2022-05-06,20.185331344604492
2022-05-09,19.605392456054688
2022-05-10,19.233192443847656
2022-05-11,19.475553512573242
2022-05-12,19.06873321533203
2022-05-13,20.2978572845459
2022-05-16,19.891033172607422
2022-05-17,20.77392578125
2022-05-18,20.168018341064453
2022-05-19,20.176673889160156
2022-05-20,20.33247947692871
2022-05-23,20.77392578125
2022-05-24,20.635435104370117
2022-05-25,20.877798080444336
2022-05-26,21.111501693725586
2022-05-27,21.14612579345703
2022-05-31,21.050912857055664
2022-06-01,20.825862884521484
2022-06-02,21.36252212524414
2022-06-03,21.6221923828125
2022-06-06,21.46639060974121
2022-06-07,21.172094345092773
2022-06-08,20.99897575378418
2022-06-09,20.514251708984375
2022-06-10,19.72657585144043
