Date,FLS
2010-01-04,24.91373062133789
2010-01-05,25.191085815429688
2010-01-06,25.887060165405273
2010-01-07,26.598445892333984
2010-01-08,27.705312728881836
2010-01-11,27.8414249420166
2010-01-12,27.04787826538086
2010-01-13,27.032455444335938
2010-01-14,27.225069046020508
2010-01-15,26.89377212524414
2010-01-19,26.9631290435791
2010-01-20,26.644668579101562
2010-01-21,25.840839385986328
2010-01-22,25.68674659729004
2010-01-25,25.139726638793945
2010-01-26,24.682588577270508
2010-01-27,24.638940811157227
2010-01-28,24.446319580078125
2010-01-29,23.157106399536133
2010-02-01,24.225460052490234
2010-02-02,24.71598243713379
2010-02-03,24.54134178161621
2010-02-04,23.67074203491211
2010-02-05,23.655336380004883
2010-02-08,23.501239776611328
2010-02-09,23.83509635925293
2010-02-10,23.706689834594727
2010-02-11,24.20748519897461
2010-02-12,24.23316192626953
2010-02-16,24.736530303955078
2010-02-17,24.99847984313965
2010-02-18,25.314353942871094
2010-02-19,25.40167999267578
2010-02-22,25.447906494140625
2010-02-23,24.844392776489258
2010-02-24,24.8315486907959
2010-02-25,24.957382202148438
2010-02-26,25.704723358154297
2010-03-01,26.588165283203125
2010-03-02,27.158306121826172
2010-03-03,27.148029327392578
2010-03-04,27.155731201171875
2010-03-05,27.59232521057129
2010-03-08,27.620574951171875
2010-03-09,27.05813980102539
2010-03-10,27.027341842651367
2010-03-11,27.053003311157227
2010-03-12,26.99650764465332
2010-03-15,26.947711944580078
2010-03-16,27.30211067199707
2010-03-17,27.350910186767578
2010-03-18,27.30211067199707
2010-03-19,26.85270118713379
2010-03-22,27.002063751220703
2010-03-23,28.31031608581543
2010-03-24,28.0399112701416
2010-03-25,28.28199005126953
2010-03-26,28.155803680419922
2010-03-29,28.459667205810547
2010-03-30,28.31031608581543
2010-03-31,28.397869110107422
2010-04-01,29.10093116760254
2010-04-05,29.543886184692383
2010-04-06,29.80914306640625
2010-04-07,29.587656021118164
2010-04-08,29.507823944091797
2010-04-09,29.634008407592773
2010-04-12,29.981691360473633
2010-04-13,29.783390045166016
2010-04-14,30.213464736938477
2010-04-15,30.499317169189453
2010-04-16,29.652040481567383
2010-04-19,29.567060470581055
2010-04-20,29.621137619018555
2010-04-21,29.74217987060547
2010-04-22,29.876096725463867
2010-04-23,29.971370697021484
2010-04-26,30.620349884033203
2010-04-27,29.803985595703125
2010-04-28,29.96881103515625
2010-04-29,30.622934341430664
2010-04-30,29.507823944091797
2010-05-03,30.136201858520508
2010-05-04,28.511192321777344
2010-05-05,27.60211181640625
2010-05-06,27.656187057495117
2010-05-07,26.654394149780273
2010-05-10,28.750688552856445
2010-05-11,28.833101272583008
2010-05-12,29.144704818725586
2010-05-13,28.835676193237305
2010-05-14,27.617551803588867
2010-05-17,26.432918548583984
2010-05-18,26.237197875976562
2010-05-19,25.456884384155273
2010-05-20,24.120283126831055
2010-05-21,24.57354736328125
2010-05-24,24.09453773498535
2010-05-25,23.715978622436523
2010-05-26,24.215572357177734
2010-05-27,25.322956085205078
2010-05-28,24.491130828857422
2010-06-01,23.025794982910156
2010-06-02,23.83185386657715
2010-06-03,23.94774627685547
2010-06-04,22.71417808532715
2010-06-07,21.503782272338867
2010-06-08,21.37759780883789
2010-06-09,22.237743377685547
2010-06-10,23.182880401611328
2010-06-11,23.27817153930664
2010-06-14,23.57175636291504
2010-06-15,24.6121768951416
2010-06-16,24.4267520904541
2010-06-17,24.17438507080078
2010-06-18,24.364953994750977
2010-06-21,24.501436233520508
2010-06-22,23.491924285888672
2010-06-23,23.82928466796875
2010-06-24,23.332258224487305
2010-06-25,23.409509658813477
2010-06-28,23.089147567749023
2010-06-29,22.011808395385742
2010-06-30,21.908466339111328
2010-07-01,22.391590118408203
2010-07-02,22.174571990966797
2010-07-06,22.407094955444336
2010-07-07,23.38368034362793
2010-07-08,23.629112243652344
2010-07-09,23.946887969970703
2010-07-12,23.24673843383789
2010-07-13,23.78153419494629
2010-07-14,23.817718505859375
2010-07-15,23.675617218017578
2010-07-16,22.93155860900879
2010-07-19,23.14857292175293
2010-07-20,23.660110473632812
2010-07-21,23.639450073242188
2010-07-22,24.2155704498291
2010-07-23,24.763290405273438
2010-07-26,25.422094345092773
2010-07-27,24.931222915649414
2010-07-28,24.73487091064453
2010-07-29,25.615861892700195
2010-07-30,25.618444442749023
2010-08-02,26.367671966552734
2010-08-03,26.225574493408203
2010-08-04,26.83012580871582
2010-08-05,26.796539306640625
2010-08-06,26.481348037719727
2010-08-09,26.442598342895508
2010-08-10,25.87162208557129
2010-08-11,25.052644729614258
2010-08-12,24.969970703125
2010-08-13,24.858877182006836
2010-08-16,24.85629653930664
2010-08-17,25.8819637298584
2010-08-18,25.59260368347168
2010-08-19,24.89246940612793
2010-08-20,24.61860466003418
2010-08-23,24.14065170288086
2010-08-24,23.24673843383789
2010-08-25,23.33975601196289
2010-08-26,23.104650497436523
2010-08-27,23.817718505859375
2010-08-30,23.293243408203125
2010-08-31,23.091732025146484
2010-09-01,24.326669692993164
2010-09-02,25.052644729614258
2010-09-03,25.445350646972656
2010-09-07,25.01131248474121
2010-09-08,25.300668716430664
2010-09-09,25.569355010986328
2010-09-10,26.41675567626953
2010-09-13,27.114316940307617
2010-09-14,26.83012580871582
2010-09-15,26.695781707763672
2010-09-16,26.69062614440918
2010-09-17,26.850791931152344
2010-09-20,27.54835319519043
2010-09-21,27.465669631958008
2010-09-22,27.486347198486328
2010-09-23,26.66478157043457
2010-09-24,27.680112838745117
2010-09-27,27.646528244018555
2010-09-28,27.757917404174805
