Date,OLN
2010-01-04,10.991169929504395
2010-01-05,10.67609691619873
2010-01-06,10.51856803894043
2010-01-07,10.657925605773926
2010-01-08,10.742745399475098
2010-01-11,10.833635330200195
2010-01-12,10.51856803894043
2010-01-13,10.651863098144531
2010-01-14,10.651863098144531
2010-01-15,10.712453842163086
2010-01-19,10.985112190246582
2010-01-20,10.845757484436035
2010-01-21,10.445857048034668
2010-01-22,10.05807113647461
2010-01-25,10.148962020874023
2010-01-26,10.264086723327637
2010-01-27,10.342855453491211
2010-01-28,10.106550216674805
2010-01-29,9.99748420715332
2010-02-01,10.221668243408203
2010-02-02,10.173201560974121
2010-02-03,10.112604141235352
2010-02-04,9.652117729187012
2010-02-05,9.658175468444824
2010-02-08,9.44954776763916
2010-02-09,9.584543228149414
2010-02-10,9.627496719360352
2010-02-11,9.793169021606445
2010-02-12,10.063154220581055
2010-02-16,10.25337028503418
2010-02-17,10.33928108215332
2010-02-18,10.462000846862793
2010-02-19,10.56631088256836
2010-02-22,10.590855598449707
2010-02-23,10.55403995513916
2010-02-24,10.817893028259277
2010-02-25,10.756531715393066
2010-02-26,10.74425983428955
2010-03-01,11.008112907409668
2010-03-02,11.05720043182373
2010-03-03,11.173781394958496
2010-03-04,11.241275787353516
2010-03-05,11.40695858001709
2010-03-08,11.431495666503906
2010-03-09,11.449908256530762
2010-03-10,11.541947364807129
2010-03-11,11.468315124511719
2010-03-12,11.517407417297363
2010-03-15,11.474455833435059
2010-03-16,11.597175598144531
2010-03-17,11.71375560760498
2010-03-18,11.658533096313477
2010-03-19,11.4928617477417
2010-03-22,11.627852439880371
2010-03-23,11.738302230834961
2010-03-24,11.793523788452148
2010-03-25,11.68307876586914
2010-03-26,11.830341339111328
2010-03-29,11.848748207092285
2010-03-30,12.106468200683594
2010-03-31,12.03896713256836
2010-04-01,12.088062286376953
2010-04-05,12.272143363952637
2010-04-06,12.517580032348633
2010-04-07,12.609622955322266
2010-04-08,12.646445274353027
2010-04-09,12.756890296936035
2010-04-12,12.634170532226562
2010-04-13,12.818252563476562
2010-04-14,12.836660385131836
2010-04-15,12.855069160461426
2010-04-16,12.855069160461426
2010-04-19,12.922565460205078
2010-04-20,13.260049819946289
2010-04-21,13.253912925720215
2010-04-22,13.339820861816406
2010-04-23,13.701844215393066
2010-04-26,13.585259437561035
2010-04-27,12.413260459899902
2010-04-28,13.278456687927246
2010-04-29,13.22936725616455
2010-04-30,12.885748863220215
2010-05-03,13.045284271240234
2010-05-04,12.701664924621582
2010-05-05,12.456222534179688
2010-05-06,11.979042053222656
2010-05-07,11.675386428833008
2010-05-10,12.245518684387207
2010-05-11,12.220730781555176
2010-05-12,12.635941505432129
2010-05-13,12.512001991271973
2010-05-14,12.115382194519043
2010-05-17,12.034817695617676
2010-05-18,11.904679298400879
2010-05-19,11.929462432861328
2010-05-20,11.210603713989258
2010-05-21,11.452289581298828
2010-05-24,11.222993850708008
2010-05-25,11.309758186340332
2010-05-26,11.346940040588379
2010-05-27,12.053413391113281
2010-05-28,11.879892349243164
2010-06-01,11.439895629882812
2010-06-02,11.675386428833008
2010-06-03,11.700176239013672
2010-06-04,11.142433166503906
2010-06-07,11.0184907913208
2010-06-08,10.97510814666748
2010-06-09,11.235390663146973
2010-06-10,11.979042053222656
2010-06-11,12.295093536376953
2010-06-14,12.425236701965332
2010-06-15,12.803262710571289
2010-06-16,12.939596176147461
2010-06-17,12.86523151397705
2010-06-18,12.834245681762695
2010-06-21,12.78466796875
2010-06-22,12.518194198608398
2010-06-23,12.400449752807617
2010-06-24,11.997637748718262
2010-06-25,12.059608459472656
2010-06-28,11.972844123840332
2010-06-29,11.489474296569824
2010-06-30,11.210603713989258
2010-07-01,11.123844146728516
2010-07-02,10.968912124633789
2010-07-06,10.820182800292969
2010-07-07,11.284967422485352
2010-07-08,11.66919231414795
2010-07-09,11.712567329406738
2010-07-12,11.520462036132812
2010-07-13,12.059608459472656
2010-07-14,12.016225814819336
2010-07-15,12.041016578674316
2010-07-16,11.402714729309082
2010-07-19,11.303558349609375
2010-07-20,11.75594425201416
2010-07-21,11.563836097717285
2010-07-22,12.33847427368164
2010-07-23,12.406645774841309
2010-07-26,12.803262710571289
2010-07-27,12.592559814453125
2010-07-28,12.412843704223633
2010-07-29,12.654533386230469
2010-07-30,12.580161094665527
2010-08-02,12.927203178405762
2010-08-03,12.635941505432129
2010-08-04,12.790863990783691
2010-08-05,12.722701072692871
2010-08-06,12.610055923461914
2010-08-09,12.947994232177734
2010-08-10,12.578765869140625
2010-08-11,11.927922248840332
2010-08-12,11.8340482711792
2010-08-13,11.771470069885254
2010-08-16,11.790246963500977
2010-08-17,11.896632194519043
2010-08-18,11.984249114990234
2010-08-19,11.483596801757812
2010-08-20,11.43979263305664
2010-08-23,11.289595603942871
2010-08-24,11.033015251159668
2010-08-25,11.114368438720703
2010-08-26,11.033015251159668
2010-08-27,11.552438735961914
2010-08-30,11.026754379272461
2010-08-31,11.208242416381836
2010-09-01,11.80276107788086
2010-09-02,11.677597999572754
2010-09-03,12.003019332885742
2010-09-07,11.677597999572754
2010-09-08,11.8340482711792
2010-09-09,11.727662086486816
2010-09-10,12.084371566772461
2010-09-13,12.35972785949707
2010-09-14,12.159472465515137
2010-09-15,12.197021484375
2010-09-16,12.190763473510742
2010-09-17,12.322183609008789
2010-09-20,12.747732162475586
2010-09-21,12.766502380371094
2010-09-22,12.566250801086426
2010-09-23,12.228313446044922
2010-09-24,12.32844066619873
2010-09-27,12.484893798828125
2010-09-28,12.710180282592773
