Date,FBNC
2010-01-04,10.484723091125488
2010-01-05,9.963384628295898
2010-01-06,9.738912582397461
2010-01-07,10.187849044799805
2010-01-08,9.804085731506348
2010-01-11,9.456525802612305
2010-01-12,9.427565574645996
2010-01-13,9.652029037475586
2010-01-14,10.644024848937988
2010-01-15,10.535411834716797
2010-01-19,10.83952522277832
2010-01-20,10.890209197998047
2010-01-21,10.998823165893555
2010-01-22,11.02054500579834
2010-01-25,11.317420959472656
2010-01-26,11.375349044799805
2010-01-27,11.5274019241333
2010-01-28,11.433272361755371
2010-01-29,11.208806991577148
2010-02-01,11.187081336975098
2010-02-02,10.83228588104248
2010-02-03,10.846765518188477
2010-02-04,10.20957088470459
2010-02-05,10.622297286987305
2010-02-08,10.216812133789062
2010-02-09,10.0430326461792
2010-02-10,10.202329635620117
2010-02-11,10.144403457641602
2010-02-12,10.129922866821289
2010-02-16,10.303702354431152
2010-02-17,10.180606842041016
2010-02-18,10.426797866821289
2010-02-19,10.434035301208496
2010-02-22,10.549886703491211
2010-02-23,10.318187713623047
2010-02-24,10.644024848937988
2010-02-25,10.463001251220703
2010-02-26,10.224056243896484
2010-03-01,10.296462059020996
2010-03-02,10.63677978515625
2010-03-03,10.057515144348145
2010-03-04,10.354391098022461
2010-03-05,10.796079635620117
2010-03-08,10.528164863586426
2010-03-09,10.405074119567871
2010-03-10,10.506446838378906
2010-03-11,10.774354934692383
2010-03-12,10.817805290222168
2010-03-15,11.179841041564941
2010-03-16,11.063987731933594
2010-03-17,10.80332088470459
2010-03-18,10.75263500213623
2010-03-19,10.54265308380127
2010-03-22,10.535411834716797
2010-03-23,10.38335132598877
2010-03-24,10.137162208557129
2010-03-25,10.25301742553711
2010-03-26,10.079240798950195
2010-03-29,9.977278709411621
2010-03-30,9.977278709411621
2010-03-31,9.846192359924316
2010-04-01,9.875321388244629
2010-04-05,10.122934341430664
2010-04-06,10.472505569458008
2010-04-07,10.683701515197754
2010-04-08,10.88033390045166
2010-04-09,10.76380729675293
2010-04-12,10.85119915008545
2010-04-13,10.76380729675293
2010-04-14,10.98957633972168
2010-04-15,11.16435718536377
2010-04-16,10.996854782104492
2010-04-19,11.208050727844238
2010-04-20,11.353708267211914
2010-04-21,11.135228157043457
2010-04-22,11.499363899230957
2010-04-23,11.681428909301758
2010-04-26,11.470232963562012
2010-04-27,11.310015678405762
2010-04-28,11.586753845214844
2010-04-29,11.90719223022461
2010-04-30,11.878061294555664
2010-05-03,11.972734451293945
2010-05-04,11.754256248474121
2010-05-05,11.499363899230957
2010-05-06,10.924027442932129
2010-05-07,10.909463882446289
2010-05-10,11.535776138305664
2010-05-11,11.761539459228516
2010-05-12,12.103826522827148
2010-05-13,12.103826522827148
2010-05-14,11.645011901855469
2010-05-17,11.674144744873047
2010-05-18,11.615880966186523
2010-05-19,11.630451202392578
2010-05-20,11.266312599182129
2010-05-21,11.52849292755127
2010-05-24,11.368271827697754
2010-05-25,11.411970138549805
2010-05-26,11.186206817626953
2010-05-27,11.695992469787598
2010-05-28,11.754256248474121
2010-06-01,11.295446395874023
2010-06-02,11.754256248474121
2010-06-03,11.885343551635742
2010-06-04,11.215335845947266
2010-06-07,11.011420249938965
2010-06-08,11.084246635437012
2010-06-09,11.084246635437012
2010-06-10,11.215335845947266
2010-06-11,11.339140892028809
2010-06-14,11.433815002441406
2010-06-15,11.703276634216309
2010-06-16,11.586753845214844
2010-06-17,11.513927459716797
2010-06-18,11.586753845214844
2010-06-21,11.302726745605469
2010-06-22,11.025988578796387
2010-06-23,10.89490032196045
2010-06-24,10.873051643371582
2010-06-25,11.076963424682617
2010-06-28,11.055000305175781
2010-06-29,10.63769245147705
2010-06-30,10.60840892791748
2010-07-01,10.513233184814453
2010-07-02,10.36680793762207
2010-07-06,10.088603973388672
2010-07-07,10.447343826293945
2010-07-08,10.549840927124023
2010-07-09,10.601090431213379
2010-07-12,10.520554542541504
2010-07-13,11.128212928771973
2010-07-14,10.908575057983398
2010-07-15,10.784116744995117
2010-07-16,10.564482688903809
2010-07-19,10.32288646697998
2010-07-20,10.652337074279785
2010-07-21,10.410737037658691
2010-07-22,10.93786334991455
2010-07-23,11.19410514831543
2010-07-26,11.706585884094238
2010-07-27,11.494272232055664
2010-07-28,11.21606731414795
2010-07-29,11.757835388183594
2010-07-30,12.219074249267578
2010-08-02,11.940866470336914
2010-08-03,11.691946029663086
2010-08-04,11.618735313415527
2010-08-05,11.34784984588623
2010-08-06,11.011073112487793
2010-08-09,11.245353698730469
2010-08-10,10.842686653137207
2010-08-11,10.088603973388672
2010-08-12,9.94950008392334
2010-08-13,9.568799018859863
2010-08-16,9.729866981506348
2010-08-17,10.008069038391113
2010-08-18,9.912897109985352
2010-08-19,9.371126174926758
2010-08-20,9.356484413146973
2010-08-23,8.953818321228027
2010-08-24,8.91721248626709
2010-08-25,9.261311531066895
2010-08-26,9.019710540771484
2010-08-27,9.473624229431152
2010-08-30,8.990425109863281
2010-08-31,8.887930870056152
2010-09-01,9.24666690826416
2010-09-02,9.048998832702637
2010-09-03,9.422374725341797
2010-09-07,8.92453384399414
2010-09-08,8.873282432556152
2010-09-09,8.939177513122559
2010-09-10,8.814715385437012
2010-09-13,9.45166301727295
2010-09-14,9.217382431030273
2010-09-15,9.202739715576172
2010-09-16,8.887930870056152
2010-09-17,8.873282432556152
2010-09-20,9.136846542358398
2010-09-21,8.946497917175293
2010-09-22,8.953818321228027
2010-09-23,8.829357147216797
2010-09-24,9.707903861999512
2010-09-27,9.59808349609375
2010-09-28,9.848531723022461
