Date,DD
2010-01-04,27.629364013671875
2010-01-05,28.86029052734375
2010-01-06,29.371580123901367
2010-01-07,29.39052391052246
2010-01-08,29.494670867919922
2010-01-11,29.125398635864258
2010-01-12,29.22008514404297
2010-01-13,29.11593246459961
2010-01-14,28.907629013061523
2010-01-15,28.396320343017578
2010-01-19,29.049650192260742
2010-01-20,28.74664878845215
2010-01-21,27.14645767211914
2010-01-22,26.284826278686523
2010-01-25,26.900272369384766
2010-01-26,26.597286224365234
2010-01-27,26.73931884765625
2010-01-28,25.915538787841797
2010-01-29,25.650423049926758
2010-02-01,27.108577728271484
2010-02-02,26.104907989501953
2010-02-03,26.114377975463867
2010-02-04,25.19593048095703
2010-02-05,25.110715866088867
2010-02-08,24.78877830505371
2010-02-09,26.313228607177734
2010-02-10,26.04810905456543
2010-02-11,26.37950897216797
2010-02-12,26.313228607177734
2010-02-16,26.966564178466797
2010-02-17,27.212753295898438
2010-02-18,27.970224380493164
2010-02-19,27.676700592041016
2010-02-22,27.79979705810547
2010-02-23,27.345306396484375
2010-02-24,27.458925247192383
2010-02-25,26.815065383911133
2010-02-26,26.80559730529785
2010-03-01,27.165401458740234
2010-03-02,27.345306396484375
2010-03-03,28.036516189575195
2010-03-04,27.98916244506836
2010-03-05,28.405790328979492
2010-03-08,27.932355880737305
2010-03-09,27.667234420776367
2010-03-10,27.515737533569336
2010-03-11,27.83768081665039
2010-03-12,28.25428581237793
2010-03-15,28.405790328979492
2010-03-16,28.82240867614746
2010-03-17,28.81293296813965
2010-03-18,28.405790328979492
2010-03-19,27.411592483520508
2010-03-22,28.017576217651367
2010-03-23,28.377384185791016
2010-03-24,28.74664878845215
2010-03-25,28.292163848876953
2010-03-26,28.46259307861328
2010-03-29,28.091468811035156
2010-03-30,28.31985092163086
2010-03-31,28.139053344726562
2010-04-01,28.843233108520508
2010-04-05,29.490325927734375
2010-04-06,29.652114868164062
2010-04-07,29.300012588500977
2010-04-08,29.242904663085938
2010-04-09,29.29049301147461
2010-04-12,29.25242805480957
2010-04-13,29.119218826293945
