Date,MTN
2010-01-04,25.882545471191406
2010-01-05,25.93222427368164
2010-01-06,25.144474029541016
2010-01-07,25.541893005371094
2010-01-08,26.53546142578125
2010-01-11,26.45029640197754
2010-01-12,26.27288246154785
2010-01-13,26.861936569213867
2010-01-14,26.64900779724121
2010-01-15,26.109647750854492
2010-01-19,26.024484634399414
2010-01-20,25.258014678955078
2010-01-21,25.0167236328125
2010-01-22,24.84639549255371
2010-01-25,23.980566024780273
2010-01-26,25.24382781982422
2010-01-27,25.30769920349121
2010-01-28,24.83930015563965
2010-01-29,23.916688919067383
2010-02-01,23.796045303344727
2010-02-02,24.64059066772461
2010-02-03,25.030921936035156
2010-02-04,23.86701774597168
2010-02-05,23.639921188354492
2010-02-08,23.363134384155273
2010-02-09,23.987668991088867
2010-02-10,24.030254364013672
2010-02-11,24.498640060424805
2010-02-12,24.76123046875
2010-02-16,24.87479019165039
2010-02-17,25.478031158447266
2010-02-18,25.75480842590332
2010-02-19,25.75480842590332
2010-02-22,26.145132064819336
2010-02-23,25.272214889526367
2010-02-24,25.683826446533203
2010-02-25,25.690933227539062
2010-02-26,25.55609130859375
2010-03-01,26.499980926513672
2010-03-02,25.9960994720459
2010-03-03,25.75480842590332
2010-03-04,25.442527770996094
2010-03-05,26.258684158325195
2010-03-08,26.074169158935547
2010-03-09,26.464506149291992
2010-03-10,28.316802978515625
2010-03-11,27.68516731262207
2010-03-12,28.075502395629883
2010-03-15,28.28132438659668
2010-03-16,28.39487075805664
2010-03-17,28.536800384521484
2010-03-18,28.373584747314453
2010-03-19,28.32389259338379
2010-03-22,28.920032501220703
2010-03-23,29.203920364379883
2010-03-24,29.35295295715332
2010-03-25,29.225204467773438
2010-03-26,28.89874839782715
2010-03-29,28.920032501220703
2010-03-30,29.111652374267578
2010-03-31,28.45163917541504
2010-04-01,29.182626724243164
2010-04-05,29.927804946899414
2010-04-06,29.984573364257812
2010-04-07,29.934906005859375
2010-04-08,29.934906005859375
2010-04-09,30.59491729736328
2010-04-12,30.417490005493164
2010-04-13,31.254934310913086
2010-04-14,31.744613647460938
2010-04-15,31.971717834472656
2010-04-16,31.26202392578125
2010-04-19,31.1342716217041
2010-04-20,30.971057891845703
2010-04-21,31.070404052734375
2010-04-22,32.291099548339844
2010-04-23,34.06532287597656
2010-04-26,33.724674224853516
2010-04-27,32.65302276611328
2010-04-28,32.44013214111328
2010-04-29,32.92271041870117
2010-04-30,32.39044952392578
2010-05-03,33.391117095947266
2010-05-04,32.454307556152344
2010-05-05,31.9007568359375
2010-05-06,30.630416870117188
2010-05-07,29.388425827026367
2010-05-10,30.53105354309082
2010-05-11,31.3897762298584
2010-05-12,32.51820373535156
2010-05-13,32.31947326660156
2010-05-14,31.52462387084961
2010-05-17,31.233644485473633
2010-05-18,30.602020263671875
2010-05-19,30.403303146362305
2010-05-20,28.132282257080078
2010-05-21,28.45163917541504
2010-05-24,28.45163917541504
2010-05-25,28.416160583496094
2010-05-26,28.9697265625
2010-05-27,30.098134994506836
2010-05-28,29.530380249023438
2010-06-01,28.74261474609375
2010-06-02,29.09746742248535
2010-06-03,29.431034088134766
2010-06-04,28.12518310546875
2010-06-07,27.30193328857422
2010-06-08,27.110326766967773
2010-06-09,25.55609130859375
2010-06-10,26.904510498046875
2010-06-11,27.741952896118164
