Date,SEG
2024-07-30,34.0
2024-07-31,31.5
2024-08-01,27.059999465942383
2024-08-02,25.31999969482422
2024-08-05,25.0
2024-08-06,25.100000381469727
2024-08-07,26.469999313354492
2024-08-08,27.010000228881836
2024-08-09,27.200000762939453
2024-08-12,25.610000610351562
2024-08-13,25.25
2024-08-14,25.149999618530273
2024-08-15,24.489999771118164
2024-08-16,24.200000762939453
2024-08-19,26.0
2024-08-20,26.209999084472656
2024-08-21,28.709999084472656
2024-08-22,30.6200008392334
2024-08-23,30.899999618530273
2024-08-26,31.170000076293945
2024-08-27,33.380001068115234
2024-08-28,32.86000061035156
2024-08-29,30.149999618530273
2024-08-30,30.780000686645508
2024-09-03,29.729999542236328
2024-09-04,27.799999237060547
2024-09-05,27.700000762939453
2024-09-06,27.799999237060547
2024-09-09,27.760000228881836
2024-09-10,28.760000228881836
2024-09-11,28.420000076293945
2024-09-12,28.270000457763672
2024-09-13,28.809999465942383
2024-09-16,31.1299991607666
2024-09-17,30.739999771118164
2024-09-18,31.459999084472656
2024-09-19,33.27000045776367
2024-09-20,29.510000228881836
2024-09-23,28.139999389648438
2024-09-24,26.739999771118164
2024-09-25,26.709999084472656
2024-09-26,27.520000457763672
2024-09-27,28.09000015258789
2024-09-30,27.420000076293945
2024-10-01,26.989999771118164
2024-10-02,27.1200008392334
2024-10-03,26.81999969482422
2024-10-04,26.309999465942383
2024-10-07,26.850000381469727
2024-10-08,26.639999389648438
2024-10-09,26.360000610351562
2024-10-10,26.290000915527344
2024-10-11,28.0
2024-10-14,30.56999969482422
2024-10-15,28.959999084472656
2024-10-16,28.139999389648438
2024-10-17,28.010000228881836
2024-10-18,32.150001525878906
2024-10-21,31.8700008392334
2024-10-22,30.559999465942383
2024-10-23,29.190000534057617
2024-10-24,28.770000457763672
2024-10-25,27.549999237060547
2024-10-28,28.93000030517578
2024-10-29,27.579999923706055
2024-10-30,27.329999923706055
2024-10-31,27.149999618530273
2024-11-01,27.81999969482422
2024-11-04,26.5
2024-11-05,28.040000915527344
2024-11-06,27.959999084472656
2024-11-07,28.920000076293945
2024-11-08,28.469999313354492
2024-11-11,30.709999084472656
2024-11-12,29.280000686645508
2024-11-13,27.760000228881836
2024-11-14,27.8799991607666
2024-11-15,30.110000610351562
2024-11-18,28.81999969482422
2024-11-19,28.950000762939453
2024-11-20,30.110000610351562
2024-11-21,31.190000534057617
2024-11-22,30.959999084472656
2024-11-25,33.04999923706055
2024-11-26,32.61000061035156
2024-11-27,33.86000061035156
2024-11-29,33.849998474121094
2024-12-02,31.149999618530273
2024-12-03,30.280000686645508
2024-12-04,30.8799991607666
2024-12-05,29.729999542236328
2024-12-06,29.709999084472656
2024-12-09,29.399999618530273
2024-12-10,28.56999969482422
2024-12-11,28.68000030517578
2024-12-12,28.549999237060547
2024-12-13,28.149999618530273
2024-12-16,28.09000015258789
2024-12-17,27.5
