Date,DK
2010-01-04,4.529529094696045
2010-01-05,4.709224224090576
2010-01-06,4.752598762512207
2010-01-07,4.783578395843506
2010-01-08,4.746401309967041
2010-01-11,4.845542907714844
2010-01-12,4.715420246124268
2010-01-13,4.6782402992248535
2010-01-14,4.672044277191162
2010-01-15,4.665849208831787
2010-01-19,4.684438705444336
2010-01-20,4.560511112213135
2010-01-21,4.442780017852783
2010-01-22,4.374619960784912
2010-01-25,4.411797523498535
2010-01-26,4.362228870391846
2010-01-27,4.523333549499512
2010-01-28,4.399405002593994
2010-01-29,4.325049877166748
2010-02-01,4.411797523498535
2010-02-02,4.461368083953857
2010-02-03,4.424191951751709
2010-02-04,4.275478363037109
2010-02-05,4.238300800323486
2010-02-08,4.207319736480713
2010-02-09,4.244498252868652
2010-02-10,4.23210334777832
2010-02-11,4.23210334777832
2010-02-12,4.213515281677246
2010-02-16,4.616276741027832
2010-02-17,4.622473239898682
2010-02-18,4.616276741027832
2010-02-19,4.647260665893555
2010-02-22,4.696829319000244
2010-02-23,4.6644463539123535
2010-02-24,4.6519904136657715
2010-02-25,4.670674800872803
2010-02-26,4.527439117431641
2010-03-01,4.508758544921875
2010-03-02,4.751632213592529
2010-03-03,4.84504508972168
2010-03-04,4.932232856750488
2010-03-05,5.013190269470215
2010-03-08,4.91977596282959
2010-03-09,4.907320976257324
2010-03-10,5.212471961975098
2010-03-11,4.988279342651367
2010-03-12,4.9695963859558105
2010-03-15,4.726722717285156
2010-03-16,4.732950687408447
2010-03-17,4.732950687408447
2010-03-18,4.608397960662842
2010-03-19,4.452710151672363
2010-03-22,4.465164661407471
2010-03-23,4.427798271179199
2010-03-24,4.54612398147583
2010-03-25,4.409117698669434
2010-03-26,4.427798271179199
2010-03-29,4.477621555328369
2010-03-30,4.490074634552002
2010-03-31,4.533670425415039
2010-04-01,4.608397960662842
2010-04-05,4.86995792388916
2010-04-06,4.876183986663818
2010-04-07,4.782770156860352
2010-04-08,4.6644463539123535
2010-04-09,4.782770156860352
2010-04-12,4.689356803894043
2010-04-13,4.521212577819824
2010-04-14,4.465164661407471
2010-04-15,4.40288782119751
2010-04-16,4.328157424926758
2010-04-19,4.321931838989258
2010-04-20,4.533670425415039
2010-04-21,4.421572208404541
2010-04-22,4.427798271179199
2010-04-23,4.54612398147583
2010-04-26,4.508758544921875
2010-04-27,4.2721099853515625
2010-04-28,4.321931838989258
2010-04-29,4.440255165100098
2010-04-30,4.365524768829346
2010-05-03,4.54612398147583
2010-05-04,4.483846664428711
2010-05-05,4.209835529327393
2010-05-06,4.166241645812988
2010-05-07,4.079054355621338
2010-05-10,4.079054355621338
2010-05-11,4.141331195831299
2010-05-12,4.340613842010498
2010-05-13,4.346840858459473
2010-05-14,4.309474468231201
2010-05-17,4.328157424926758
2010-05-18,4.346840858459473
2010-05-19,4.284565448760986
2010-05-20,3.8984572887420654
2010-05-21,4.072640419006348
2010-05-24,4.047578811645508
2010-05-25,3.9723904132843018
2010-05-26,4.041311740875244
2010-05-27,4.141561508178711
2010-05-28,4.154092788696289
2010-06-01,3.8784050941467285
2010-06-02,4.110233783721924
2010-06-03,4.17288875579834
2010-06-04,4.097703456878662
2010-06-07,4.141561508178711
2010-06-08,4.141561508178711
2010-06-09,4.1164984703063965
2010-06-10,4.373389720916748
2010-06-11,4.448576927185059
2010-06-14,4.55509090423584
2010-06-15,4.8245134353637695
2010-06-16,5.118995189666748
2010-06-17,4.905964374542236
2010-06-18,4.805716514587402
2010-06-21,4.674137592315674
2010-06-22,4.592684745788574
2010-06-23,4.611481189727783
2010-06-24,4.6804022789001465
2010-06-25,4.636545658111572
2010-06-28,4.686668395996094
2010-06-29,4.548825740814209
2010-06-30,4.573887825012207
2010-07-01,4.592684745788574
2010-07-02,4.492435932159424
2010-07-06,4.611481189727783
2010-07-07,4.674137592315674
2010-07-08,4.71173095703125
2010-07-09,4.86837100982666
2010-07-12,4.749324321746826
2010-07-13,4.692934513092041
2010-07-14,4.517498016357422
2010-07-15,4.486170291900635
2010-07-16,4.273140907287598
2010-07-19,4.229279041290283
2010-07-20,4.379654407501221
2010-07-21,4.266873836517334
2010-07-22,4.467372417449951
2010-07-23,4.548825740814209
2010-07-26,4.548825740814209
2010-07-27,4.636545658111572
2010-07-28,4.511230945587158
2010-07-29,4.605215549468994
2010-07-30,4.69920015335083
2010-08-02,4.630277633666992
2010-08-03,4.611481189727783
2010-08-04,4.674137592315674
2010-08-05,4.730527400970459
2010-08-06,4.69920015335083
2010-08-09,4.736794948577881
2010-08-10,4.64280891418457
2010-08-11,4.379654407501221
2010-08-12,4.385921001434326
2010-08-13,4.2982025146484375
2010-08-16,4.291936874389648
2010-08-17,4.367122650146484
2010-08-18,4.260607719421387
2010-08-19,4.10396671295166
2010-08-20,4.146822452545166
2010-08-23,4.008176326751709
2010-08-24,3.995570659637451
2010-08-25,4.134218215942383
2010-08-26,4.1153106689453125
2010-08-27,4.203542232513428
2010-08-30,4.127915382385254
2010-08-31,4.228750705718994
2010-09-01,4.354793548583984
2010-09-02,4.417815208435059
2010-09-03,4.47453498840332
2010-09-07,4.354793548583984
2010-09-08,4.272866249084473
2010-09-09,4.121615409851074
2010-09-10,4.159426689147949
2010-09-13,4.235053539276123
2010-09-14,4.335888862609863
2010-09-15,4.310678482055664
2010-09-16,4.266565322875977
2010-09-17,4.373701095581055
2010-09-20,4.386303901672363
2010-09-21,4.272866249084473
2010-09-22,4.222448825836182
2010-09-23,4.228750705718994
2010-09-24,4.398909568786621
2010-09-27,4.398909568786621
