Date,EQR
2010-01-04,16.911779403686523
2010-01-05,16.84595489501953
2010-01-06,16.942153930664062
2010-01-07,17.104188919067383
2010-01-08,16.886455535888672
2010-01-11,16.83582305908203
2010-01-12,16.59278106689453
2010-01-13,17.119375228881836
2010-01-14,17.088993072509766
2010-01-15,16.896587371826172
2010-01-19,17.42824363708496
2010-01-20,17.09912109375
2010-01-21,16.673795700073242
2010-01-22,16.167457580566406
2010-01-25,16.162389755249023
2010-01-26,16.13201141357422
2010-01-27,16.42568588256836
2010-01-28,16.344675064086914
2010-01-29,16.22821807861328
2010-02-01,16.59278106689453
2010-02-02,16.886455535888672
2010-02-03,16.39024543762207
2010-02-04,16.567462921142578
2010-02-05,16.694047927856445
2010-02-08,16.42568588256836
2010-02-09,16.405433654785156
2010-02-10,16.334548950195312
2010-02-11,16.58772087097168
2010-02-12,16.810503005981445
2010-02-16,17.413061141967773
2010-02-17,17.519380569458008
2010-02-18,17.757369995117188
2010-02-19,17.954835891723633
2010-02-22,18.187755584716797
2010-02-23,18.076358795166016
2010-02-24,18.283958435058594
2010-02-25,18.349781036376953
2010-02-26,18.26877212524414
2010-03-01,18.278898239135742
2010-03-02,18.289024353027344
2010-03-03,18.147247314453125
2010-03-04,18.26877212524414
2010-03-05,18.87131690979004
2010-03-08,19.048534393310547
2010-03-09,19.392839431762695
2010-03-10,19.44854736328125
2010-03-11,19.4832820892334
2010-03-12,19.447519302368164
2010-03-15,19.46795082092285
2010-03-16,20.11159896850586
2010-03-17,20.387451171875
2010-03-18,20.249526977539062
2010-03-19,20.080951690673828
2010-03-22,20.25464630126953
2010-03-23,20.19844627380371
2010-03-24,20.11159896850586
2010-03-25,20.178016662597656
2010-03-26,20.101383209228516
2010-03-29,20.106508255004883
2010-03-30,20.17291259765625
2010-03-31,19.999223709106445
2010-04-01,19.9890079498291
2010-04-05,20.55092430114746
2010-04-06,21.2303409576416
2010-04-07,20.755266189575195
2010-04-08,20.719499588012695
2010-04-09,21.429561614990234
2010-04-12,21.439781188964844
2010-04-13,21.98126220703125
2010-04-14,22.011917114257812
2010-04-15,21.475542068481445
2010-04-16,21.000457763671875
2010-04-19,21.020893096923828
2010-04-20,21.46021842956543
2010-04-21,21.93528938293457
2010-04-22,22.349069595336914
2010-04-23,22.783273696899414
2010-04-26,23.12042808532715
2010-04-27,22.32352638244629
2010-04-28,22.435914993286133
2010-04-29,24.09101676940918
2010-04-30,23.12554359436035
2010-05-03,24.27491569519043
2010-05-04,24.014392852783203
2010-05-05,23.636369705200195
2010-05-06,22.645357131958008
2010-05-07,22.18559455871582
2010-05-10,24.009281158447266
2010-05-11,24.177858352661133
2010-05-12,24.571197509765625
2010-05-13,24.014392852783203
2010-05-14,23.304336547851562
2010-05-17,23.452472686767578
2010-05-18,22.778173446655273
2010-05-19,22.73219871520996
2010-05-20,21.598140716552734
2010-05-21,22.456348419189453
2010-05-24,21.7667179107666
2010-05-25,22.170270919799805
2010-05-26,22.15494728088379
2010-05-27,23.370744705200195
2010-05-28,23.05402183532715
2010-06-01,22.645357131958008
2010-06-02,22.737308502197266
2010-06-03,22.63513946533203
2010-06-04,21.0617618560791
2010-06-07,20.872753143310547
2010-06-08,21.363155364990234
2010-06-09,21.358043670654297
2010-06-10,22.578947067260742
2010-06-11,22.75773811340332
2010-06-14,23.09999656677246
2010-06-15,23.718107223510742
2010-06-16,23.593582153320312
2010-06-17,23.8405818939209
2010-06-18,23.547266006469727
2010-06-21,23.444351196289062
2010-06-22,22.56441879272461
2010-06-23,22.816560745239258
2010-06-24,22.10128402709961
2010-06-25,22.92975616455078
2010-06-28,22.584997177124023
2010-06-29,21.684484481811523
2010-06-30,21.427188873291016
2010-07-01,21.43233299255371
2010-07-02,20.928035736083984
2010-07-06,20.696489334106445
2010-07-07,21.88516616821289
2010-07-08,22.28654670715332
2010-07-09,22.667333602905273
2010-07-12,22.801122665405273
2010-07-13,23.274534225463867
2010-07-14,22.996654510498047
2010-07-15,23.053266525268555
2010-07-16,21.967498779296875
2010-07-19,22.456357955932617
2010-07-20,22.703338623046875
2010-07-21,22.049827575683594
2010-07-22,23.11501121520996
2010-07-23,23.23337745666504
2010-07-26,24.041263580322266
2010-07-27,23.897180557250977
2010-07-28,23.958934783935547
2010-07-29,23.264238357543945
2010-07-30,23.593582153320312
2010-08-02,24.35515594482422
2010-08-03,24.154470443725586
2010-08-04,24.092723846435547
2010-08-05,23.62445831298828
2010-08-06,23.593582153320312
2010-08-09,24.180208206176758
2010-08-10,24.226512908935547
2010-08-11,23.377456665039062
2010-08-12,22.986370086669922
2010-08-13,23.094432830810547
2010-08-16,23.094432830810547
2010-08-17,23.619304656982422
2010-08-18,23.645042419433594
2010-08-19,22.981220245361328
2010-08-20,23.078994750976562
2010-08-23,23.11501121520996
2010-08-24,22.955503463745117
2010-08-25,23.351730346679688
2010-08-26,23.145893096923828
2010-08-27,23.614160537719727
2010-08-30,23.25910186767578
2010-08-31,23.58329200744629
2010-09-01,24.617599487304688
2010-09-02,24.751379013061523
2010-09-03,25.1424617767334
2010-09-07,24.80799674987793
2010-09-08,24.833728790283203
2010-09-09,24.411766052246094
2010-09-10,24.509531021118164
2010-09-13,24.648479461669922
2010-09-14,24.68964195251465
2010-09-15,25.19393539428711
2010-09-16,25.26025390625
2010-09-17,25.322423934936523
2010-09-20,26.15666961669922
2010-09-21,25.467514038085938
2010-09-22,25.410524368286133
2010-09-23,24.768003463745117
2010-09-24,25.524513244628906
2010-09-27,24.933807373046875
2010-09-28,24.902721405029297
