Date,VERX
2020-07-29,23.93000030517578
2020-07-30,24.200000762939453
2020-07-31,23.559999465942383
2020-08-03,23.5
2020-08-04,24.670000076293945
2020-08-05,24.690000534057617
2020-08-06,25.760000228881836
2020-08-07,25.200000762939453
2020-08-10,24.579999923706055
2020-08-11,23.649999618530273
2020-08-12,24.209999084472656
2020-08-13,24.43000030517578
2020-08-14,24.549999237060547
2020-08-17,25.15999984741211
2020-08-18,25.110000610351562
2020-08-19,25.6299991607666
2020-08-20,26.100000381469727
2020-08-21,27.239999771118164
2020-08-24,28.299999237060547
2020-08-25,27.959999084472656
2020-08-26,28.34000015258789
2020-08-27,29.100000381469727
2020-08-28,28.190000534057617
2020-08-31,25.610000610351562
2020-09-01,24.75
2020-09-02,23.690000534057617
2020-09-03,22.700000762939453
2020-09-04,24.0
2020-09-08,23.350000381469727
2020-09-09,23.3799991607666
2020-09-10,23.510000228881836
2020-09-11,23.010000228881836
2020-09-14,22.8799991607666
2020-09-15,22.75
2020-09-16,22.780000686645508
2020-09-17,22.600000381469727
2020-09-18,22.299999237060547
2020-09-21,22.100000381469727
2020-09-22,22.489999771118164
2020-09-23,21.850000381469727
2020-09-24,21.709999084472656
2020-09-25,22.760000228881836
2020-09-28,22.93000030517578
2020-09-29,23.309999465942383
2020-09-30,23.0
2020-10-01,23.8799991607666
2020-10-02,24.579999923706055
2020-10-05,25.65999984741211
2020-10-06,25.469999313354492
2020-10-07,25.0
2020-10-08,24.829999923706055
2020-10-09,25.299999237060547
2020-10-12,26.239999771118164
2020-10-13,26.239999771118164
2020-10-14,26.68000030517578
2020-10-15,26.690000534057617
2020-10-16,27.350000381469727
2020-10-19,26.0
2020-10-20,26.040000915527344
2020-10-21,25.770000457763672
2020-10-22,25.8799991607666
2020-10-23,25.920000076293945
2020-10-26,24.93000030517578
2020-10-27,24.5
2020-10-28,23.459999084472656
2020-10-29,24.459999084472656
2020-10-30,24.239999771118164
2020-11-02,25.09000015258789
2020-11-03,25.510000228881836
2020-11-04,26.010000228881836
2020-11-05,28.1200008392334
2020-11-06,28.329999923706055
2020-11-09,27.399999618530273
2020-11-10,25.850000381469727
2020-11-11,24.610000610351562
2020-11-12,25.139999389648438
2020-11-13,24.989999771118164
2020-11-16,24.799999237060547
2020-11-17,26.290000915527344
2020-11-18,25.81999969482422
2020-11-19,25.850000381469727
2020-11-20,26.100000381469727
2020-11-23,26.639999389648438
2020-11-24,25.68000030517578
2020-11-25,26.0
2020-11-27,25.93000030517578
2020-11-30,25.239999771118164
2020-12-01,25.829999923706055
2020-12-02,25.729999542236328
2020-12-03,25.829999923706055
2020-12-04,26.0
2020-12-07,26.059999465942383
2020-12-08,25.940000534057617
2020-12-09,25.420000076293945
2020-12-10,27.079999923706055
2020-12-11,27.260000228881836
2020-12-14,28.43000030517578
2020-12-15,28.399999618530273
2020-12-16,29.020000457763672
2020-12-17,30.799999237060547
2020-12-18,34.310001373291016
2020-12-21,34.63999938964844
2020-12-22,36.459999084472656
2020-12-23,36.88999938964844
2020-12-24,34.11000061035156
2020-12-28,33.18000030517578
2020-12-29,33.2400016784668
2020-12-30,34.689998626708984
2020-12-31,34.849998474121094
2021-01-04,33.86000061035156
2021-01-05,33.70000076293945
2021-01-06,31.489999771118164
2021-01-07,32.060001373291016
2021-01-08,32.9900016784668
2021-01-11,30.5
2021-01-12,31.43000030517578
2021-01-13,32.09000015258789
2021-01-14,32.88999938964844
2021-01-15,34.939998626708984
