Date,STOK
2019-06-19,25.56999969482422
2019-06-20,26.0
2019-06-21,27.290000915527344
2019-06-24,25.530000686645508
2019-06-25,25.989999771118164
2019-06-26,26.40999984741211
2019-06-27,28.860000610351562
2019-06-28,29.170000076293945
2019-07-01,28.8700008392334
2019-07-02,28.59000015258789
2019-07-03,28.149999618530273
2019-07-05,28.0
2019-07-08,27.290000915527344
2019-07-09,26.649999618530273
2019-07-10,26.709999084472656
2019-07-11,27.850000381469727
2019-07-12,26.979999542236328
2019-07-15,26.219999313354492
2019-07-16,26.3799991607666
2019-07-17,24.559999465942383
2019-07-18,23.889999389648438
2019-07-19,23.450000762939453
2019-07-22,23.0
2019-07-23,25.5
2019-07-24,25.06999969482422
2019-07-25,23.239999771118164
2019-07-26,23.889999389648438
2019-07-29,23.649999618530273
2019-07-30,24.3700008392334
2019-07-31,24.639999389648438
2019-08-01,25.649999618530273
2019-08-02,26.350000381469727
2019-08-05,25.309999465942383
2019-08-06,26.450000762939453
2019-08-07,26.850000381469727
2019-08-08,27.979999542236328
2019-08-09,28.780000686645508
2019-08-12,28.190000534057617
2019-08-13,30.0
2019-08-14,30.270000457763672
2019-08-15,30.0
2019-08-16,30.8700008392334
2019-08-19,31.600000381469727
2019-08-20,32.630001068115234
2019-08-21,31.920000076293945
2019-08-22,31.920000076293945
2019-08-23,31.81999969482422
2019-08-26,35.029998779296875
2019-08-27,33.15999984741211
2019-08-28,34.869998931884766
2019-08-29,37.400001525878906
2019-08-30,37.439998626708984
2019-09-03,37.720001220703125
2019-09-04,36.09000015258789
2019-09-05,36.5099983215332
2019-09-06,35.54999923706055
2019-09-09,33.47999954223633
2019-09-10,28.799999237060547
2019-09-11,28.5
2019-09-12,27.59000015258789
2019-09-13,26.59000015258789
2019-09-16,23.6299991607666
2019-09-17,24.25
2019-09-18,22.809999465942383
2019-09-19,22.049999237060547
2019-09-20,23.110000610351562
2019-09-23,25.440000534057617
2019-09-24,24.920000076293945
2019-09-25,22.790000915527344
2019-09-26,21.389999389648438
2019-09-27,20.530000686645508
2019-09-30,21.489999771118164
2019-10-01,22.059999465942383
2019-10-02,21.68000030517578
2019-10-03,21.860000610351562
2019-10-04,21.770000457763672
2019-10-07,21.290000915527344
2019-10-08,21.530000686645508
2019-10-09,20.010000228881836
2019-10-10,20.700000762939453
2019-10-11,20.899999618530273
2019-10-14,20.459999084472656
2019-10-15,21.809999465942383
2019-10-16,22.25
2019-10-17,22.280000686645508
2019-10-18,22.309999465942383
2019-10-21,22.719999313354492
2019-10-22,22.959999084472656
2019-10-23,22.709999084472656
2019-10-24,22.860000610351562
2019-10-25,24.93000030517578
2019-10-28,25.850000381469727
2019-10-29,29.799999237060547
2019-10-30,29.020000457763672
2019-10-31,28.34000015258789
2019-11-01,28.709999084472656
2019-11-04,30.469999313354492
2019-11-05,30.790000915527344
2019-11-06,28.81999969482422
2019-11-07,28.170000076293945
2019-11-08,29.8700008392334
2019-11-11,29.790000915527344
2019-11-12,27.40999984741211
2019-11-13,26.489999771118164
2019-11-14,25.90999984741211
2019-11-15,23.31999969482422
2019-11-18,23.739999771118164
2019-11-19,23.860000610351562
2019-11-20,24.100000381469727
2019-11-21,22.799999237060547
2019-11-22,22.489999771118164
2019-11-25,23.889999389648438
2019-11-26,24.760000228881836
2019-11-27,24.959999084472656
2019-11-29,24.5
2019-12-02,25.5
2019-12-03,24.399999618530273
2019-12-04,25.219999313354492
2019-12-05,25.030000686645508
2019-12-06,28.979999542236328
2019-12-09,27.110000610351562
2019-12-10,25.3700008392334
2019-12-11,23.170000076293945
2019-12-12,23.81999969482422
2019-12-13,24.15999984741211
2019-12-16,24.979999542236328
2019-12-17,26.770000457763672
2019-12-18,27.610000610351562
2019-12-19,28.079999923706055
2019-12-20,29.34000015258789
2019-12-23,26.8700008392334
2019-12-24,28.600000381469727
2019-12-26,27.239999771118164
2019-12-27,26.579999923706055
2019-12-30,27.559999465942383
2019-12-31,28.31999969482422
2020-01-02,26.540000915527344
2020-01-03,25.020000457763672
2020-01-06,24.700000762939453
2020-01-07,24.610000610351562
2020-01-08,25.760000228881836
2020-01-09,25.399999618530273
2020-01-10,25.329999923706055
2020-01-13,24.079999923706055
2020-01-14,23.389999389648438
2020-01-15,23.520000457763672
2020-01-16,23.690000534057617
2020-01-17,23.549999237060547
2020-01-21,23.350000381469727
2020-01-22,23.899999618530273
2020-01-23,25.260000228881836
2020-01-24,23.65999984741211
2020-01-27,23.420000076293945
2020-01-28,23.469999313354492
2020-01-29,23.899999618530273
2020-01-30,27.860000610351562
2020-01-31,27.959999084472656
2020-02-03,27.399999618530273
2020-02-04,28.700000762939453
2020-02-05,28.079999923706055
2020-02-06,28.989999771118164
2020-02-07,28.040000915527344
