Date,PRAA
2010-01-04,15.510000228881836
2010-01-05,16.136667251586914
2010-01-06,16.593332290649414
2010-01-07,16.726667404174805
2010-01-08,16.803333282470703
2010-01-11,16.65333366394043
2010-01-12,16.266666412353516
2010-01-13,16.19333267211914
2010-01-14,16.23666763305664
2010-01-15,15.75
2010-01-19,15.823332786560059
2010-01-20,15.303333282470703
2010-01-21,15.083333015441895
2010-01-22,15.103333473205566
2010-01-25,15.073332786560059
2010-01-26,14.74666690826416
2010-01-27,15.233332633972168
2010-01-28,15.006667137145996
2010-01-29,15.19333267211914
2010-02-01,15.09333324432373
2010-02-02,14.776666641235352
2010-02-03,14.546667098999023
2010-02-04,14.210000038146973
2010-02-05,14.220000267028809
2010-02-08,13.896666526794434
2010-02-09,14.359999656677246
2010-02-10,14.470000267028809
2010-02-11,14.80666732788086
2010-02-12,17.51333236694336
2010-02-16,17.75
2010-02-17,18.010000228881836
2010-02-18,18.086666107177734
2010-02-19,17.81333351135254
2010-02-22,17.850000381469727
2010-02-23,17.656667709350586
2010-02-24,17.97333335876465
2010-02-25,17.833332061767578
2010-02-26,17.77666664123535
2010-03-01,17.93000030517578
2010-03-02,18.296667098999023
2010-03-03,18.1299991607666
2010-03-04,18.106666564941406
2010-03-05,18.373332977294922
2010-03-08,18.270000457763672
2010-03-09,18.753332138061523
2010-03-10,18.93000030517578
2010-03-11,19.06999969482422
2010-03-12,18.899999618530273
2010-03-15,18.676666259765625
2010-03-16,18.766666412353516
2010-03-17,19.036666870117188
2010-03-18,18.790000915527344
2010-03-19,19.030000686645508
2010-03-22,19.21666717529297
2010-03-23,19.266666412353516
2010-03-24,19.139999389648438
2010-03-25,18.84000015258789
2010-03-26,18.5
2010-03-29,18.5
2010-03-30,18.47333335876465
2010-03-31,18.290000915527344
2010-04-01,18.233333587646484
2010-04-05,18.50666618347168
2010-04-06,18.969999313354492
2010-04-07,19.053333282470703
2010-04-08,19.1200008392334
2010-04-09,19.136667251586914
2010-04-12,19.266666412353516
2010-04-13,19.290000915527344
2010-04-14,19.74333381652832
2010-04-15,19.676666259765625
2010-04-16,19.639999389648438
2010-04-19,19.530000686645508
2010-04-20,20.0
2010-04-21,20.266666412353516
2010-04-22,21.036666870117188
2010-04-23,21.49333381652832
2010-04-26,21.30666732788086
2010-04-27,21.26333236694336
2010-04-28,22.416667938232422
2010-04-29,22.44333267211914
2010-04-30,22.126667022705078
2010-05-03,22.07666778564453
2010-05-04,21.606666564941406
2010-05-05,21.02666664123535
2010-05-06,20.190000534057617
2010-05-07,20.086666107177734
2010-05-10,21.15333366394043
2010-05-11,21.876667022705078
2010-05-12,22.5
2010-05-13,22.670000076293945
2010-05-14,22.876667022705078
2010-05-17,23.816667556762695
2010-05-18,22.25666618347168
2010-05-19,22.696666717529297
2010-05-20,21.373332977294922
2010-05-21,22.0
2010-05-24,21.6299991607666
2010-05-25,21.3700008392334
2010-05-26,21.790000915527344
2010-05-27,22.833332061767578
2010-05-28,22.81999969482422
2010-06-01,22.456666946411133
2010-06-02,23.06999969482422
2010-06-03,22.829999923706055
2010-06-04,22.170000076293945
2010-06-07,22.126667022705078
