Date,AJG
2010-01-04,15.014439582824707
2010-01-05,14.933752059936523
2010-01-06,14.940469741821289
2010-01-07,14.846339225769043
2010-01-08,14.886685371398926
2010-01-11,14.906851768493652
2010-01-12,14.994264602661133
2010-01-13,14.987543106079102
2010-01-14,14.947205543518066
2010-01-15,14.792555809020996
2010-01-19,14.960648536682129
2010-01-20,14.886685371398926
2010-01-21,15.000990867614746
2010-01-22,15.263225555419922
2010-01-25,15.343914031982422
2010-01-26,15.236328125
2010-01-27,15.115296363830566
2010-01-28,15.195987701416016
2010-01-29,15.162358283996582
2010-02-01,15.317017555236816
2010-02-02,15.263225555419922
2010-02-03,15.962508201599121
2010-02-04,15.841477394104004
2010-02-05,15.532175064086914
2010-02-08,15.310295104980469
2010-02-09,15.370805740356445
2010-02-10,15.384249687194824
2010-02-11,15.424591064453125
2010-02-12,15.45148754119873
2010-02-16,15.491835594177246
2010-02-17,15.646486282348633
2010-02-18,15.693553924560547
2010-02-19,15.82802963256836
2010-02-22,15.875099182128906
2010-02-23,15.949055671691895
2010-02-24,16.0499210357666
2010-02-25,15.982677459716797
2010-02-26,15.955780982971191
2010-03-01,16.150774002075195
2010-03-02,16.2247371673584
2010-03-03,16.332324981689453
2010-03-04,16.25163459777832
2010-03-05,16.426454544067383
2010-03-08,16.399559020996094
2010-03-09,16.426454544067383
2010-03-10,16.567655563354492
2010-03-11,16.628170013427734
2010-03-12,16.950912475585938
2010-03-15,17.024887084960938
2010-03-16,17.13918113708496
2010-03-17,17.24004554748535
2010-03-18,17.300567626953125
2010-03-19,17.19969940185547
2010-03-22,16.789541244506836
2010-03-23,16.950912475585938
2010-03-24,16.85006332397461
2010-03-25,16.92401695251465
2010-03-26,16.870222091674805
2010-03-29,16.992826461791992
2010-03-30,16.96558380126953
2010-03-31,16.720394134521484
2010-04-01,16.686338424682617
2010-04-05,16.754453659057617
2010-04-06,16.842992782592773
2010-04-07,16.80893325805664
2010-04-08,16.740827560424805
2010-04-09,16.76125717163086
2010-04-12,16.89747428894043
2010-04-13,17.040496826171875
2010-04-14,17.19033432006836
2010-04-15,17.258441925048828
2010-04-16,17.278886795043945
2010-04-19,17.299304962158203
2010-04-20,17.598981857299805
2010-04-21,17.544492721557617
2010-04-22,17.919086456298828
2010-04-23,18.055299758911133
2010-04-26,18.00762367248535
2010-04-27,17.748811721801758
2010-04-28,17.578550338745117
2010-04-29,18.089359283447266
2010-04-30,17.891841888427734
2010-05-03,18.10978889465332
2010-05-04,17.98719596862793
2010-05-05,17.61941146850586
2010-05-06,16.740827560424805
2010-05-07,16.54332160949707
2010-05-10,17.15627670288086
2010-05-11,17.224393844604492
2010-05-12,17.340167999267578
2010-05-13,17.15627670288086
2010-05-14,17.11542320251465
2010-05-17,17.101791381835938
2010-05-18,17.02687644958496
2010-05-19,16.958770751953125
2010-05-20,16.6386661529541
2010-05-21,16.788496017456055
2010-05-24,16.65228843688965
2010-05-25,16.447961807250977
2010-05-26,16.311752319335938
2010-05-27,16.91790199279785
2010-05-28,16.815738677978516
2010-06-01,16.59780502319336
2010-06-02,16.822559356689453
2010-06-03,17.394662857055664
2010-06-04,16.699954986572266
2010-06-07,16.54332160949707
2010-06-08,16.631858825683594
